名前,年月,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エンダキエムブレイ,2009-04,堺ブレイザーズ,7,12,10,0.0,105,51,12,48.6,37.1,43,19,6,8,40,3,8,12,0,0,0,62,44.2,5.1,0.8,10.0,
フォンテレスフェリペ,2009-04,パナソニックパンサーズ,3,12,11,0.0,75,34,12,45.3,29.3,12,7,1,2,52,10,16,16,61,38,0,46,58.3,3.09,0.18,19.2,62.3
ボヨビッチデヤン,2009-04,東レアローズ,12,12,11,0.0,126,59,6,46.8,42.1,41,24,2,7,41,2,14,14,0,0,0,68,58.5,5.36,0.64,4.9,
久保尚志,2009-04,パナソニックパンサーズ,11,12,9,0.0,0,0,0,,,0,0,0,0,11,0,2,4,0,0,0,0,,0.0,0.0,4.5,
二木健太,2009-04,サントリーサンバーズ,14,12,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
井上裕介,2009-04,堺ブレイザーズ,2,12,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,40,29,0,0,,0.0,0.0,,72.5
今田祐介,2009-04,東レアローズ,14,12,5,0.0,21,9,0,42.9,42.9,3,2,0,0,14,0,2,3,19,9,0,9,66.7,1.8,0.0,1.8,47.4
伊藤信博,2009-04,堺ブレイザーズ,15,12,10,0.0,21,12,1,57.1,52.4,0,0,0,3,27,1,5,7,0,0,0,16,,1.2,0.3,5.6,
佐別當賢治,2009-04,サントリーサンバーズ,15,12,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
勝野裕士,2009-04,東レアローズ,15,12,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
北島武,2009-04,堺ブレイザーズ,4,12,10,0.0,72,27,6,37.5,29.2,5,2,1,5,49,5,10,15,91,57,0,37,40.0,2.7,0.5,12.8,62.6
吉田譲,2009-04,サントリーサンバーズ,4,12,6,0.0,0,0,0,,,0,0,0,0,6,0,1,5,0,0,0,0,,0.0,0.0,16.7,
名田篤史,2009-04,堺ブレイザーズ,9,12,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂本雄一郎,2009-04,サントリーサンバーズ,3,12,9,0.0,23,13,1,56.5,52.2,0,0,0,4,31,2,1,13,2,2,0,19,,1.44,0.44,16.1,100.0
増野彰,2009-04,堺ブレイザーズ,11,12,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大竹貴久,2009-04,パナソニックパンサーズ,16,8,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大道大輔,2009-04,堺ブレイザーズ,18,12,10,0.0,23,9,2,39.1,30.4,0,0,0,4,45,0,1,14,3,3,0,13,,0.9,0.4,7.2,100.0
宇佐美大輔,2009-04,パナソニックパンサーズ,2,12,11,0.0,5,2,1,40.0,20.0,1,0,0,4,44,3,9,7,0,0,0,9,0.0,0.18,0.36,5.7,
富松崇彰,2009-04,東レアローズ,1,12,11,0.0,28,14,1,50.0,46.4,0,0,0,9,24,0,11,3,0,0,0,23,,1.27,0.82,-8.3,
小糸敬夫,2009-04,パナソニックパンサーズ,14,12,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小西健太,2009-04,パナソニックパンサーズ,10,12,5,0.0,5,3,0,60.0,60.0,0,0,0,3,14,0,2,0,0,0,0,6,,0.6,0.6,-3.6,
山本隆弘,2009-04,パナソニックパンサーズ,5,12,6,0.0,57,32,6,56.1,45.6,24,14,3,0,24,1,4,3,2,2,0,33,58.3,5.33,0.0,3.1,100.0
山村宏太,2009-04,サントリーサンバーズ,1,12,10,0.0,40,19,2,47.5,42.5,0,0,0,7,30,1,0,6,2,2,0,27,,1.9,0.7,8.3,100.0
岩田正之,2009-04,パナソニックパンサーズ,7,4,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
島田桃大,2009-04,堺ブレイザーズ,17,12,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川村慎二,2009-04,パナソニックパンサーズ,8,12,3,0.0,8,2,2,25.0,0.0,0,0,0,0,9,0,0,1,29,18,0,2,,0.67,0.0,2.8,62.1
掛川厚志,2009-04,東レアローズ,6,8,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
朝長孝介,2009-04,堺ブレイザーズ,5,12,10,0.0,1,1,0,100.0,100.0,0,0,0,3,34,0,1,7,0,0,0,4,,0.1,0.3,4.4,
木内学,2009-04,堺ブレイザーズ,10,12,1,0.0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
木原丈裕,2009-04,サントリーサンバーズ,12,12,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
杉山マルコス,2009-04,サントリーサンバーズ,18,12,10,0.0,66,35,8,53.0,40.9,15,7,3,1,34,0,12,9,40,30,0,36,46.7,3.5,0.1,-2.2,75.0
