試合日,年月,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,1,,清水邦広,2,,□,□,,,8,6,2,75.0,50.0,3.00,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,6
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,2,,宇佐美大輔,3,■,■,■,,,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,13,1,3,4,15.4,0,0,0,-,2
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,3,,フォンテレスフェリペ,3,■,■,■,,,19,11,2,57.9,47.4,3.67,2,1,1,50.0,0,-,13,1,4,6,17.7,19,8,0,42.1,12
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,5,,山本隆弘,3,■,■,■,,,31,15,5,48.4,32.3,5.00,11,4,3,36.4,0,-,16,1,1,3,10.9,1,1,0,100.0,16
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,6,,白澤健児,2,■,■,,,,4,0,1,0.0,-25.0,-,0,0,0,-,2,1.00,4,0,0,1,6.2,0,0,0,-,2
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,7,,岩田正之,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,8,,川村慎二,3,□,■,■,,,8,2,2,25.0,0.0,0.67,0,0,0,-,0,-,9,0,0,1,2.8,29,18,0,62.1,2
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,10,,小西健太,2,,□,■,,,4,2,0,50.0,50.0,1.00,0,0,0,-,2,1.00,6,0,1,0,0.0,0,0,0,-,4
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,11,,久保尚志,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,13,,枩田優介,3,■,■,■,,,10,3,0,30.0,30.0,1.00,0,0,0,-,1,0.33,8,0,1,1,3.1,0,0,0,-,4
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,14,L,小糸敬夫,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,15,,福澤達哉,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,0,50.0,0
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,17,L,永野健,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,8,0,88.9,0
2009-04-03,2009-04,4,パナソニックパンサーズ,サントリーサンバーズ,18,,谷村孝,1,■,,,,,3,0,0,0.0,0.0,-,0,0,0,-,1,1.00,1,0,0,0,0.0,6,1,0,16.7,1
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,1,,山村宏太,3,■,■,■,,,13,7,1,53.8,46.2,2.33,0,0,0,-,0,-,9,0,0,2,5.6,0,0,0,-,7
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,2,,鈴木寛史,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,3,,坂本雄一郎,3,■,■,■,,,9,6,0,66.7,66.7,2.00,0,0,0,-,4,1.33,14,1,1,5,14.6,2,2,0,100.0,11
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,4,,吉田譲,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,3,25.0,0,0,0,-,0
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,6,,栗原圭介,3,■,■,■,,,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,11,1,1,4,16.4,0,0,0,-,2
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,7,,越川優,3,■,■,■,,,34,15,4,44.1,32.4,5.00,11,5,2,45.5,1,0.33,11,0,4,2,4.5,6,5,0,83.3,16
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,9,,桑田鎮典,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,10,,荻野正二,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,11,L,津曲勝利,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,10,0,62.5,0
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,12,,木原丈裕,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,14,,二木健太,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,15,L,佐別當賢治,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,18,,杉山マルコス,3,■,■,■,,,18,7,3,38.9,22.2,2.33,3,1,0,33.3,1,0.33,13,0,4,2,3.8,16,13,0,81.2,8
2009-04-03,2009-04,4,サントリーサンバーズ,パナソニックパンサーズ,20,,米山達也,3,■,■,■,,,21,12,1,57.1,52.4,4.00,5,2,0,40.0,0,-,22,6,4,6,31.4,22,14,0,63.6,18
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,2,L,井上裕介,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,12,0,85.7,0
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,3,,石島雄介,3,■,■,■,,,18,7,3,38.9,22.2,2.33,2,1,1,50.0,1,0.33,8,1,1,3,21.9,15,9,0,60.0,9
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,4,,北島武,3,■,■,■,,,23,7,3,30.4,17.4,2.33,2,1,0,50.0,1,0.33,15,2,4,1,15.0,30,20,0,66.7,10
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,5,,朝長孝介,3,□,■,■,,,0,0,0,,,-,0,0,0,-,0,-,13,0,0,0,0.0,0,0,0,-,0
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,7,,エンダキエムブレイ,3,■,■,■,,,36,18,3,50.0,41.7,6.00,18,9,1,50.0,3,1.00,10,2,2,1,18.5,0,0,0,-,23
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,8,,金井修也,3,■,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,9,,名田篤史,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,10,,木内学,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,11,L,増野彰,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,15,,伊藤信博,3,■,■,■,,,10,5,1,50.0,40.0,1.67,0,0,0,-,1,0.33,10,0,1,1,2.5,0,0,0,-,6
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,16,,西尾太作,2,,□,□,,,11,5,0,45.5,45.5,2.50,2,1,0,50.0,2,1.00,6,0,1,1,4.2,0,0,0,-,7
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,17,,島田桃大,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,堺ブレイザーズ,東レアローズ,18,,大道大輔,3,■,■,■,,,8,4,2,50.0,25.0,1.33,0,0,0,-,2,0.67,15,0,0,5,8.3,1,1,0,100.0,6
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,1,,富松崇彰,3,■,■,■,,,10,4,1,40.0,30.0,1.33,0,0,0,-,2,0.67,7,0,2,1,3.6,0,0,0,-,6
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,2,L,田辺修,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,30,28,0,93.3,0
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,4,,近藤茂,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,0
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,5,,米山裕太,3,■,■,■,,,24,5,1,20.8,16.7,1.67,2,1,0,50.0,3,1.00,7,0,2,1,3.6,20,12,0,60.0,8
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,6,L,掛川厚志,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,7,,相澤寿,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,8,,高杉洋平,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,9,,阿部裕太,3,■,■,■,,,4,1,1,25.0,0.0,0.33,0,0,0,-,1,0.33,9,0,0,1,2.8,2,0,0,0.0,2
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,10,,越谷章,2,□,□,,,,2,0,1,0.0,-50.0,-,0,0,0,-,0,-,2,0,0,0,0.0,5,5,0,100.0,0
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,12,,ボヨビッチデヤン,3,■,■,■,,,47,17,3,36.2,29.8,5.67,18,9,1,50.0,2,0.67,11,0,3,4,9.1,0,0,0,-,19
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,14,,今田祐介,1,,,■,,,2,1,0,50.0,50.0,1.00,0,0,0,-,0,-,3,0,0,1,8.3,3,3,0,100.0,1
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,15,,勝野裕士,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,16,,角田辰徳,3,■,■,□,,,8,2,1,25.0,12.5,0.67,3,1,0,33.3,0,-,13,1,0,7,19.6,5,3,0,60.0,3
2009-04-03,2009-04,4,東レアローズ,堺ブレイザーズ,17,,篠田歩,3,■,■,■,,,8,5,0,62.5,62.5,1.67,0,0,0,-,1,0.33,13,0,1,2,3.8,0,0,0,-,6
2009-04-04,2009-04,4,東レアローズ,サントリーサンバーズ,1,,富松崇彰,4,■,■,■,■,,4,2,0,50.0,50.0,0.50,0,0,0,-,5,1.25,7,0,3,2,7.1,0,0,0,-,7
2009-04-04,2009-04,4,東レアローズ,サントリーサンバーズ,2,L,田辺修,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,8,0,50.0,0
