名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
マティアスラウル,ジェイテクトSTINGS,1,14,101,47,10,46.5,36.6,35,15,5,11,40,2,9,10,1,0,0,42.9,3.4,0.8,5.6,0.0
三芳健斗,富士通カワサキレッドスピリッツ,6,16,41,15,1,36.6,34.1,0,0,0,7,37,2,5,12,3,1,0,,0.9,0.4,10.1,33.3
上村駿,東京ヴェルディ,35,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中島俊介,東京ヴェルディ,15,17,157,73,20,46.5,33.8,33,12,7,5,43,7,16,11,34,15,0,36.4,4.3,0.3,13.4,44.1
中川剛,富士通カワサキレッドスピリッツ,1,19,208,100,15,48.1,40.9,62,31,6,6,75,5,6,21,0,0,0,50.0,5.3,0.3,11.7,
中村耕平,東京ヴェルディ,29,2,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,,0.0,0.0,-12.5,
中村航太朗,警視庁フォートファイターズ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中田学,警視庁フォートファイターズ,24,10,70,26,5,37.1,30.0,23,11,3,2,37,2,4,15,1,1,0,47.8,2.6,0.2,12.8,100.0
中道元貴,警視庁フォートファイターズ,14,20,157,72,11,45.9,38.9,12,4,3,4,73,4,7,35,134,80,0,33.3,3.6,0.2,15.1,59.7
中道淑人,大同特殊鋼レッドスター,17,11,0,0,0,,,0,0,0,0,13,0,2,3,22,9,0,,0.0,0.0,1.9,40.9
久原大輝,つくばユナイテッドSunGAIA,19,10,17,10,2,58.8,47.1,1,1,0,1,21,2,2,11,64,42,0,100.0,1.0,0.1,20.2,65.6
井上人哉,警視庁フォートファイターズ,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐々木恵三,つくばユナイテッドSunGAIA,9,3,7,6,0,85.7,85.7,1,1,0,0,5,1,1,1,2,0,0,100.0,2.0,0.0,20.0,0.0
倉田真,大同特殊鋼レッドスター,4,18,165,73,9,44.2,38.8,33,15,4,8,59,2,14,24,71,39,0,45.5,4.1,0.4,7.6,54.9
出耒田敬,つくばユナイテッドSunGAIA,8,17,173,84,17,48.6,38.7,37,18,6,10,49,1,5,16,2,0,0,48.6,4.9,0.6,7.7,0.0
前田一誠,つくばユナイテッドSunGAIA,12,19,3,2,0,66.7,66.7,0,0,0,7,67,0,1,22,2,0,0,,0.1,0.4,7.8,0.0
加藤陽一,つくばユナイテッドSunGAIA,18,15,61,32,4,52.5,45.9,12,3,1,3,67,5,8,18,95,56,0,25.0,2.1,0.2,11.2,58.9
勝田祥平,富士通カワサキレッドスピリッツ,7,17,88,49,5,55.7,50.0,3,1,1,10,53,3,4,16,152,95,0,33.3,2.9,0.6,11.3,62.5
北沢浩,富士通カワサキレッドスピリッツ,15,19,12,8,0,66.7,66.7,0,0,0,2,63,3,5,11,1,0,0,,0.4,0.1,7.1,0.0
吉野淳,つくばユナイテッドSunGAIA,22,19,0,0,0,,,0,0,0,0,0,0,0,0,94,60,0,,0.0,0.0,,63.8
呉屋宏和,富士通カワサキレッドスピリッツ,11,3,14,2,2,14.3,0.0,1,0,0,0,7,1,0,1,7,2,0,0.0,0.7,0.0,17.9,28.6
和井田剛史,つくばユナイテッドSunGAIA,21,5,57,17,4,29.8,22.8,8,3,3,2,14,1,1,2,2,1,0,37.5,3.4,0.4,8.9,50.0
大下将,東京ヴェルディ,22,2,2,1,1,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.5,0.0,,
大矢佳祐,ジェイテクトSTINGS,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
奥田晃,東京ヴェルディ,11,15,6,2,2,33.3,0.0,0,0,0,1,51,1,7,20,1,0,0,,0.1,0.1,8.3,0.0
安井勇誠,ジェイテクトSTINGS,11,17,113,62,7,54.9,48.7,19,12,2,4,59,5,9,26,47,23,0,63.2,3.6,0.2,15.7,48.9
小川直紀,富士通カワサキレッドスピリッツ,18,14,0,0,0,,,0,0,0,0,28,1,4,12,0,0,0,,0.0,0.0,10.7,
小松高則,ジェイテクトSTINGS,7,17,33,15,2,45.5,39.4,0,0,0,14,30,0,0,9,0,0,0,,0.9,0.8,7.5,
小林雅也,大同特殊鋼レッドスター,15,18,46,21,7,45.7,30.4,1,1,0,13,66,4,11,27,2,2,0,100.0,1.2,0.7,12.1,100.0
小野孝宏,ジェイテクトSTINGS,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
山下秀人,大同特殊鋼レッドスター,18,18,60,16,10,26.7,10.0,0,0,0,2,24,0,3,4,145,76,0,,0.9,0.1,1.0,52.4
山口純平,大同特殊鋼レッドスター,1,12,73,27,9,37.0,24.7,20,5,4,5,29,1,5,8,0,0,0,25.0,2.2,0.4,6.0,
岡村義郎,富士通カワサキレッドスピリッツ,10,7,5,1,1,20.0,0.0,0,0,0,0,9,0,0,1,0,0,0,,0.1,0.0,2.8,
岩井浩二,富士通カワサキレッドスピリッツ,14,18,115,59,7,51.3,45.2,22,10,2,6,67,4,11,26,60,30,0,45.5,3.3,0.3,11.6,50.0
岩知道呂夫,警視庁フォートファイターズ,10,20,7,5,1,71.4,57.1,0,0,0,5,60,4,12,17,0,0,0,,0.2,0.2,8.8,
川口一貴,大同特殊鋼レッドスター,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
川波博次,大同特殊鋼レッドスター,2,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
平井銀次,大同特殊鋼レッドスター,11,18,0,0,0,,,0,0,0,0,0,0,0,0,94,52,0,,0.0,0.0,,55.3
平林康裕,警視庁フォートファイターズ,5,2,4,2,0,50.0,50.0,0,0,0,0,7,1,0,2,0,0,0,,1.0,0.0,21.4,
平澤徹,富士通カワサキレッドスピリッツ,9,19,39,20,1,51.3,48.7,0,0,0,13,53,0,5,17,1,0,0,,1.1,0.7,5.7,0.0
平野晃多,大同特殊鋼レッドスター,5,18,52,25,4,48.1,40.4,0,0,0,18,49,0,2,19,3,1,0,,1.4,1.0,8.7,33.3
廣本遥,富士通カワサキレッドスピリッツ,8,3,0,0,0,,,0,0,0,0,5,0,2,2,0,0,0,,0.0,0.0,0.0,
当間重泰,警視庁フォートファイターズ,3,15,0,0,0,,,0,0,0,0,21,0,3,8,0,0,0,,0.0,0.0,6.0,
李博,つくばユナイテッドSunGAIA,5,19,78,36,6,46.2,38.5,1,0,0,10,76,1,4,22,3,2,0,0.0,1.9,0.5,7.2,66.7
松原広輔,ジェイテクトSTINGS,10,13,44,20,2,45.5,40.9,2,2,0,3,35,5,7,8,24,14,0,100.0,1.5,0.2,15.0,58.3
松崎良輔,ジェイテクトSTINGS,8,1,1,0,0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
松本幸博,警視庁フォートファイターズ,6,20,133,55,13,41.4,31.6,4,2,1,5,62,1,6,18,147,89,0,50.0,2.8,0.2,6.5,60.5
松田将大,東京ヴェルディ,32,13,0,0,0,,,0,0,0,0,17,1,2,9,0,0,0,,0.0,0.0,16.2,
松野昭博,富士通カワサキレッドスピリッツ,19,5,1,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
柴田恭平,つくばユナイテッドSunGAIA,3,18,86,39,3,45.3,41.9,9,3,0,11,73,4,10,23,90,47,0,33.3,2.2,0.6,9.9,52.2
根岸慎紘,東京ヴェルディ,5,3,0,0,0,,,0,0,0,0,0,0,0,0,4,1,0,,0.0,0.0,,25.0
椿山竜介,つくばユナイテッドSunGAIA,20,19,66,38,1,57.6,56.1,0,0,0,14,72,5,19,27,0,0,0,,2.0,0.7,9.7,
槌尾健,東京ヴェルディ,9,3,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,,0.0,0.0,8.3,
横村益典,東京ヴェルディ,4,7,9,2,2,22.2,0.0,1,0,1,0,7,1,3,0,4,2,0,0.0,0.3,0.0,3.6,50.0
浅岡遥太,東京ヴェルディ,2,17,0,0,0,,,0,0,0,0,0,0,0,0,91,55,0,,0.0,0.0,,60.4
浅野晶,東京ヴェルディ,33,17,145,55,9,37.9,31.7,6,2,3,8,62,5,5,24,135,71,0,33.3,3.2,0.5,15.7,52.6
浜田翔太,東京ヴェルディ,34,11,36,14,2,38.9,33.3,2,0,1,1,29,0,2,7,69,47,0,0.0,1.3,0.1,4.3,68.1
淡田智行,大同特殊鋼レッドスター,9,9,1,0,0,0.0,0.0,0,0,0,0,28,0,1,13,0,0,0,,0.0,0.0,10.7,
清水大輔,警視庁フォートファイターズ,2,20,74,37,4,50.0,44.6,0,0,0,17,40,0,2,18,0,0,0,,1.8,0.8,10.0,
渡辺聖太,富士通カワサキレッドスピリッツ,13,17,0,0,0,,,0,0,0,0,21,0,2,8,0,0,0,,0.0,0.0,7.1,
溝口信二,東京ヴェルディ,21,17,35,10,0,28.6,28.6,0,0,0,14,33,2,9,9,0,0,0,,0.6,0.8,6.1,
濱口純一,東京ヴェルディ,1,3,1,0,0,0.0,0.0,0,0,0,0,1,0,0,0,6,3,0,,0.0,0.0,0.0,50.0
田中紀幸,富士通カワサキレッドスピリッツ,3,5,22,8,0,36.4,36.4,0,0,0,1,10,0,1,3,28,12,0,,1.6,0.2,5.0,42.9
田中紳太,大同特殊鋼レッドスター,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
田口譲治,東京ヴェルディ,31,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,,0.0,0.0,25.0,
矢野諒介,つくばユナイテッドSunGAIA,15,3,0,0,0,,,0,0,0,0,8,1,0,3,0,0,0,,0.0,0.0,21.9,
石川俊輔,警視庁フォートファイターズ,8,20,0,0,0,,,0,0,0,0,0,0,0,0,104,68,0,,0.0,0.0,,65.4
石田敬喜,ジェイテクトSTINGS,9,14,80,35,9,43.8,32.5,8,2,1,6,67,1,5,24,145,89,0,25.0,2.5,0.4,8.6,61.4
神山哲郎,富士通カワサキレッドスピリッツ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
福田健太,警視庁フォートファイターズ,4,19,46,20,2,43.5,39.1,0,0,0,17,75,2,7,27,0,0,0,,1.1,0.9,9.3,
