試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,2,,和田麻里江,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,3,,南桃加,5,■,■,■,■,■,12,2,1,16.7,8.3,0.40,0,0,0,-,2,0.40,16,1,1,8,18.8,1,1,0,100.0,5
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,4,,江畑幸子,5,■,■,■,■,■,59,21,6,35.6,25.4,4.20,11,1,3,9.1,2,0.40,17,0,2,4,5.9,0,0,0,-,23
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,5,L,佐藤あり紗,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,11,0,78.6,0
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,6,,引地舞,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,7,,パオリーニローレン,5,■,■,■,■,■,28,12,1,42.9,39.3,2.40,0,0,0,-,3,0.60,19,1,3,7,13.4,1,1,0,100.0,16
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,8,,佐藤美弥,5,■,■,■,■,■,2,0,0,0.0,0.0,-,0,0,0,-,2,0.40,7,0,2,1,3.6,0,0,0,-,2
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,9,,永松幸乃,4,□,□,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,6,0,1,1,4.2,0,0,0,-,0
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,10,,内瀬戸真実,5,■,■,■,■,■,12,8,0,66.7,66.7,1.60,0,0,0,-,2,0.40,20,1,2,9,15.2,57,36,0,63.2,11
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,11,,高橋沙織,5,■,■,■,■,■,47,17,3,36.2,29.8,3.40,4,1,0,25.0,6,1.20,25,1,0,13,16.2,22,12,0,54.5,24
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,12,,遠井萌仁,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,13,,石田小枝,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,14,,佐々木美麗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,17,L,斎田杏,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-03-22,日立リヴァーレ,東レアローズ,2,3,0,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,160,60,11,37.5,30.6,12.00,15,2,3,13.3,17,3.40,110,4,11,43,12.9,95,61,0,64.2,81
