名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エバンドログエッラ,サントリーサンバーズ,7,17,211,113,25,53.6,41.7,104,54,10,4,77,10,17,32,1,0,0,127,51.9,6.65,0.24,17.9,0.0
エルナンデスフェルナンド,ジェイテクトSTINGS,19,23,264,135,24,51.1,42.0,102,58,11,6,89,8,34,27,0,0,0,149,56.9,5.87,0.26,7.0,
オムルチェンイゴール,豊田合成トレフェルサ,15,21,277,137,17,49.5,43.3,113,56,13,5,88,11,29,26,0,0,0,153,49.6,6.52,0.24,11.6,
チアーゴアウヴェス,パナソニックパンサーズ,8,13,59,15,5,25.4,16.9,0,0,0,3,32,0,7,9,52,30,0,18,,1.15,0.23,1.6,57.7
ブロックソムジョエル,パナソニックパンサーズ,7,13,1,1,0,100.0,100.0,0,0,0,0,14,1,3,4,2,2,0,2,,0.08,0.0,8.9,100.0
ペピチミラン,堺ブレイザーズ,6,19,178,78,21,43.8,32.0,74,32,10,6,93,14,22,31,0,0,0,98,43.2,4.11,0.32,17.5,
ヴィソットレアンドロ,JTサンダーズ,18,16,177,89,6,50.3,46.9,77,38,3,6,68,5,16,28,0,0,0,100,49.4,5.56,0.38,11.8,
中島健太,JTサンダーズ,4,2,4,1,1,25.0,0.0,0,0,0,0,6,0,1,2,0,0,0,1,,0.5,0.0,4.2,
久保山尚,ジェイテクトSTINGS,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
久原大輝,JTサンダーズ,8,4,0,0,0,,,0,0,0,0,0,0,0,0,18,5,0,0,,0.0,0.0,,27.8
井上俊輔,JTサンダーズ,19,5,1,0,0,0.0,0.0,0,0,0,1,16,0,2,5,1,0,0,1,,0.0,0.2,4.7,0.0
井上崇昭,豊田合成トレフェルサ,8,7,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
井上裕介,堺ブレイザーズ,2,19,0,0,0,,,0,0,0,0,0,0,0,0,129,82,0,0,,0.0,0.0,,63.6
今村駿,堺ブレイザーズ,19,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
伊藤康貴,堺ブレイザーズ,11,7,0,0,0,,,0,0,0,0,9,0,5,1,0,0,0,0,,0.0,0.0,-11.1,
佐川翔,堺ブレイザーズ,8,19,7,6,0,85.7,85.7,0,0,0,7,63,1,10,12,2,0,0,14,,0.32,0.37,2.4,0.0
傳田亮太,豊田合成トレフェルサ,22,21,47,27,2,57.4,53.2,0,0,0,9,59,2,11,17,1,1,0,38,,1.29,0.43,5.9,100.0
八子大輔,JTサンダーズ,14,8,49,18,1,36.7,34.7,4,1,1,2,24,1,3,6,43,23,0,21,25.0,2.25,0.25,7.3,53.5
内山正平,豊田合成トレフェルサ,4,18,2,1,0,50.0,50.0,0,0,0,4,53,0,3,13,4,1,0,5,,0.06,0.22,4.7,25.0
