試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-01-24,VC長野トライデンツ,3,,池田颯太,2,nan,□,nan,□,nan,9,3,1,0.3333333333333333,0.2222222222222222,1.50,2,0,1,0.0,1,0.50,2,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-24,VC長野トライデンツ,4,,中村竜輔,2,nan,nan,nan,□,■,2,0,0,0.0,0.0,-,0,0,0,-,1,0.50,6,0,1,1,0.0,1,0,0,0.0,,,,,,,,
2021-01-24,VC長野トライデンツ,5,,笠利真吾,5,■,■,□,■,■,24,8,2,0.3333333333333333,0.25,1.60,0,0,0,-,0,-,14,0,1,3,3.6,26,7,7,40.4,,,,,,,,
2021-01-24,VC長野トライデンツ,6,,伊藤樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-24,VC長野トライデンツ,7,,戸嵜嵩大,5,■,■,■,■,■,33,12,2,0.36363636363636365,0.30303030303030304,2.40,3,2,1,66.7,2,0.40,15,0,5,2,-5.0,29,14,5,56.9,,,,,,,,
2021-01-24,VC長野トライデンツ,8,,河東祐大,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,0,-,13,0,0,6,11.5,0,0,0,-,,,,,,,,
2021-01-24,VC長野トライデンツ,9,,池田幸太,2,nan,□,■,nan,nan,9,2,0,0.2222222222222222,0.2222222222222222,1.00,2,1,0,50.0,2,1.00,3,0,2,0,-16.7,9,6,0,66.7,,,,,,,,
2021-01-24,VC長野トライデンツ,10,,ヌルムルキリヴァン,5,■,■,■,■,■,55,20,6,0.36363636363636365,0.2545454545454545,4.00,27,10,3,37.0,4,0.80,17,3,3,7,23.5,0,0,0,-,,,,,,,,
2021-01-24,VC長野トライデンツ,12,L,山本憲吾,5,〇,〇,〇,〇,〇,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,13,4,62.5,,,,,,,,
2021-01-24,VC長野トライデンツ,13,,椿芽久,2,nan,□,nan,□,nan,1,1,0,1.0,1.0,0.50,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-24,VC長野トライデンツ,14,,矢貫龍馬,5,■,■,■,■,■,9,5,0,0.5555555555555556,0.5555555555555556,1.00,0,0,0,-,3,0.60,20,0,0,4,5.0,1,1,0,100.0,,,,,,,,
2021-01-24,VC長野トライデンツ,15,,波佐間泰平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-24,VC長野トライデンツ,16,,森崎健史,4,■,■,■,■,nan,11,5,2,0.45454545454545453,0.2727272727272727,1.25,0,0,0,-,0,-,12,0,0,6,12.5,4,1,1,37.5,,,,,,,,
2021-01-24,VC長野トライデンツ,21,L,高澤和貴,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-24,VC長野トライデンツ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,153,56,13,0.3660130718954248,0.28104575163398693,11.20,34,13,5,38.2,13,2.60,103,3,12,29,7.0,94,42,17,53.7,148,70,9,47.3,13,2.60,7.0,56.7
