名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
三浦拓也,東京ヴェルディ,10,74,370,159,48,43.0,30.0,22,6,8,22,270,24,87,95,718,476,0,27.3,2.1,0.3,9.6
上出哲也,近畿クラブスフィーダ,17,5,2,1,0,50.0,50.0,0,0,0,0,7,0,0,0,0,0,0,,0.2,0.0,0.0
上田日登,千葉ZELVA,18,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0
上竣,奈良ドリーマーズ,15,33,191,69,25,36.1,23.0,54,19,11,5,66,4,24,20,1,1,0,35.2,2.1,0.2,4.5
下町浩二,奈良ドリーマーズ,4,38,78,35,3,44.9,41.0,0,0,0,7,58,4,5,21,5,3,0,,0.9,0.2,13.8
中川郁也,近畿クラブスフィーダ,32,26,29,12,3,41.4,31.0,0,0,0,9,54,0,2,16,0,0,0,,0.5,0.3,6.5
中村耕平,東京ヴェルディ,5,71,547,274,78,50.1,35.8,183,85,43,48,243,12,25,86,0,0,0,46.4,3.9,0.7,11.2
中村郁弥,近畿クラブスフィーダ,26,19,53,24,6,45.3,34.0,0,0,0,8,44,0,2,18,3,0,0,,1.3,0.4,9.1
中田雄大,近畿クラブスフィーダ,12,13,2,1,0,50.0,50.0,0,0,0,2,43,1,1,19,1,0,0,,0.1,0.2,12.8
中野壮一朗,千葉ZELVA,13,73,166,67,10,40.4,34.3,0,0,0,42,246,13,20,74,6,3,0,,0.9,0.6,10.8
丹下雅行,奈良ドリーマーズ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
久堀雄世,奈良ドリーマーズ,14,81,308,124,30,40.3,30.5,0,0,0,37,220,6,23,67,10,8,0,,1.5,0.5,7.7
井上浩太,兵庫デルフィーノ,18,73,44,21,2,47.7,43.2,3,1,0,15,184,3,15,55,3,0,0,33.3,0.3,0.2,7.1
今村雄登,兵庫デルフィーノ,8,49,11,6,2,54.5,36.4,0,0,0,9,114,3,8,44,2,0,0,,0.1,0.2,10.5
今田善仁,きんでんトリニティーブリッツ,4,7,1,1,0,100.0,100.0,0,0,0,0,10,0,1,1,0,0,0,,0.1,0.0,0.0
伊藤優介,東京トヨペットグリーンスパークル,1,52,61,20,7,32.8,21.3,2,0,0,6,87,5,7,29,25,8,0,0.0,0.4,0.1,12.1
佐宗純,東京ヴェルディ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
倉田真,東京ヴェルディ,7,76,598,271,38,45.3,39.0,146,64,12,37,284,11,65,84,106,60,0,43.8,3.6,0.5,5.5
内園徹,きんでんトリニティーブリッツ,9,53,0,0,0,,,0,0,0,0,94,14,17,27,19,16,0,,0.0,0.0,17.6
内藤聖人,東京トヨペットグリーンスパークル,17,12,56,17,6,30.4,19.6,0,0,0,2,31,1,1,13,27,10,0,,1.4,0.2,12.9
冷水亮,千葉ZELVA,21,81,0,0,0,,,0,0,0,0,0,0,0,0,510,354,0,,0.0,0.0,
勝将哉,近畿クラブスフィーダ,6,33,255,129,20,50.6,42.7,59,30,10,7,148,8,28,52,59,25,0,50.8,3.9,0.2,9.5
北村將,近畿クラブスフィーダ,20,26,127,59,10,46.5,38.6,2,0,0,4,70,6,8,20,145,98,0,0.0,2.3,0.2,12.9
南卓磨,近畿クラブスフィーダ,30,5,0,0,0,,,0,0,0,0,7,0,0,3,0,0,0,,0.0,0.0,10.7
原田将志,兵庫デルフィーノ,3,61,379,157,50,41.4,28.2,98,31,24,20,184,14,42,41,47,24,0,31.6,2.6,0.3,7.5
古家康隆,千葉ZELVA,6,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0
古牧佑太,奈良ドリーマーズ,12,14,7,0,0,0.0,0.0,0,0,0,2,16,0,2,7,0,0,0,,0.0,0.1,7.8
吉岡佳徳,千葉ZELVA,10,50,21,3,1,14.3,9.5,0,0,0,0,128,2,6,33,3,1,0,,0.1,0.0,6.8
吉田政俊,兵庫デルフィーノ,15,52,313,126,25,40.3,32.3,27,8,8,19,143,7,31,40,24,8,0,29.6,2.4,0.4,6.5
和治裕太,きんでんトリニティーブリッツ,17,24,80,38,6,47.5,40.0,0,0,0,17,62,6,22,20,2,0,0,,1.6,0.7,8.9
國近公太,兵庫デルフィーノ,6,38,293,111,29,37.9,28.0,34,11,7,20,133,5,21,36,78,38,0,32.4,2.9,0.5,6.6
土倉進太郎,長野GaRons,13,60,46,24,1,52.2,50.0,0,0,0,6,131,5,12,40,3,0,0,,0.4,0.1,9.2
塩大地,きんでんトリニティーブリッツ,6,56,182,100,14,54.9,47.3,0,0,0,43,138,3,22,35,8,3,0,,1.8,0.8,4.5
壇亮太,兵庫デルフィーノ,17,10,40,16,4,40.0,30.0,0,0,0,5,28,0,3,7,2,2,0,,1.6,0.5,3.6
夏目真吾,長野GaRons,5,73,0,0,0,,,0,0,0,0,0,0,0,0,431,297,0,,0.0,0.0,
大下将,東京ヴェルディ,18,12,20,9,2,45.0,35.0,0,0,0,6,23,1,1,10,3,1,0,,0.8,0.5,14.1
大井手脩輔,千葉ZELVA,29,50,180,62,15,34.4,26.1,4,2,0,3,128,7,35,27,263,166,0,50.0,1.2,0.1,3.9
大原悠,近畿クラブスフィーダ,16,23,0,0,0,,,0,0,0,0,0,0,0,0,141,93,0,,0.0,0.0,
大楽祥生,東京トヨペットグリーンスパークル,9,73,473,167,51,35.3,24.5,47,14,10,17,245,11,61,65,327,175,0,29.8,2.3,0.2,4.9
大町和幸,千葉ZELVA,12,55,458,180,19,39.3,35.2,25,7,2,5,167,7,29,50,200,123,0,28.0,3.3,0.1,7.3
大谷充寛,兵庫デルフィーノ,4,26,62,30,2,48.4,45.2,0,0,0,5,78,1,6,31,3,1,0,,1.2,0.2,9.3
大貫智博,東京トヨペットグリーンスパークル,6,25,34,9,2,26.5,20.6,0,0,0,10,39,0,0,7,0,0,0,,0.4,0.4,4.5
大賀惠介,きんでんトリニティーブリッツ,5,21,0,0,0,,,0,0,0,0,0,0,0,0,85,55,0,,0.0,0.0,
太田友広,兵庫デルフィーノ,1,79,348,151,27,43.4,35.6,22,7,1,21,275,12,44,75,155,79,0,31.8,1.9,0.3,7.2
奥田晃,東京ヴェルディ,11,15,7,2,1,28.6,14.3,0,0,0,3,40,0,2,11,0,0,0,,0.1,0.2,5.6
奥長勝之,兵庫デルフィーノ,10,85,107,36,12,33.6,22.4,6,2,2,3,80,2,8,22,636,413,0,33.3,0.4,0.0,6.9
宇野佑樹,東京トヨペットグリーンスパークル,4,54,124,34,12,27.4,17.7,1,0,0,13,137,1,8,32,10,7,0,0.0,0.6,0.2,5.1
宮田航輔,東京ヴェルディ,4,18,0,0,0,,,0,0,0,0,27,0,4,7,1,0,0,,0.0,0.0,2.8
小寺秀哉,奈良ドリーマーズ,16,76,0,0,0,,,0,0,0,0,7,0,0,3,391,262,0,,0.0,0.0,10.7
小林慎平,東京ヴェルディ,6,58,0,0,0,,,0,0,0,0,0,0,0,0,310,226,0,,0.0,0.0,
小林洸,近畿クラブスフィーダ,8,24,92,37,5,40.2,34.8,15,7,2,2,65,5,18,21,134,82,0,46.7,1.5,0.1,8.8
小林空,近畿クラブスフィーダ,24,37,292,124,27,42.5,33.2,56,29,6,17,129,11,43,50,13,2,0,51.8,3.4,0.5,9.9
小野義隆,きんでんトリニティーブリッツ,15,13,2,1,0,50.0,50.0,0,0,0,0,54,2,2,7,3,1,0,,0.1,0.0,6.0
小関和樹,東京トヨペットグリーンスパークル,13,59,22,9,1,40.9,36.4,0,0,0,2,56,0,3,20,267,158,0,,0.2,0.0,7.6
尾松航洋,きんでんトリニティーブリッツ,2,67,0,0,0,,,0,0,0,0,133,8,19,58,0,0,0,,0.0,0.0,13.3
山崎幸一郎,長野GaRons,4,20,1,0,1,0.0,-100.0,0,0,0,1,31,1,2,9,0,0,0,,0.0,0.0,8.9
山本寛生,きんでんトリニティーブリッツ,16,16,36,10,3,27.8,19.4,3,1,1,2,22,0,6,5,0,0,0,33.3,0.6,0.1,-1.1
山本慎人,近畿クラブスフィーダ,15,35,1,0,1,0.0,-100.0,0,0,0,0,65,0,3,18,1,0,0,,0.0,0.0,5.8
山本映樹,近畿クラブスフィーダ,1,28,93,37,9,39.8,30.1,22,6,3,3,82,5,13,32,3,2,0,27.3,1.3,0.1,11.9
山本翔耶,兵庫デルフィーノ,14,64,128,47,16,36.7,24.2,0,0,0,6,101,2,7,33,419,252,0,,0.7,0.1,8.4
山田翔太,近畿クラブスフィーダ,4,9,0,0,0,,,0,0,0,0,0,0,0,0,59,31,0,,0.0,0.0,
岡本侑,きんでんトリニティーブリッツ,1,49,275,119,23,43.3,34.9,54,24,9,17,190,7,18,72,264,192,0,44.4,2.4,0.3,10.8
岩井克樹,長野GaRons,8,3,0,0,0,,,0,0,0,0,5,0,0,2,0,0,0,,0.0,0.0,10.0
岩本正吾,兵庫デルフィーノ,33,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
岩田晃祐,奈良ドリーマーズ,6,65,155,65,18,41.9,30.3,2,0,0,8,180,2,18,57,260,157,0,0.0,1.0,0.1,6.5
岩阪健太郎,東京トヨペットグリーンスパークル,5,39,163,84,5,51.5,48.5,0,0,0,11,86,1,6,30,6,4,0,,2.2,0.3,8.1
川口喬,近畿クラブスフィーダ,22,19,115,49,9,42.6,34.8,36,15,6,10,46,2,14,16,0,0,0,41.7,2.6,0.5,5.4
工藤巧,東京ヴェルディ,15,7,16,9,2,56.2,43.8,4,3,0,0,6,1,1,2,2,1,0,75.0,1.3,0.0,20.8
市川一樹,千葉ZELVA,30,72,455,177,49,38.9,28.1,21,5,6,14,231,6,29,81,439,274,0,23.8,2.5,0.2,8.2
平田英貴,きんでんトリニティーブリッツ,13,6,15,5,1,33.3,26.7,0,0,0,2,13,0,1,1,0,0,0,,0.8,0.3,0.0
庄司練,近畿クラブスフィーダ,33,29,85,49,1,57.6,56.5,0,0,0,19,68,0,4,31,1,0,0,,1.7,0.7,9.9
折井拓也,近畿クラブスフィーダ,5,2,0,0,0,,,0,0,0,0,3,0,0,0,3,2,0,,0.0,0.0,0.0
持冨光一,東京トヨペットグリーンスパークル,15,46,74,31,9,41.9,29.7,3,2,0,2,153,4,20,50,21,10,0,66.7,0.7,0.0,7.5
新妻知之,東京トヨペットグリーンスパークル,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
新屋政樹,近畿クラブスフィーダ,25,16,57,15,4,26.3,19.3,8,3,1,1,45,5,3,20,6,3,0,37.5,0.9,0.1,20.6
新谷俊揮,きんでんトリニティーブリッツ,12,44,177,86,22,48.6,36.2,15,5,4,10,140,8,7,48,223,139,0,33.3,2.0,0.2,13.0
早川紘司,東京トヨペットグリーンスパークル,2,37,0,0,0,,,0,0,0,0,9,0,0,1,297,146,0,,0.0,0.0,2.8
早瀬省吾,東京ヴェルディ,3,37,0,0,0,,,0,0,0,0,8,0,1,2,144,84,0,,0.0,0.0,3.1
星宗洋輔,奈良ドリーマーズ,11,10,0,0,0,,,0,0,0,0,17,2,2,3,0,0,0,,0.0,0.0,13.2
春日椋,長野GaRons,14,68,13,4,0,30.8,30.8,0,0,0,5,221,5,19,79,6,0,0,,0.1,0.1,9.0
本多駿,近畿クラブスフィーダ,9,54,372,166,34,44.6,35.5,83,39,14,16,168,6,54,39,69,37,0,47.0,3.1,0.3,1.3
村元和人,奈良ドリーマーズ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
松元翔太郎,千葉ZELVA,35,8,20,8,4,40.0,20.0,1,0,1,2,4,0,1,3,0,0,0,0.0,1.0,0.2,12.5
松本敬三,東京トヨペットグリーンスパークル,16,73,517,161,48,31.1,21.9,41,11,8,6,227,10,27,71,428,238,0,26.8,2.2,0.1,9.3
松本永志,きんでんトリニティーブリッツ,10,67,559,245,61,43.8,32.9,202,82,28,17,189,14,45,63,0,0,0,40.6,3.7,0.3,9.8
松枝寿明,東京トヨペットグリーンスパークル,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
松橋拓也,長野GaRons,2,46,233,95,10,40.8,36.5,24,10,2,8,170,7,47,54,146,74,0,41.7,2.1,0.2,5.1
柿木秀人,近畿クラブスフィーダ,18,21,0,0,0,,,0,0,0,0,25,0,4,7,0,0,0,,0.0,0.0,3.0
桑原瑠星,近畿クラブスフィーダ,37,12,0,0,0,,,0,0,0,0,1,0,1,0,5,0,0,,0.0,0.0,-25.0
梶野喜宏,近畿クラブスフィーダ,2,28,13,2,0,15.4,15.4,0,0,0,3,107,4,3,23,4,0,0,,0.1,0.1,8.4
森大樹,近畿クラブスフィーダ,36,4,0,0,0,,,0,0,0,0,0,0,0,0,19,9,0,,0.0,0.0,
森田有智夢,きんでんトリニティーブリッツ,14,55,340,145,37,42.6,31.8,142,53,22,16,197,19,52,79,217,135,0,37.3,2.6,0.3,13.1
榎本京祐,東京ヴェルディ,12,44,130,66,10,50.8,43.1,1,0,0,24,168,9,34,44,6,6,0,0.0,1.5,0.5,6.8
槌尾健,東京トヨペットグリーンスパークル,14,49,0,0,0,,,0,0,0,0,11,0,0,2,90,36,0,,0.0,0.0,4.5
横山雄大,兵庫デルフィーノ,12,22,165,64,17,38.8,28.5,14,2,2,7,69,1,4,26,102,45,0,14.3,2.9,0.3,9.4
橋本淳,東京トヨペットグリーンスパークル,12,33,78,19,13,24.4,7.7,0,0,0,11,73,1,10,18,23,12,0,,0.6,0.3,4.1
毛利光生,きんでんトリニティーブリッツ,11,68,36,15,2,41.7,36.1,2,1,0,6,239,10,19,79,2,0,0,50.0,0.2,0.1,10.5
河戸俊亮,近畿クラブスフィーダ,3,47,117,63,1,53.8,53.0,0,0,0,38,91,3,3,28,0,0,0,,1.3,0.8,10.2
河田浩忠,奈良ドリーマーズ,9,81,129,62,7,48.1,42.6,3,0,0,23,254,9,27,88,9,0,0,0.0,0.8,0.3,9.5
浅岡一志,長野GaRons,6,21,140,49,20,35.0,20.7,42,14,9,2,88,2,15,30,1,0,0,33.3,2.3,0.1,6.5
浅岡真太,長野GaRons,12,15,0,0,0,,,0,0,0,0,0,0,0,0,70,51,0,,0.0,0.0,
浅岡遥太,東京ヴェルディ,2,38,0,0,0,,,0,0,0,0,9,0,2,1,0,0,0,,0.0,0.0,-2.8
浅野晶,千葉ZELVA,17,69,681,277,57,40.7,32.3,161,65,23,23,259,17,35,95,49,28,0,40.4,4.0,0.3,12.4
海野洋馬,奈良ドリーマーズ,2,56,0,0,0,,,0,0,0,0,65,2,7,20,18,14,0,,0.0,0.0,8.1
清水一生,長野GaRons,7,83,560,239,73,42.7,29.6,50,21,14,34,283,13,93,83,394,235,0,42.0,2.9,0.4,3.7
清水久雄,東京ヴェルディ,8,39,0,0,0,,,0,0,0,0,52,1,10,11,0,0,0,,0.0,0.0,2.4
清水夢斗,近畿クラブスフィーダ,19,13,17,6,3,35.3,17.6,0,0,0,0,16,1,3,6,0,0,0,,0.5,0.0,10.9
渡邉稜,長野GaRons,1,83,255,129,19,50.6,43.1,0,0,0,40,226,6,19,56,7,2,0,,1.6,0.5,6.7
渡邊徹,奈良ドリーマーズ,1,42,95,33,7,34.7,27.4,0,0,0,17,137,4,14,48,4,3,0,,0.8,0.4,9.1
濱田翔,長野GaRons,18,21,15,6,1,40.0,33.3,0,0,0,1,20,0,8,6,0,0,0,,0.3,0.0,-2.5
瀧元一彰,近畿クラブスフィーダ,35,37,0,0,0,,,0,0,0,0,0,0,0,0,217,124,0,,0.0,0.0,
瀧本銀次朗,千葉ZELVA,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
片岡飛雄吾,近畿クラブスフィーダ,28,4,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,,0.0,0.0,6.2
田中優羽,長野GaRons,17,7,0,0,0,,,0,0,0,0,1,0,0,0,18,7,0,,0.0,0.0,0.0
田中寛人,兵庫デルフィーノ,7,78,283,127,14,44.9,39.9,0,0,0,49,290,9,16,101,5,4,0,,1.6,0.6,10.4
田中絢人,近畿クラブスフィーダ,27,7,13,6,2,46.2,30.8,4,2,1,1,12,0,8,1,0,0,0,50.0,0.9,0.1,-14.6
田丸正一郎,兵庫デルフィーノ,13,17,0,0,0,,,0,0,0,0,11,1,2,1,1,0,0,,0.0,0.0,6.8
田尻信太郎,東京ヴェルディ,14,70,85,39,5,45.9,40.0,1,1,0,22,316,19,65,107,3,0,0,100.0,0.6,0.3,9.3
田畑翔伍,きんでんトリニティーブリッツ,7,49,224,78,38,34.8,17.9,24,8,8,34,121,6,35,30,188,119,0,33.3,1.6,0.7,3.9
白川佑樹,兵庫デルフィーノ,2,48,171,61,14,35.7,27.5,40,9,4,1,99,7,31,17,32,14,0,22.5,1.3,0.0,3.5
白川雅貴,兵庫デルフィーノ,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
石原二生,東京トヨペットグリーンスパークル,3,36,137,63,6,46.0,41.6,0,0,0,14,123,4,3,51,12,7,0,,1.8,0.4,13.0
石原貢,兵庫デルフィーノ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
石渡瑛法,奈良ドリーマーズ,5,47,154,44,24,28.6,13.0,0,0,0,6,134,6,12,62,295,222,0,,0.9,0.1,13.8
石田康祐,近畿クラブスフィーダ,7,17,40,13,2,32.5,27.5,0,0,0,0,33,0,10,8,91,57,0,,0.8,0.0,-1.5
碩幸輝,奈良ドリーマーズ,17,78,443,175,33,39.5,32.1,5,0,0,13,298,19,10,114,320,218,0,0.0,2.2,0.2,15.1
神頭祐太,長野GaRons,9,52,56,14,4,25.0,17.9,0,0,0,3,112,5,6,43,54,19,0,,0.3,0.1,12.7
笠原佑斗,東京ヴェルディ,17,2,4,3,0,75.0,75.0,0,0,0,1,2,0,0,1,1,0,0,,1.5,0.5,12.5
篠田学,千葉ZELVA,2,9,48,12,4,25.0,16.7,0,0,0,3,34,2,0,7,27,9,0,,1.3,0.3,11.0
米澤寛武,近畿クラブスフィーダ,23,37,229,99,13,43.2,37.6,10,7,1,18,138,2,9,48,426,248,0,70.0,2.7,0.5,8.5
米澤晃希,近畿クラブスフィーダ,29,5,0,0,0,,,0,0,0,0,2,0,2,0,0,0,0,,0.0,0.0,-25.0
納庄皓仁,兵庫デルフィーノ,5,43,184,87,14,47.3,39.7,0,0,0,28,143,2,6,35,2,2,0,,2.0,0.7,6.5
繁田康平,近畿クラブスフィーダ,10,17,52,28,3,53.8,48.1,0,0,0,3,50,2,1,13,0,0,0,,1.6,0.2,10.0
與崎風人,東京ヴェルディ,25,34,98,44,8,44.9,36.7,26,8,3,1,65,2,7,13,24,13,0,30.8,1.3,0.0,5.4
荒木優,千葉ZELVA,5,61,108,44,8,40.7,33.3,2,0,1,19,199,2,12,71,10,4,0,0.0,0.7,0.3,8.4
藤井啓太,長野GaRons,20,83,768,356,88,46.4,34.9,125,53,23,30,269,16,34,95,376,230,0,42.4,4.3,0.4,11.6
藤原裕和,千葉ZELVA,3,71,212,79,19,37.3,28.3,0,0,0,46,211,7,24,64,9,5,0,,1.1,0.6,8.1
藤田昴大,兵庫デルフィーノ,9,13,0,0,0,,,0,0,0,0,5,0,2,1,3,0,0,,0.0,0.0,-5.0
西片圭佑,東京トヨペットグリーンスパークル,8,65,465,139,42,29.9,20.9,61,17,6,16,180,7,36,52,10,4,0,27.9,2.1,0.2,6.1
谷口和也,近畿クラブスフィーダ,34,37,19,12,3,63.2,47.4,1,1,0,6,128,1,10,62,2,0,0,100.0,0.3,0.2,10.9
那須野裕進,近畿クラブスフィーダ,13,33,54,31,4,57.4,50.0,0,0,0,13,96,3,3,30,0,0,0,,0.9,0.4,10.2
野口将秀,奈良ドリーマーズ,7,81,1015,361,117,35.6,24.0,240,70,45,31,268,10,53,65,253,175,0,29.2,4.5,0.4,4.9
野里正幸,兵庫デルフィーノ,11,34,0,0,0,,,0,0,0,0,0,0,0,0,124,71,0,,0.0,0.0,
長澤朔,東京ヴェルディ,16,67,161,83,9,51.6,46.0,0,0,0,19,192,5,4,68,6,2,0,,1.2,0.3,10.9
長濱裕,きんでんトリニティーブリッツ,3,66,0,0,0,,,0,0,0,0,0,0,0,0,300,210,0,,0.0,0.0,
関根翔太,千葉ZELVA,28,23,7,4,0,57.1,57.1,0,0,0,1,27,0,13,6,0,0,0,,0.2,0.0,-6.5
青木宏門,長野GaRons,11,63,0,0,0,,,0,0,0,0,103,1,7,33,0,0,0,,0.0,0.0,7.3
青石将秀,兵庫デルフィーノ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
飯塚俊彦,東京ヴェルディ,1,33,65,28,2,43.1,40.0,3,2,1,9,70,0,8,13,2,2,0,66.7,0.8,0.3,1.8
高野和弥,長野GaRons,3,77,247,115,23,46.6,37.2,0,0,0,27,155,1,10,22,4,3,0,,1.5,0.4,2.6
黒木隆生,きんでんトリニティーブリッツ,19,73,197,92,17,46.7,38.1,0,0,0,56,188,0,11,25,9,7,0,,1.3,0.8,1.9
齋藤侑亮,近畿クラブスフィーダ,11,3,0,0,0,,,0,0,0,0,0,0,0,0,21,13,0,,0.0,0.0,
齋藤貴紀,千葉ZELVA,7,65,66,26,6,39.4,30.3,0,0,0,16,146,14,35,45,0,0,0,,0.4,0.2,11.3
