名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三浦拓也,2016-11,東京ヴェルディ,10,9,39,22,5,56.4,43.6,5,1,1,2,40,5,13,12,81,47,0,20.0,2.44,0.22,11.9,58.0
三浦拓也,2016-12,東京ヴェルディ,10,14,67,24,9,35.8,22.4,7,2,2,9,70,5,21,22,124,96,0,28.6,1.71,0.64,7.5,77.4
三浦拓也,2017-01,東京ヴェルディ,10,25,136,61,18,44.9,31.6,4,0,3,6,77,5,22,28,245,163,0,0.0,2.44,0.24,8.4,66.5
三浦拓也,2017-02,東京ヴェルディ,10,26,128,52,16,40.6,28.1,6,3,2,5,83,9,31,33,268,170,0,50.0,2.0,0.19,11.4,63.4
上出哲也,2017-01,近畿クラブスフィーダ,17,5,2,1,0,50.0,50.0,0,0,0,0,7,0,0,0,0,0,0,,0.2,0.0,0.0,
上出哲也,2017-02,近畿クラブスフィーダ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上田日登,2016-11,千葉ZELVA,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上田日登,2016-12,千葉ZELVA,18,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
上田日登,2017-01,千葉ZELVA,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上田日登,2017-02,千葉ZELVA,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上竣,2017-01,奈良ドリーマーズ,15,9,80,27,13,33.8,17.5,22,6,5,4,26,1,10,10,0,0,0,27.3,3.0,0.44,3.8,
上竣,2017-02,奈良ドリーマーズ,15,24,111,42,12,37.8,27.0,32,13,6,1,40,3,14,10,1,1,0,40.6,1.75,0.04,5.0,100.0
