名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三浦拓也,2017-11,東京ヴェルディ,10,44,15,75,23,6,30.7,22.7,4,1,1,6,36,1,6,9,101,52,27,25.0,1.53,0.4,4.9,64.9
三浦拓也,2017-12,東京ヴェルディ,10,48,11,60,24,3,40.0,35.0,4,1,1,2,36,3,9,8,78,36,24,25.0,2.18,0.18,7.6,61.5
三浦拓也,2018-01,東京ヴェルディ,10,5,18,65,23,6,35.4,26.2,2,0,1,4,60,7,18,19,152,85,34,0.0,1.28,0.22,12.1,67.1
三浦拓也,2018-02,東京ヴェルディ,10,10,19,63,24,6,38.1,28.6,1,0,0,2,61,5,16,16,145,70,51,0.0,1.26,0.11,8.2,65.9
上出哲也,2017-12,ヴィアティン三重,21,24,9,31,17,1,54.8,51.6,0,0,0,1,24,0,1,7,1,1,0,,1.89,0.11,6.2,100.0
上出哲也,2018-01,ヴィアティン三重,21,7,13,44,21,0,47.7,47.7,0,0,0,8,44,1,2,6,1,0,0,,1.62,0.62,4.5,0.0
上出哲也,2018-02,ヴィアティン三重,21,8,2,7,5,0,71.4,71.4,0,0,0,0,8,1,0,2,0,0,0,,2.5,0.0,18.8,
上田日登,2017-11,千葉ZELVA,17,33,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上田日登,2017-12,千葉ZELVA,17,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上田日登,2018-01,千葉ZELVA,17,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上田日登,2018-02,千葉ZELVA,17,6,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
上竣,2017-11,奈良ドリーマーズ,15,44,15,128,58,15,45.3,33.6,44,15,10,1,51,6,14,15,0,0,0,34.1,3.87,0.07,12.3,
上竣,2017-12,奈良ドリーマーズ,15,24,7,77,37,6,48.1,40.3,15,6,3,3,24,2,4,13,7,2,0,40.0,5.29,0.43,17.7,28.6
上竣,2018-01,奈良ドリーマーズ,15,7,29,289,125,31,43.3,32.5,73,31,13,10,105,10,32,25,2,0,0,42.5,4.31,0.34,7.9,0.0
上竣,2018-02,奈良ドリーマーズ,15,10,17,183,71,26,38.8,24.6,54,21,12,4,62,3,21,11,3,1,1,38.9,4.18,0.24,0.8,50.0
上野素希,2017-11,兵庫デルフィーノ,15,22,9,87,38,7,43.7,35.6,9,4,3,7,32,1,3,11,10,2,3,44.4,4.22,0.78,9.4,35.0
上野素希,2017-12,兵庫デルフィーノ,15,48,14,101,37,11,36.6,25.7,2,0,1,5,64,1,3,21,38,14,14,0.0,2.64,0.36,8.6,55.3
上野素希,2018-01,兵庫デルフィーノ,15,2,9,59,22,3,37.3,32.2,4,1,0,6,40,1,3,12,6,3,1,25.0,2.44,0.67,8.1,58.3
上野素希,2018-02,兵庫デルフィーノ,15,10,17,99,44,10,44.4,34.3,6,3,0,2,49,2,7,10,36,11,5,50.0,2.59,0.12,5.6,37.5
下井優輝,2017-11,ヴィアティン三重,6,22,7,0,0,0,,,0,0,0,0,9,0,3,1,0,0,0,,0.0,0.0,-5.6,
下井優輝,2017-12,ヴィアティン三重,6,48,5,0,0,0,,,0,0,0,0,8,0,2,0,0,0,0,,0.0,0.0,-6.2,
下井優輝,2018-01,ヴィアティン三重,6,5,8,0,0,0,,,0,0,0,0,17,0,1,1,0,0,0,,0.0,0.0,0.0,
