名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
三浦拓也,東京ヴェルディ,10,63,263,94,21,35.7,27.8,11,2,3,14,193,16,49,52,476,243,136,18.2,1.5,0.2,8.7
上出哲也,ヴィアティン三重,21,24,82,43,1,52.4,51.2,0,0,0,9,76,2,3,15,2,1,0,,1.8,0.4,6.6
上田日登,千葉ZELVA,17,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0
上竣,奈良ドリーマーズ,15,68,677,291,78,43.0,31.5,186,73,38,18,242,21,71,64,12,3,1,39.2,4.3,0.3,8.0
上野素希,兵庫デルフィーノ,15,49,346,141,31,40.8,31.8,21,8,4,20,185,5,16,54,90,30,23,38.1,2.9,0.4,7.8
下井優輝,ヴィアティン三重,6,20,0,0,0,,,0,0,0,0,34,0,6,2,0,0,0,,0.0,0.0,-2.9
下町浩二,奈良ドリーマーズ,4,66,161,71,13,44.1,36.0,0,0,0,23,181,3,5,46,9,5,2,,1.1,0.3,7.3
中川郁也,近畿クラブスフィーダ,32,16,26,9,0,34.6,34.6,0,0,0,2,31,3,1,1,1,1,0,,0.6,0.1,9.7
中村修平,ヴォレアス北海道,6,49,37,21,0,56.8,56.8,0,0,0,6,163,11,32,41,1,0,0,,0.4,0.1,8.1
中村有登,ヴィアティン三重,19,66,497,205,41,41.2,33.0,90,43,15,18,236,17,31,83,1,1,0,47.8,3.1,0.3,12.7
中村郁弥,近畿クラブスフィーダ,26,12,12,8,2,66.7,50.0,0,0,0,5,22,0,2,6,1,0,1,,0.7,0.4,4.5
中村龍哉,東京ヴェルディ,20,27,61,32,5,52.5,44.3,3,1,0,7,55,4,15,14,2,1,1,33.3,1.2,0.3,6.8
中林海人,兵庫デルフィーノ,17,17,0,0,0,,,0,0,0,0,13,0,5,2,69,11,23,,0.0,0.0,-5.8
中沢文也,長野GaRons,21,1,1,0,0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,0,,0.0,0.0,-25.0
中田快,東京ヴェルディ,21,4,0,0,0,,,0,0,0,0,5,0,2,1,0,0,0,,0.0,0.0,-5.0
中田雄大,近畿クラブスフィーダ,12,39,9,4,0,44.4,44.4,1,1,0,2,134,1,8,31,2,0,0,100.0,0.1,0.1,5.0
中野壮一朗,千葉ZELVA,6,70,177,76,14,42.9,35.0,0,0,0,72,231,5,17,44,10,4,4,,1.1,1.0,5.1
中野将太,兵庫デルフィーノ,21,33,0,0,0,,,0,0,0,0,0,0,0,0,242,137,60,,0.0,0.0,
丹下雅行,奈良ドリーマーズ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
久堀雄世,奈良ドリーマーズ,14,38,48,13,6,27.1,14.6,0,0,0,3,31,0,3,10,0,0,0,,0.3,0.1,5.6
亀田吉彦,ヴィアティン三重,18,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
井上浩太,兵庫デルフィーノ,5,35,22,9,4,40.9,22.7,0,0,0,10,88,4,9,28,10,4,0,,0.3,0.3,9.9
井口拓也,ヴィアティン三重,2,46,5,3,0,60.0,60.0,0,0,0,0,38,0,2,9,132,43,38,,0.1,0.0,4.6
今村雄登,兵庫デルフィーノ,1,41,11,5,0,45.5,45.5,1,0,0,5,89,1,11,19,2,0,0,0.0,0.1,0.1,3.4
今田善仁,きんでんトリニティーブリッツ,4,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0
仲村鴻輝,兵庫デルフィーノ,13,5,6,2,2,33.3,0.0,0,0,0,0,2,0,0,1,0,0,0,,0.4,0.0,12.5
伊藤優介,東京トヨペットグリーンスパークル,1,25,109,28,11,25.7,15.6,17,4,5,7,48,0,3,11,13,3,5,23.5,1.1,0.3,4.2
佐々木博秋,ヴォレアス北海道,13,29,163,77,11,47.2,40.5,31,14,4,17,120,8,21,28,186,91,63,45.2,2.7,0.6,8.1
佐藤優弥,東京ヴェルディ,22,27,120,49,8,40.8,34.2,6,2,1,1,60,6,9,11,114,48,44,33.3,1.8,0.0,10.8
倉内哲,ヴォレアス北海道,18,26,84,43,4,51.2,46.4,0,0,0,18,95,2,8,20,1,0,1,,1.7,0.7,5.3
倉田真,東京ヴェルディ,7,49,359,157,28,43.7,35.9,96,36,12,5,216,21,24,66,109,43,31,37.5,3.2,0.1,14.6
内園徹,きんでんトリニティーブリッツ,9,53,0,0,0,,,0,0,0,0,79,4,14,19,17,9,4,,0.0,0.0,6.6
冷水亮,千葉ZELVA,14,43,0,0,0,,,0,0,0,0,0,0,0,0,271,119,75,,0.0,0.0,
前川将太,ヴィアティン三重,11,26,65,33,4,50.8,44.6,3,1,1,5,39,5,7,14,61,32,20,33.3,1.3,0.2,17.3
加藤伊織,ヴォレアス北海道,9,39,92,39,6,42.4,35.9,2,0,0,30,135,7,25,16,10,5,0,0.0,1.0,0.8,3.5
北崎文弥,東京トヨペットグリーンスパークル,18,48,427,184,43,43.1,33.0,75,29,16,16,162,3,14,30,16,4,3,38.7,3.8,0.3,4.3
北村將,近畿クラブスフィーダ,4,25,82,29,6,35.4,28.0,1,0,0,0,50,2,0,9,115,58,24,0.0,1.2,0.0,8.5
北沢健,長野GaRons,16,2,2,0,0,0.0,0.0,0,0,0,0,3,0,0,1,0,0,0,,0.0,0.0,8.3
