試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2010-03-20,健祥会レッドハーツ,5,,三崎栄子,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
2010-03-20,健祥会レッドハーツ,6,,萩生田弘美,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2010-03-20,健祥会レッドハーツ,7,,田巻由貴子,4,■,■,■,■,nan,14,7,0,0.5,0.5,1.75,0,0,0,-,1,0.25,15,0,2,4,6.7,0,0,0,-
2010-03-20,健祥会レッドハーツ,8,,服部晃佳,4,■,■,■,■,nan,46,8,3,0.17391304347826086,0.10869565217391304,2.00,0,0,0,-,0,-,10,0,1,2,5.0,29,12,0,41.4
2010-03-20,健祥会レッドハーツ,10,,高橋めぐみ,4,■,■,■,■,nan,17,5,1,0.29411764705882354,0.23529411764705882,1.25,0,0,0,-,4,1.00,7,0,0,1,3.6,0,0,0,-
2010-03-20,健祥会レッドハーツ,11,L,松田直子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,31,22,0,71.0
2010-03-20,健祥会レッドハーツ,12,,長野友紀,4,■,■,■,■,nan,25,11,3,0.44,0.32,2.75,0,0,0,-,2,0.50,11,0,0,5,11.4,12,4,0,33.3
2010-03-20,健祥会レッドハーツ,14,,福原智美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-20,健祥会レッドハーツ,16,,内田役子,4,■,■,■,■,nan,2,1,0,0.5,0.5,0.25,0,0,0,-,0,-,16,1,2,3,9.7,0,0,0,-
2010-03-20,健祥会レッドハーツ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,141,47,12,0.3333333333333333,0.24822695035460993,11.75,0,0,0,-,10,2.50,82,3,8,22,10.1,89,48,0,53.9
2010-03-20,KUROBEアクアフェアリーズ,1,,伊藤智美,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,2,25.0,0,0,0,-
2010-03-20,KUROBEアクアフェアリーズ,2,L,田中三奈未,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-20,KUROBEアクアフェアリーズ,3,,伊藤睦美,0,nan,nan,nan,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-20,KUROBEアクアフェアリーズ,4,,吉田彩乃,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-20,KUROBEアクアフェアリーズ,5,,色摩知巳,4,■,■,■,■,nan,48,16,3,0.3333333333333333,0.2708333333333333,4.00,0,0,0,-,1,0.25,16,1,1,6,14.4,11,6,0,54.5
2010-03-20,KUROBEアクアフェアリーズ,6,,井西彩乃,4,■,■,■,■,nan,29,9,2,0.3103448275862069,0.2413793103448276,2.25,0,0,0,-,2,0.50,24,4,3,12,26.7,23,16,0,69.6
2010-03-20,KUROBEアクアフェアリーズ,7,,田中弓貴,4,■,■,■,■,nan,21,9,1,0.42857142857142855,0.38095238095238093,2.25,0,0,0,-,1,0.25,14,0,1,5,8.9,21,15,0,71.4
2010-03-20,KUROBEアクアフェアリーズ,8,,播磨春香,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2010-03-20,KUROBEアクアフェアリーズ,9,,位田愛,0,nan,nan,nan,nan,nan,1,1,0,1.0,1.0,INF,0,0,0,-,1,INF,12,2,1,1,17.1,0,0,0,-
2010-03-20,KUROBEアクアフェアリーズ,10,,高崎由佳梨,4,■,■,■,■,nan,27,14,4,0.5185185185185185,0.37037037037037035,3.50,0,0,0,-,0,-,17,2,0,3,13.8,0,0,0,-
