名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三崎栄子,健祥会レッドハーツ,5,7,0,0,0,,,0,0,0,0,12,1,0,3,0,0,0,,0.0,0.0,14.6,
中村かおり,日立リヴァーレ,19,15,0,0,0,,,0,0,0,0,0,0,0,0,43,29,0,,0.0,0.0,,67.4
中野清香,三洋電機レッドソア,8,20,179,69,13,38.5,31.3,15,5,3,3,75,5,8,21,21,15,0,33.3,3.4,0.2,11.0,71.4
井西彩乃,KUROBEアクアフェアリーズ,6,20,129,33,16,25.6,13.2,1,1,0,2,74,6,7,30,126,88,0,100.0,1.6,0.1,15.9,69.8
伊藤智美,KUROBEアクアフェアリーズ,1,13,37,12,1,32.4,29.7,0,0,0,0,11,0,1,7,18,14,0,,0.9,0.0,13.6,77.8
伊藤睦美,KUROBEアクアフェアリーズ,3,3,18,5,1,27.8,22.2,0,0,0,0,0,0,0,0,1,0,0,,1.7,0.0,,0.0
位田愛,KUROBEアクアフェアリーズ,9,0,7,3,1,42.9,28.6,0,0,0,1,46,4,5,7,0,0,0,,inf,inf,9.8,
佐々木侑,三洋電機レッドソア,3,20,131,51,9,38.9,32.1,6,2,3,8,76,6,9,21,42,26,0,33.3,2.6,0.4,11.8,61.9
佐藤瞳,日立リヴァーレ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
内田役子,健祥会レッドハーツ,16,16,11,4,2,36.4,18.2,0,0,0,4,62,2,5,22,0,0,0,,0.2,0.2,10.1,
南早希,埼玉上尾メディックス,3,14,1,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,
原田砂代子,埼玉上尾メディックス,18,18,138,52,9,37.7,31.2,0,0,0,3,58,1,10,23,0,0,0,,2.9,0.2,7.3,
古賀香澄,埼玉上尾メディックス,22,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
吉川ひかる,KUROBEアクアフェアリーズ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉田あい,日立リヴァーレ,3,14,0,0,0,,,0,0,0,0,0,0,0,0,27,15,0,,0.0,0.0,,55.6
吉田彩乃,KUROBEアクアフェアリーズ,4,1,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,,0.0,0.0,,0.0
土田望未,埼玉上尾メディックス,13,18,2,0,0,0.0,0.0,0,0,0,0,72,2,3,24,1,0,0,,0.0,0.0,10.1,0.0
城美鈴,日立リヴァーレ,15,16,124,43,6,34.7,29.8,2,0,0,2,70,5,5,26,116,59,0,0.0,2.7,0.1,14.6,50.9
天野ゆかり,三洋電機レッドソア,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
寺沢美香,三洋電機レッドソア,9,7,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小原真美,大野石油広島オイラーズ,7,17,72,22,4,30.6,25.0,0,0,0,11,31,0,0,11,1,1,0,,1.3,0.6,8.9,100.0
小受加代子,大野石油広島オイラーズ,2,6,1,1,0,100.0,100.0,0,0,0,0,5,1,2,2,3,0,0,,0.2,0.0,20.0,0.0
小島愛実,KUROBEアクアフェアリーズ,14,20,0,0,0,,,0,0,0,0,0,0,0,0,90,60,0,,0.0,0.0,,66.7
山本友里恵,日立リヴァーレ,10,14,37,18,1,48.6,45.9,0,0,0,7,35,1,5,10,2,1,0,,1.3,0.5,6.4,50.0
山田友香,三洋電機レッドソア,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
岩本理恵,健祥会レッドハーツ,4,1,2,1,0,50.0,50.0,0,0,0,0,1,0,0,0,0,0,0,,1.0,0.0,0.0,
川原愛璃,日立リヴァーレ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
平安座あきな,埼玉上尾メディックス,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
平川実愛,大野石油広島オイラーズ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
庄司夕起,埼玉上尾メディックス,4,18,98,44,1,44.9,43.9,2,0,0,17,81,4,5,22,5,2,0,0.0,2.4,0.9,10.2,40.0
張紫音,日立リヴァーレ,18,16,94,47,4,50.0,45.7,1,0,0,16,51,5,5,15,0,0,0,0.0,2.9,1.0,14.7,
徳川恵理,三洋電機レッドソア,7,20,85,33,6,38.8,31.8,0,0,0,10,59,2,3,20,2,2,0,,1.6,0.5,10.6,100.0
戸崎琴美,日立リヴァーレ,22,13,16,1,4,6.2,-18.8,0,0,0,1,28,0,1,11,0,0,0,,0.1,0.1,8.9,
播磨春香,KUROBEアクアフェアリーズ,8,10,0,0,0,,,0,0,0,0,22,2,5,7,0,0,0,,0.0,0.0,11.4,
新城友美,三洋電機レッドソア,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
星亜矢子,三洋電機レッドソア,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
星美由紀,三洋電機レッドソア,11,20,95,41,3,43.2,40.0,3,1,1,14,69,4,5,20,57,27,0,33.3,2.0,0.7,11.2,47.4
春川裕美,大野石油広島オイラーズ,8,17,84,33,4,39.3,34.5,0,0,0,6,53,4,8,17,53,23,0,,1.9,0.4,11.8,43.4
服部安佑香,埼玉上尾メディックス,5,17,65,30,5,46.2,38.5,0,0,0,4,42,3,2,14,71,49,0,,1.8,0.2,14.3,69.0
服部晃佳,健祥会レッドハーツ,8,17,182,44,10,24.2,18.7,1,0,0,3,53,1,6,13,98,51,0,0.0,2.6,0.2,5.2,52.0
木村有希,三洋電機レッドソア,1,20,174,61,7,35.1,31.0,0,0,0,7,68,3,6,17,110,63,0,,3.0,0.4,8.5,57.3
村上菜央,KUROBEアクアフェアリーズ,11,20,114,38,12,33.3,22.8,0,0,0,9,43,3,6,16,8,1,0,,1.9,0.4,12.8,12.5
松井友美,大野石油広島オイラーズ,6,2,1,1,0,100.0,100.0,0,0,0,0,2,0,1,0,2,0,0,,0.5,0.0,-12.5,0.0
松本茜,大野石油広島オイラーズ,14,17,162,51,12,31.5,24.1,0,0,0,4,34,0,3,11,41,19,0,,3.0,0.2,5.9,46.3
松浦麻琴,日立リヴァーレ,5,16,11,7,0,63.6,63.6,0,0,0,8,55,2,2,17,0,0,0,,0.4,0.5,10.5,
松田直子,健祥会レッドハーツ,11,17,0,0,0,,,0,0,0,0,0,0,0,0,110,73,0,,0.0,0.0,,66.4
松野由香,三洋電機レッドソア,16,20,8,3,1,37.5,25.0,0,0,0,3,76,3,4,19,0,0,0,,0.2,0.2,8.9,
林蓉子,三洋電機レッドソア,14,19,0,0,0,,,0,0,0,0,0,0,0,0,42,27,0,,0.0,0.0,,64.3
桑実磨里,大野石油広島オイラーズ,1,17,19,9,0,47.4,47.4,0,0,0,2,56,2,3,17,2,0,0,,0.5,0.1,9.8,0.0
森田亜衣,大野石油広島オイラーズ,9,17,104,43,9,41.3,32.7,0,0,0,3,59,1,4,24,123,64,0,,2.5,0.2,10.2,52.0
横江千秋,三洋電機レッドソア,15,20,0,0,0,,,0,0,0,0,0,0,0,0,115,78,0,,0.0,0.0,,67.8
江畑幸子,日立リヴァーレ,20,16,157,71,13,45.2,36.9,22,10,2,8,63,5,6,18,0,0,0,45.5,4.4,0.5,12.7,
海老原めぐみ,大野石油広島オイラーズ,4,17,109,28,7,25.7,19.3,0,0,0,5,59,4,7,21,2,1,0,,1.6,0.3,12.7,50.0
滝沢ななえ,埼玉上尾メディックス,7,18,0,0,0,,,0,0,0,0,0,0,0,0,90,57,0,,0.0,0.0,,63.3
澤畠文子,埼玉上尾メディックス,9,18,139,53,12,38.1,29.5,2,2,0,9,67,1,5,22,103,65,0,100.0,2.9,0.5,7.8,63.1
瀧本鈴絵,大野石油広島オイラーズ,5,15,25,6,2,24.0,16.0,0,0,0,1,16,1,2,7,0,0,0,,0.4,0.1,14.1,
熊谷更紗,KUROBEアクアフェアリーズ,12,6,0,0,0,,,0,0,0,0,10,0,2,2,4,1,0,,0.0,0.0,0.0,25.0
田中三奈未,KUROBEアクアフェアリーズ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
田中弓貴,KUROBEアクアフェアリーズ,7,20,69,27,8,39.1,27.5,0,0,0,5,60,5,5,18,89,55,0,,1.4,0.2,13.8,61.8
田巻由貴子,健祥会レッドハーツ,7,17,62,24,3,38.7,33.9,0,0,0,7,45,0,4,13,0,0,0,,1.4,0.4,5.0,
田辺由美,埼玉上尾メディックス,17,3,0,0,0,,,0,0,0,0,0,0,0,0,4,1,0,,0.0,0.0,,25.0
白田博子,埼玉上尾メディックス,2,11,28,11,1,39.3,35.7,0,0,0,0,34,3,4,15,34,23,0,,1.0,0.0,16.9,67.6
皆本明日香,埼玉上尾メディックス,16,7,30,9,1,30.0,26.7,0,0,0,2,7,0,0,3,14,10,0,,1.3,0.3,10.7,71.4
石田小枝,日立リヴァーレ,6,1,3,1,0,33.3,33.3,0,0,0,0,1,0,0,0,0,0,0,,1.0,0.0,0.0,
福原智美,健祥会レッドハーツ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
福田みつ子,埼玉上尾メディックス,11,14,11,3,0,27.3,27.3,0,0,0,1,0,0,0,0,0,0,0,,0.2,0.1,,
細川麻美,埼玉上尾メディックス,15,18,131,68,10,51.9,44.3,0,0,0,7,63,4,10,28,1,1,0,,3.8,0.4,13.5,100.0
色摩知巳,KUROBEアクアフェアリーズ,5,20,209,63,16,30.1,22.5,0,0,0,4,62,2,3,24,62,34,0,,3.2,0.2,11.7,54.8
荒瀬ひかる,大野石油広島オイラーズ,18,9,0,0,0,,,0,0,0,0,14,1,1,4,10,5,0,,0.0,0.0,12.5,50.0
萩生田弘美,健祥会レッドハーツ,6,10,1,1,0,100.0,100.0,0,0,0,0,12,0,0,2,0,0,0,,0.1,0.0,4.2,
藤崎朱里,日立リヴァーレ,9,13,46,26,3,56.5,50.0,0,0,0,7,59,4,4,26,48,29,0,,2.0,0.5,16.1,60.4
谷口由美恵,健祥会レッドハーツ,1,17,157,67,14,42.7,33.8,0,0,0,12,75,6,8,24,80,48,0,,3.9,0.7,13.3,60.0
遠井萌仁,日立リヴァーレ,12,6,35,17,2,48.6,42.9,0,0,0,1,24,3,2,8,31,17,0,,2.8,0.2,18.8,54.8
長野友紀,健祥会レッドハーツ,12,17,111,44,10,39.6,30.6,4,0,2,6,50,2,2,17,64,37,0,0.0,2.6,0.4,11.5,57.8
阪根範栄,大野石油広島オイラーズ,11,17,0,0,0,,,0,0,0,0,0,0,0,0,113,70,0,,0.0,0.0,,61.9
高崎由佳梨,KUROBEアクアフェアリーズ,10,20,116,54,8,46.6,39.7,0,0,0,7,66,3,6,13,5,3,0,,2.7,0.4,7.2,60.0
高橋めぐみ,健祥会レッドハーツ,10,17,84,25,6,29.8,22.6,1,1,0,9,44,3,2,12,1,1,0,100.0,1.5,0.5,12.5,100.0
黒川朝加,三洋電機レッドソア,13,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,,0.0,0.0,0.0,
