月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
10,堺ブレイザーズ,7,,出耒田敬,8,2,2,2,1,1,17,6,1,35.3,29.4,0.8,0,0,0,,11,1.4,26,0,6,5,-1.0,0,0,0,
11,堺ブレイザーズ,7,,出耒田敬,31,8,8,8,6,1,105,68,2,64.8,62.9,2.2,0,0,0,,23,0.7,91,3,13,22,5.8,7,0,3,21.4
12,堺ブレイザーズ,7,,出耒田敬,20,5,5,5,3,0,50,25,1,50.0,48.0,1.2,1,0,0,0.0,10,0.5,47,0,7,10,1.6,7,2,3,50.0
01,堺ブレイザーズ,7,,出耒田敬,16,5,5,5,1,0,41,21,1,51.2,48.8,1.3,1,0,0,0.0,11,0.7,36,2,5,3,4.2,3,1,0,33.3
02,堺ブレイザーズ,7,,出耒田敬,17,5,5,5,1,1,41,22,3,53.7,46.3,1.3,0,0,0,,10,0.6,52,0,2,12,4.8,1,1,0,100.0
