名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アールブレヒトフレヤ,03,KUROBEアクアフェアリーズ,19,7,51,20,0,39.2,39.2,2,0,0,1,17,0,0,3,2,1,0,21,0.0,2.9,0.1,4.4,50.0
ドリスジェニファー,03,PFUブルーキャッツ,2,4,23,13,0,56.5,56.5,0,0,0,3,14,1,0,5,0,0,0,17,,3.2,0.8,16.1,
モクシ―チャッチュオン,03,PFUブルーキャッツ,19,5,33,18,0,54.5,54.5,8,5,0,2,17,1,1,3,52,19,10,21,62.5,3.6,0.4,8.8,46.2
丸山亜季,03,岡山シーガルズ,20,6,0,0,0,,,0,0,0,0,0,0,0,0,3,3,0,0,,0.0,0.0,,100.0
丸山紗季,03,KUROBEアクアフェアリーズ,1,7,0,0,0,,,0,0,0,0,11,1,0,3,0,0,0,1,,0.0,0.0,15.9,
佐々木萌,03,岡山シーガルズ,7,6,83,29,1,34.9,33.7,3,1,1,3,23,0,0,4,31,16,3,32,33.3,4.8,0.5,4.3,56.5
倉見夏乃,03,KUROBEアクアフェアリーズ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
南美寿希,03,KUROBEアクアフェアリーズ,8,3,0,0,0,,,0,0,0,1,10,1,0,3,0,0,0,2,,0.0,0.3,17.5,
吉安遥,03,PFUブルーキャッツ,3,7,0,0,0,,,0,0,0,0,0,0,0,0,26,7,11,0,,0.0,0.0,,48.1
吉岡美晴,03,岡山シーガルズ,4,2,6,1,0,16.7,16.7,0,0,0,0,0,0,0,0,1,0,0,1,,0.5,0.0,,0.0
吉田みなみ,03,岡山シーガルズ,1,2,6,1,0,16.7,16.7,0,0,0,0,0,0,0,0,0,0,0,1,,0.5,0.0,,
和才奈々美,03,KUROBEアクアフェアリーズ,3,7,68,23,7,33.8,23.5,1,0,0,3,24,2,1,9,48,32,7,28,0.0,3.3,0.4,16.7,74.0
和田実莉,03,PFUブルーキャッツ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀口あやか,03,PFUブルーキャッツ,11,7,56,15,5,26.8,17.9,6,0,2,1,19,2,1,5,40,21,4,18,0.0,2.1,0.1,15.8,57.5
宇田沙織,03,PFUブルーキャッツ,4,3,15,6,1,40.0,33.3,1,1,0,1,10,1,0,4,14,7,3,8,100.0,2.0,0.3,20.0,60.7
宮下遥,03,岡山シーガルズ,14,6,2,0,0,0.0,0.0,0,0,0,3,27,1,1,7,1,0,0,4,,0.0,0.5,9.3,0.0
小野寺夏希,03,岡山シーガルズ,31,3,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
居村杏奈,03,岡山シーガルズ,12,3,11,3,0,27.3,27.3,0,0,0,1,13,0,0,4,1,1,0,4,,1.0,0.3,7.7,100.0
