名前,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アールブレヒトフレヤ,KUROBEアクアフェアリーズ,19,6,7,0.0,51,20,0,39.2,39.2,2,0,0,1,17,0,0,3,2,1,0,21,0.0,2.86,0.14,4.4,50.0
ドリスジェニファー,PFUブルーキャッツ,2,3,4,0.0,23,13,0,56.5,56.5,0,0,0,3,14,1,0,5,0,0,0,17,,3.25,0.75,16.1,
モクシ―チャッチュオン,PFUブルーキャッツ,19,6,5,0.0,33,18,0,54.5,54.5,8,5,0,2,17,1,1,3,52,19,10,21,62.5,3.6,0.4,8.8,46.2
丸山亜季,岡山シーガルズ,20,6,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,3,3,0,0,,0.0,0.0,,100.0
丸山紗季,KUROBEアクアフェアリーズ,1,6,7,0.0,0,0,0,,,0,0,0,0,11,1,0,3,0,0,0,1,,0.0,0.0,15.9,
佐々木萌,岡山シーガルズ,7,6,6,0.0,83,29,1,34.9,33.7,3,1,1,3,23,0,0,4,31,16,3,32,33.3,4.83,0.5,4.3,56.5
倉見夏乃,KUROBEアクアフェアリーズ,2,6,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
南美寿希,KUROBEアクアフェアリーズ,8,6,3,0.0,0,0,0,,,0,0,0,1,10,1,0,3,0,0,0,2,,0.0,0.33,17.5,
吉安遥,PFUブルーキャッツ,3,6,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,26,7,11,0,,0.0,0.0,,48.1
吉岡美晴,岡山シーガルズ,4,6,2,0.0,6,1,0,16.7,16.7,0,0,0,0,0,0,0,0,1,0,0,1,,0.5,0.0,,0.0
吉田みなみ,岡山シーガルズ,1,6,2,0.0,6,1,0,16.7,16.7,0,0,0,0,0,0,0,0,0,0,0,1,,0.5,0.0,,
和才奈々美,KUROBEアクアフェアリーズ,3,6,7,0.0,68,23,7,33.8,23.5,1,0,0,3,24,2,1,9,48,32,7,28,0.0,3.29,0.43,16.7,74.0
和田実莉,PFUブルーキャッツ,16,3,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀口あやか,PFUブルーキャッツ,11,6,7,0.0,56,15,5,26.8,17.9,6,0,2,1,19,2,1,5,40,21,4,18,0.0,2.14,0.14,15.8,57.5
宇田沙織,PFUブルーキャッツ,4,6,3,0.0,15,6,1,40.0,33.3,1,1,0,1,10,1,0,4,14,7,3,8,100.0,2.0,0.33,20.0,60.7
宮下遥,岡山シーガルズ,14,6,6,0.0,2,0,0,0.0,0.0,0,0,0,3,27,1,1,7,1,0,0,4,,0.0,0.5,9.3,0.0
小野寺夏希,岡山シーガルズ,31,6,3,0.0,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
居村杏奈,岡山シーガルズ,12,6,3,0.0,11,3,0,27.3,27.3,0,0,0,1,13,0,0,4,1,1,0,4,,1.0,0.33,7.7,100.0
山下遥香,PFUブルーキャッツ,18,6,5,0.0,0,0,0,,,0,0,0,1,12,0,1,1,0,0,0,1,,0.0,0.2,0.0,
山口舞,岡山シーガルズ,2,6,3,0.0,1,1,0,100.0,100.0,0,0,0,0,3,0,0,0,0,0,0,1,,0.33,0.0,0.0,
島畑奈緒子,PFUブルーキャッツ,14,6,5,0.0,1,0,0,0.0,0.0,0,0,0,1,8,0,0,4,0,0,0,1,,0.0,0.2,12.5,
川島亜依美,岡山シーガルズ,28,6,6,0.0,15,8,0,53.3,53.3,0,0,0,3,26,2,0,9,1,0,1,13,,1.33,0.5,16.3,50.0
平谷里奈,KUROBEアクアフェアリーズ,11,6,7,0.0,93,27,8,29.0,20.4,5,1,1,2,23,2,2,12,69,43,9,31,20.0,3.86,0.29,19.6,68.8
星加輝,KUROBEアクアフェアリーズ,16,6,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村上華澄,PFUブルーキャッツ,6,6,7,0.0,20,4,3,20.0,5.0,0,0,0,3,31,0,3,7,2,2,0,7,,0.57,0.43,3.2,100.0
松下紗也,PFUブルーキャッツ,15,3,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
楢崎慈恵,岡山シーガルズ,27,6,1,0.0,0,0,0,,,0,0,0,0,2,1,0,0,0,0,0,1,,0.0,0.0,50.0,
永間香奈子,岡山シーガルズ,16,6,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,11,8,1,0,,0.0,0.0,,77.3
江畑幸子,PFUブルーキャッツ,5,6,7,0.0,80,27,3,33.8,30.0,13,2,0,1,19,0,3,8,0,0,0,28,15.4,3.86,0.14,6.6,
津賀菜緒,PFUブルーキャッツ,13,6,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
浮島杏加子,KUROBEアクアフェアリーズ,12,6,7,0.0,77,33,7,42.9,33.8,8,2,1,0,19,2,1,8,2,1,1,35,25.0,4.71,0.0,19.7,75.0
清水眞衣,PFUブルーキャッツ,12,6,5,0.0,20,6,2,30.0,20.0,0,0,0,1,5,0,0,1,1,1,0,7,,1.2,0.2,5.0,100.0
渡邊真恵,岡山シーガルズ,6,6,6,0.0,35,14,1,40.0,37.1,0,0,0,0,24,3,0,2,10,3,0,17,,2.33,0.0,14.6,30.0
白岩蘭奈,KUROBEアクアフェアリーズ,17,6,3,0.0,0,0,0,,,0,0,0,0,3,0,2,0,0,0,0,0,,0.0,0.0,-16.7,
白崎麻友香,KUROBEアクアフェアリーズ,5,6,5,0.0,1,1,0,100.0,100.0,0,0,0,0,16,1,0,5,3,1,0,2,,0.2,0.0,14.1,33.3
秋山愛海,PFUブルーキャッツ,10,6,5,0.0,32,7,3,21.9,12.5,1,0,1,1,10,0,0,6,24,11,4,8,0.0,1.4,0.2,15.0,54.2
綿引菜都美,KUROBEアクアフェアリーズ,6,6,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
舛田紗淑,KUROBEアクアフェアリーズ,9,6,2,0.0,0,0,0,,,0,0,0,0,4,0,0,4,0,0,0,0,,0.0,0.0,25.0,
谷七海,PFUブルーキャッツ,7,6,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
金田修佳,岡山シーガルズ,18,6,6,0.0,76,31,1,40.8,39.5,1,1,0,1,20,2,2,3,44,18,8,34,100.0,5.17,0.17,11.2,50.0
雪丸梢,KUROBEアクアフェアリーズ,7,6,7,0.0,25,8,3,32.0,20.0,1,0,0,1,25,0,2,6,2,2,0,9,0.0,1.14,0.14,4.0,100.0
馬場ゆりか,KUROBEアクアフェアリーズ,4,6,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,33,20,8,0,,0.0,0.0,,72.7
高相みな実,PFUブルーキャッツ,17,3,2,0.0,6,4,0,66.7,66.7,0,0,0,0,1,0,0,0,4,1,1,4,,2.0,0.0,0.0,37.5
高野由里加,岡山シーガルズ,21,6,4,0.0,13,4,0,30.8,30.8,0,0,0,2,10,0,0,1,0,0,0,6,,1.0,0.5,2.5,
