名前,チーム,背番号,出場数,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オムルチェンイゴール,豊田合成トレフェルサ,15,7,0.0,0.0,106,54,8,50.9,43.4,49,23,6,6,32,2,5,16,0,0,0,62,46.9,7.71,0.86,14.8,
カジースキマテイ,ジェイテクトSTINGS,1,7,0.0,0.0,78,35,3,44.9,41.0,8,3,1,4,29,4,11,14,37,15,0,43,37.5,5.0,0.57,16.4,40.5
久保山尚,ジェイテクトSTINGS,16,7,0.0,0.0,1,1,0,100.0,100.0,0,0,0,2,17,0,2,5,0,0,0,3,,0.14,0.29,4.4,
傳田亮太,豊田合成トレフェルサ,11,7,0.0,0.0,18,11,1,61.1,55.6,0,0,0,6,27,1,6,6,0,0,0,18,,1.57,0.86,3.7,
内山正平,豊田合成トレフェルサ,4,7,0.0,0.0,1,1,0,100.0,100.0,0,0,0,0,15,1,0,4,0,0,0,2,,0.14,0.0,13.3,
前田一誠,豊田合成トレフェルサ,5,3,0.0,0.0,0,0,0,,,0,0,0,0,4,0,0,0,0,0,0,0,,0.0,0.0,0.0,
古田史郎,ジェイテクトSTINGS,4,7,0.0,0.0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
古賀幸一郎,豊田合成トレフェルサ,10,7,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,43,23,0,0,,0.0,0.0,,53.5
山田脩造,豊田合成トレフェルサ,1,5,0.0,0.0,21,7,2,33.3,23.8,0,0,0,1,20,1,5,9,36,19,0,9,,1.4,0.2,10.0,52.8
山近哲,豊田合成トレフェルサ,2,1,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
岡本秀明,豊田合成トレフェルサ,13,3,0.0,0.0,8,2,0,25.0,25.0,0,0,0,0,6,0,2,4,22,10,0,2,,0.67,0.0,8.3,45.5
川口太一,豊田合成トレフェルサ,20,7,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,11,7,0,0,,0.0,0.0,,63.6
廣瀬優希,ジェイテクトSTINGS,21,1,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
本間隆太,ジェイテクトSTINGS,17,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
松原広輔,ジェイテクトSTINGS,10,1,0.0,0.0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
柳澤広平,ジェイテクトSTINGS,22,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
椿山竜介,豊田合成トレフェルサ,14,1,0.0,0.0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
浅野博亮,ジェイテクトSTINGS,19,7,0.0,0.0,46,17,2,37.0,32.6,2,0,1,1,20,0,2,4,55,30,0,18,0.0,2.43,0.14,2.5,54.5
清野真一,ジェイテクトSTINGS,5,7,0.0,0.0,43,15,3,34.9,27.9,19,4,2,1,39,1,4,20,0,0,0,17,21.1,2.14,0.14,12.8,
福山汰一,ジェイテクトSTINGS,23,7,0.0,0.0,16,10,1,62.5,56.2,0,0,0,3,28,1,0,12,1,1,0,14,,1.43,0.43,14.3,100.0
細中久里寿,豊田合成トレフェルサ,21,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
興梠亮,ジェイテクトSTINGS,12,7,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,31,17,0,0,,0.0,0.0,,54.8
近裕崇,豊田合成トレフェルサ,6,7,0.0,0.0,20,11,1,55.0,50.0,0,0,0,3,26,0,2,12,0,0,0,14,,1.57,0.43,9.6,
金丸晃大,ジェイテクトSTINGS,2,7,0.0,0.0,9,6,0,66.7,66.7,0,0,0,6,25,2,0,10,0,0,0,14,,0.86,0.86,18.0,
高松卓矢,豊田合成トレフェルサ,12,7,0.0,0.0,35,16,2,45.7,40.0,1,0,0,1,25,0,8,9,27,14,0,17,0.0,2.29,0.14,1.0,51.9
高橋和人,ジェイテクトSTINGS,7,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高橋慎治,ジェイテクトSTINGS,6,5,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
黒澤雄介,豊田合成トレフェルサ,16,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
