名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ヌネスシダルカ,埼玉上尾メディックス,4,28,57,755,378,91,50.1,38.0,182,67,38,16,203,15,44,50,18,6,0,36.8,6.63,0.28,8.1,33.3
三崎栄子,健祥会レッドハーツ,5,28,40,0,0,0,,,0,0,0,0,70,2,2,18,0,0,0,,0.0,0.0,8.6,
上田美子,KUROBEアクアフェアリーズ,13,28,46,326,96,28,29.4,20.9,0,0,0,17,140,8,11,50,223,123,0,,2.09,0.37,12.7,55.2
中尾巴美,埼玉上尾メディックス,7,28,57,271,127,9,46.9,43.5,1,0,0,25,214,3,9,51,95,55,0,0.0,2.23,0.44,6.3,57.9
中野清香,三洋電機レッドソア,8,28,29,162,47,11,29.0,22.2,0,0,0,1,53,0,7,8,26,15,0,,1.62,0.03,0.5,57.7
丸山舞子,三洋電機レッドソア,2,28,44,37,21,2,56.8,51.4,0,0,0,12,122,4,2,36,4,1,0,,0.48,0.27,10.2,25.0
久井真由美,埼玉上尾メディックス,1,19,9,0,0,0,,,0,0,0,0,0,0,0,0,57,35,0,,0.0,0.0,,61.4
井之上由梨奈,大野石油広島オイラーズ,10,28,15,5,2,1,40.0,20.0,0,0,0,0,21,0,0,8,0,0,0,,0.13,0.0,9.5,
井田彩奈,四国Eighty8Queen,1,28,56,259,93,31,35.9,23.9,0,0,0,14,130,4,9,52,2,2,0,,1.66,0.25,11.3,100.0
仁里奈那美,四国Eighty8Queen,7,28,56,0,0,0,,,0,0,0,0,0,0,0,0,248,184,0,,0.0,0.0,,74.2
仲本知佳,柏エンゼルクロス,15,24,30,86,34,4,39.5,34.9,0,0,0,9,68,0,3,16,3,1,0,,1.13,0.3,4.8,33.3
伊藤智美,KUROBEアクアフェアリーズ,17,26,39,266,71,30,26.7,15.4,1,0,0,4,108,6,7,20,186,108,0,0.0,1.82,0.1,8.6,58.1
伊藤睦美,KUROBEアクアフェアリーズ,9,26,45,232,62,27,26.7,15.1,0,0,0,16,110,2,5,17,48,32,0,,1.38,0.36,4.5,66.7
