名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ヌネスシダルカ,2008-01,埼玉上尾メディックス,4,4,15,220,120,31,54.5,40.5,63,27,15,4,60,6,14,17,10,4,0,42.9,8.0,0.27,11.2,40.0
ヌネスシダルカ,2008-02,埼玉上尾メディックス,4,12,25,350,167,41,47.7,36.0,79,27,14,5,83,6,20,15,7,1,0,34.2,6.68,0.2,5.7,14.3
ヌネスシダルカ,2008-03,埼玉上尾メディックス,4,12,17,185,91,19,49.2,38.9,40,13,9,7,60,3,10,18,1,1,0,32.5,5.35,0.41,8.3,100.0
三崎栄子,2008-01,健祥会レッドハーツ,5,4,7,0,0,0,,,0,0,0,0,12,0,1,5,0,0,0,,0.0,0.0,8.3,
三崎栄子,2008-02,健祥会レッドハーツ,5,12,20,0,0,0,,,0,0,0,0,32,2,0,6,0,0,0,,0.0,0.0,10.9,
三崎栄子,2008-03,健祥会レッドハーツ,5,12,13,0,0,0,,,0,0,0,0,26,0,1,7,0,0,0,,0.0,0.0,5.8,
上田美子,2008-01,KUROBEアクアフェアリーズ,13,4,13,96,37,8,38.5,30.2,0,0,0,7,37,2,7,12,84,50,0,,2.85,0.54,8.8,59.5
上田美子,2008-02,KUROBEアクアフェアリーズ,13,12,23,167,51,13,30.5,22.8,0,0,0,8,81,5,2,33,115,58,0,,2.22,0.35,15.7,50.4
上田美子,2008-03,KUROBEアクアフェアリーズ,13,12,10,63,8,7,12.7,1.6,0,0,0,2,22,1,2,5,24,15,0,,0.8,0.2,8.0,62.5
中尾巴美,2008-01,埼玉上尾メディックス,7,4,15,46,28,0,60.9,60.9,0,0,0,10,64,2,3,15,24,18,0,,1.87,0.67,7.8,75.0
中尾巴美,2008-02,埼玉上尾メディックス,7,12,25,145,65,7,44.8,40.0,1,0,0,10,95,0,3,23,37,20,0,0.0,2.6,0.4,5.3,54.1
中尾巴美,2008-03,埼玉上尾メディックス,7,12,17,80,34,2,42.5,40.0,0,0,0,5,55,1,3,13,34,17,0,,2.0,0.29,6.4,50.0
中野清香,2008-01,三洋電機レッドソア,8,4,5,17,5,1,29.4,23.5,0,0,0,0,3,0,0,1,1,1,0,,1.0,0.0,8.3,100.0
中野清香,2008-02,三洋電機レッドソア,8,12,17,118,38,9,32.2,24.6,0,0,0,1,42,0,7,6,23,13,0,,2.24,0.06,-0.6,56.5
中野清香,2008-03,三洋電機レッドソア,8,12,7,27,4,1,14.8,11.1,0,0,0,0,8,0,0,1,2,1,0,,0.57,0.0,3.1,50.0
丸山舞子,2008-01,三洋電機レッドソア,2,4,8,8,4,1,50.0,37.5,0,0,0,1,11,0,0,6,1,0,0,,0.5,0.12,13.6,0.0
丸山舞子,2008-02,三洋電機レッドソア,2,12,22,18,10,1,55.6,50.0,0,0,0,5,73,2,1,23,2,1,0,,0.45,0.23,10.3,50.0
丸山舞子,2008-03,三洋電機レッドソア,2,12,14,11,7,0,63.6,63.6,0,0,0,6,38,2,1,7,1,0,0,,0.5,0.43,9.2,0.0
久井真由美,2008-01,埼玉上尾メディックス,1,3,4,0,0,0,,,0,0,0,0,0,0,0,0,8,4,0,,0.0,0.0,,50.0
久井真由美,2008-02,埼玉上尾メディックス,1,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
久井真由美,2008-03,埼玉上尾メディックス,1,12,5,0,0,0,,,0,0,0,0,0,0,0,0,49,31,0,,0.0,0.0,,63.3
井之上由梨奈,2008-01,大野石油広島オイラーズ,10,4,4,4,1,1,25.0,0.0,0,0,0,0,5,0,0,0,0,0,0,,0.25,0.0,0.0,
井之上由梨奈,2008-02,大野石油広島オイラーズ,10,12,7,1,1,0,100.0,100.0,0,0,0,0,11,0,0,5,0,0,0,,0.14,0.0,11.4,
井之上由梨奈,2008-03,大野石油広島オイラーズ,10,12,4,0,0,0,,,0,0,0,0,5,0,0,3,0,0,0,,0.0,0.0,15.0,
井田彩奈,2008-01,四国Eighty8Queen,1,4,16,75,25,13,33.3,16.0,0,0,0,1,48,1,2,18,1,1,0,,1.56,0.06,10.4,100.0
井田彩奈,2008-02,四国Eighty8Queen,1,12,24,114,37,11,32.5,22.8,0,0,0,11,53,2,4,22,1,1,0,,1.54,0.46,12.3,100.0
井田彩奈,2008-03,四国Eighty8Queen,1,12,16,70,31,7,44.3,34.3,0,0,0,2,29,1,3,12,0,0,0,,1.94,0.12,11.2,
仁里奈那美,2008-01,四国Eighty8Queen,7,4,16,0,0,0,,,0,0,0,0,0,0,0,0,73,54,0,,0.0,0.0,,74.0
仁里奈那美,2008-02,四国Eighty8Queen,7,12,24,0,0,0,,,0,0,0,0,0,0,0,0,85,58,0,,0.0,0.0,,68.2
仁里奈那美,2008-03,四国Eighty8Queen,7,12,16,0,0,0,,,0,0,0,0,0,0,0,0,90,72,0,,0.0,0.0,,80.0
仲本知佳,2008-02,柏エンゼルクロス,15,12,23,61,21,2,34.4,31.1,0,0,0,9,51,0,2,11,3,1,0,,0.91,0.39,4.4,33.3
仲本知佳,2008-03,柏エンゼルクロス,15,12,7,25,13,2,52.0,44.0,0,0,0,0,17,0,1,5,0,0,0,,1.86,0.0,5.9,
伊藤智美,2008-01,KUROBEアクアフェアリーズ,17,4,11,48,6,4,12.5,4.2,1,0,0,2,29,0,1,4,52,32,0,0.0,0.55,0.18,2.6,61.5
伊藤智美,2008-02,KUROBEアクアフェアリーズ,17,10,13,92,30,8,32.6,23.9,0,0,0,0,29,2,5,4,62,27,0,,2.31,0.0,6.0,43.5
