名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
シッティラックオヌマー,JTマーヴェラス,6,61,641,280,47,43.7,36.3,152,45,8,24,270,20,37,114,3,1,0,29.6,4.6,0.4,14.5
ドリスジェニファー,PFUブルーキャッツ,2,59,411,228,10,55.5,53.0,0,0,0,57,147,3,2,63,1,0,0,,3.9,1.0,12.4
三橋聡恵,PFUブルーキャッツ,8,59,482,187,28,38.8,33.0,17,2,3,29,250,14,31,72,350,230,0,11.8,3.2,0.5,9.7
三浦あゆみ,GSS東京サンビームズ,8,63,82,18,14,22.0,4.9,6,0,1,1,20,0,5,6,221,139,0,0.0,0.3,0.0,1.2
上屋敷綾,JTマーヴェラス,11,45,149,48,7,32.2,27.5,7,0,1,3,158,11,13,61,236,145,0,0.0,1.1,0.1,14.6
下田梨生,トヨタ自動車ヴァルキューレ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
中村亜友美,JTマーヴェラス,4,22,82,33,5,40.2,34.1,3,1,0,3,46,4,10,20,87,55,0,33.3,1.5,0.1,14.1
中村愛理,JAぎふリオレーナ,18,39,0,0,0,,,0,0,0,0,48,1,7,16,23,11,0,,0.0,0.0,6.8
中村早紀子,JAぎふリオレーナ,10,67,650,196,31,30.2,25.4,61,10,6,8,236,7,16,80,613,445,0,16.4,2.9,0.1,9.7
中野清香,仙台ベルフィーユ,8,66,932,297,36,31.9,28.0,20,2,1,21,281,12,34,103,20,9,0,10.0,4.5,0.3,10.4
丸山紗季,KUROBEアクアフェアリーズ,1,51,93,33,5,35.5,30.1,1,0,0,13,27,1,2,11,65,35,0,0.0,0.6,0.3,12.0
井上実咲,仙台ベルフィーユ,1,27,50,13,2,26.0,22.0,0,0,0,4,68,2,12,31,1,0,0,,0.5,0.1,9.9
井上琴絵,JTマーヴェラス,10,61,0,0,0,,,0,0,0,0,0,0,0,0,271,181,0,,0.0,0.0,
位田愛,JTマーヴェラス,5,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
佐々原和,JAぎふリオレーナ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
佐々木夏希,PFUブルーキャッツ,6,21,0,0,0,,,0,0,0,0,37,1,0,14,0,0,0,,0.0,0.0,12.2
佐々木香織,仙台ベルフィーユ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
佐藤みなみ,フォレストリーヴズ熊本,8,59,0,0,0,,,0,0,0,0,0,0,0,0,217,142,0,,0.0,0.0,
佐藤仁美,トヨタ自動車ヴァルキューレ,6,45,73,13,2,17.8,15.1,0,0,0,8,72,0,9,14,3,0,0,,0.3,0.2,1.7
佐藤優花,トヨタ自動車ヴァルキューレ,4,63,1062,394,53,37.1,32.1,142,42,16,11,203,6,4,52,273,166,0,29.6,6.3,0.2,8.9
佐藤舞,柏エンゼルクロス,12,32,114,33,2,28.9,27.2,0,0,0,16,97,4,10,23,0,0,0,,1.0,0.5,7.5
倉見夏乃,KUROBEアクアフェアリーズ,2,70,296,117,22,39.5,32.1,2,0,0,57,238,8,6,72,4,4,0,0.0,1.7,0.8,10.3
前田舞,フォレストリーヴズ熊本,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
北原美和子,トヨタ自動車ヴァルキューレ,12,5,2,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,,0.0,0.0,25.0
厨子真帆,KUROBEアクアフェアリーズ,9,32,0,0,0,,,0,0,0,0,6,0,0,2,0,0,0,,0.0,0.0,8.3
古屋美紀,KUROBEアクアフェアリーズ,4,70,307,106,21,34.5,27.7,2,0,1,48,184,6,20,71,3,2,0,0.0,1.5,0.7,10.2
吉井奎乃,JAぎふリオレーナ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
