名前,年月,チーム,背番号,月,出場数,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アンジェルコチュク,2010-04,豊田合成トレフェルサ,10,4,3,0.0,0.0,32,15,1,46.9,43.8,13,10,0,1,9,0,3,1,1,1,0,16,76.9,5.0,0.33,-5.6,100.0
エンダキエムブレイ,2010-04,堺ブレイザーズ,7,4,3,0.0,0.0,40,22,4,55.0,45.0,18,11,1,0,14,1,1,5,0,0,0,23,61.1,7.33,0.0,14.3,
タヴァレスジョンパウロ,2010-04,パナソニックパンサーズ,11,4,3,0.0,0.0,26,16,0,61.5,61.5,9,4,0,2,14,0,2,3,19,11,0,18,44.4,5.33,0.67,1.8,57.9
ボヨビッチデヤン,2010-04,東レアローズ,12,4,3,0.0,0.0,23,18,0,78.3,78.3,8,7,0,1,9,0,2,2,0,0,0,19,87.5,6.0,0.33,0.0,
丸山祥二,2010-04,豊田合成トレフェルサ,18,4,2,0.0,0.0,7,1,2,14.3,-14.3,0,0,0,0,4,0,1,0,0,0,0,1,,0.5,0.0,-6.2,
井上崇昭,2010-04,豊田合成トレフェルサ,8,4,3,0.0,0.0,22,7,3,31.8,18.2,5,2,2,1,9,0,0,5,8,6,0,8,40.0,2.33,0.33,13.9,75.0
井上裕介,2010-04,堺ブレイザーズ,2,4,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,17,11,0,0,,0.0,0.0,,64.7
今村駿,2010-04,堺ブレイザーズ,19,4,3,0.0,0.0,1,1,0,100.0,100.0,0,0,0,0,15,0,4,4,0,0,0,1,,0.33,0.0,0.0,
今田祐介,2010-04,東レアローズ,14,4,3,0.0,0.0,11,6,1,54.5,45.5,2,1,0,1,17,3,2,5,13,9,0,10,50.0,2.0,0.33,22.1,69.2
伊藤信博,2010-04,堺ブレイザーズ,15,4,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
