名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カントルサンドロ,パナソニックパンサーズ,22,83,641,327,51,51.0,43.1,129,65,14,24,327,33,59,129,390,291,0,384,50.4,3.9,0.3,15.4,74.6
サベリエフイリア,JTサンダーズ,21,78,677,372,37,54.9,49.5,185,100,15,29,332,29,57,135,440,306,0,430,54.1,4.8,0.4,14.6,69.5
ジルソンベルナルド,サントリーサンバーズ,16,78,1076,546,119,50.7,39.7,459,243,61,25,369,63,89,134,17,5,0,634,52.9,7.0,0.3,20.1,29.4
フォーミンドミトリー,東レアローズ,9,46,361,171,24,47.4,40.7,154,80,14,20,150,18,19,53,6,2,0,209,51.9,3.7,0.4,17.7,33.3
フルタードブルーノ,堺ブレイザーズ,18,70,809,419,109,51.8,38.3,350,183,53,30,239,28,71,71,51,23,0,477,52.3,6.0,0.4,11.7,45.1
ペレイラマックス,豊田合成トレフェルサ,10,76,877,398,100,45.4,34.0,404,190,59,25,306,46,69,90,7,0,0,469,47.0,5.2,0.3,16.7,0.0
ロドリゲスアンデルソン,NECブルーロケッツ,18,85,954,485,116,50.8,38.7,391,211,59,28,354,50,111,103,34,19,0,563,54.0,5.7,0.3,13.6,55.9
上田剛史,サントリーサンバーズ,14,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
上田芳裕,サントリーサンバーズ,9,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
上野敦史,豊田合成トレフェルサ,18,1,1,0,1,0.0,-100.0,1,0,1,0,0,0,0,0,3,2,0,0,0.0,0.0,0.0,,66.7
下田悟,JTサンダーズ,7,9,19,9,1,47.4,42.1,0,0,0,0,23,1,2,4,35,20,0,10,,1.0,0.0,6.5,57.1
中垣内祐一,堺ブレイザーズ,4,51,121,60,10,49.6,41.3,47,19,5,6,33,1,8,3,0,0,0,67,40.4,1.2,0.1,-0.8,
丸山利明,旭化成スパーキッズ,9,75,382,182,30,47.6,39.8,13,5,2,13,303,20,49,77,497,359,0,215,38.5,2.4,0.2,8.9,72.2
丹山禎昭,JTサンダーズ,5,1,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
久保尚志,パナソニックパンサーズ,11,81,0,0,0,,,0,0,0,0,108,9,30,26,56,30,0,9,,0.0,0.0,7.4,53.6
今井啓介,パナソニックパンサーズ,4,78,198,111,16,56.1,48.0,2,0,0,57,233,14,51,63,1,1,0,182,0.0,1.4,0.7,7.3,100.0
伊勢隆一,JTサンダーズ,14,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
伊藤信博,堺ブレイザーズ,15,68,145,75,11,51.7,44.1,1,0,0,33,267,27,53,77,3,3,0,135,0.0,1.1,0.5,12.4,100.0
伊藤淳,旭化成スパーキッズ,7,65,142,78,12,54.9,46.5,0,0,0,31,155,2,9,13,6,4,0,111,,1.2,0.5,1.9,66.7
佐々木太一,サントリーサンバーズ,2,78,220,132,10,60.0,55.5,2,0,1,44,234,8,45,51,11,9,0,184,0.0,1.7,0.6,4.1,81.8
佐藤和夫,豊田合成トレフェルサ,17,56,77,32,6,41.6,33.8,0,0,0,14,183,9,37,53,3,2,0,55,,0.6,0.2,7.1,66.7
