名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アルドリッチエリン,NECレッドロケッツ,11,34,241,116,9,48.1,44.4,0,0,0,13,90,1,5,14,6,3,0,130,,3.41,0.38,3.6,50.0
ウーシッチセナ,パイオニアレッドウィングス,22,100,654,266,32,40.7,35.8,166,57,9,32,207,6,22,42,385,251,0,304,34.3,2.66,0.32,5.3,65.2
ジョインズジェニファー,トヨタ車体クインシーズ,19,103,601,295,38,49.1,42.8,1,0,0,39,292,8,25,75,16,12,0,342,0.0,2.86,0.38,7.0,75.0
デラクルス デ ペニャベタニア,東レアローズ,18,73,829,438,49,52.8,46.9,183,100,17,35,282,15,45,74,3,2,0,488,54.6,6.0,0.48,7.9,66.7
ニコリッチイェレナ,武富士バンブー,25,86,1106,446,92,40.3,32.0,224,82,27,34,285,11,34,96,501,301,0,491,36.6,5.19,0.4,9.3,60.1
パブロワイエレナ,久光製薬スプリングス,11,104,1386,635,128,45.8,36.6,224,76,42,40,322,17,81,80,61,36,0,692,33.9,6.11,0.38,5.2,59.0
モレーノケニー,JTマーヴェラス,3,106,1233,547,108,44.4,35.6,437,202,51,55,365,15,45,112,22,9,0,617,46.2,5.16,0.52,8.7,40.9
ロンドンシンディ,デンソーエアリービーズ,28,69,770,355,47,46.1,40.0,140,50,19,56,224,14,38,49,10,6,0,425,35.7,5.14,0.81,7.5,60.0
三上彩,久光製薬スプリングス,13,38,8,3,0,37.5,37.5,0,0,0,3,26,2,4,6,1,0,0,8,,0.08,0.08,9.6,0.0
三澤由佳,武富士バンブー,14,3,1,1,0,100.0,100.0,0,0,0,1,2,0,0,0,1,1,0,2,,0.33,0.33,0.0,100.0
上村麻衣,デンソーエアリービーズ,13,2,0,0,0,,,0,0,0,0,2,0,0,1,1,0,0,0,,0.0,0.0,12.5,0.0
上田かおり,久光製薬スプリングス,6,1,2,1,0,50.0,50.0,0,0,0,0,5,0,0,1,0,0,0,1,,1.0,0.0,5.0,
中村かおり,日立リヴァーレ,19,71,0,0,0,,,0,0,0,0,2,0,0,2,328,206,0,0,,0.0,0.0,25.0,62.8
中村真美,NECレッドロケッツ,7,29,0,0,0,,,0,0,0,0,42,1,1,8,1,1,0,1,,0.0,0.0,6.5,100.0
中道瞳,東レアローズ,8,97,35,17,1,48.6,45.7,3,1,0,2,490,16,11,155,5,3,0,35,33.3,0.18,0.02,10.6,60.0
久保雅,JTマーヴェラス,4,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
二川万里子,日立リヴァーレ,7,35,157,50,6,31.8,28.0,1,0,0,3,111,7,23,31,3,2,0,60,0.0,1.43,0.09,8.1,66.7
井上香織,デンソーエアリービーズ,8,98,401,198,12,49.4,46.4,0,0,0,75,309,4,21,90,10,9,0,277,,2.02,0.77,6.9,90.0
井西彩乃,日立リヴァーレ,8,88,780,232,59,29.7,22.2,1,0,0,20,245,14,18,75,472,316,0,266,0.0,2.64,0.23,11.5,66.9
仁木希,久光製薬スプリングス,1,84,364,123,16,33.8,29.4,0,0,0,12,288,10,20,84,473,324,0,145,,1.46,0.14,9.0,68.5
