名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アルドリッチエリン,01,NECレッドロケッツ,11,10,76,33,2,43.4,40.8,0,0,0,3,28,0,1,4,2,1,0,36,,3.3,0.3,2.7,50.0
アルドリッチエリン,12,NECレッドロケッツ,11,24,165,83,7,50.3,46.1,0,0,0,10,62,1,4,10,4,2,0,94,,3.5,0.4,4.0,50.0
ウーシッチセナ,01,パイオニアレッドウィングス,22,22,70,28,5,40.0,32.9,12,5,1,3,23,0,2,5,61,35,0,31,41.7,1.3,0.1,3.3,57.4
ウーシッチセナ,02,パイオニアレッドウィングス,22,31,243,103,11,42.4,37.9,56,18,5,13,62,0,7,14,121,84,0,116,32.1,3.3,0.4,2.8,69.4
ウーシッチセナ,03,パイオニアレッドウィングス,22,25,187,71,7,38.0,34.2,61,18,1,5,60,1,1,12,77,48,0,77,29.5,2.8,0.2,6.2,62.3
ウーシッチセナ,12,パイオニアレッドウィングス,22,22,154,64,9,41.6,35.7,37,16,2,11,62,5,12,11,126,84,0,80,43.2,2.9,0.5,7.7,66.7
ジョインズジェニファー,01,トヨタ車体クインシーズ,19,29,197,90,10,45.7,40.6,0,0,0,13,92,3,5,26,7,6,0,106,,3.1,0.4,9.0,85.7
ジョインズジェニファー,02,トヨタ車体クインシーズ,19,33,202,107,15,53.0,45.5,0,0,0,9,93,4,12,26,2,2,0,120,,3.2,0.3,8.1,100.0
ジョインズジェニファー,03,トヨタ車体クインシーズ,19,22,123,54,9,43.9,36.6,0,0,0,9,68,1,5,16,2,1,0,64,,2.5,0.4,5.5,50.0
ジョインズジェニファー,12,トヨタ車体クインシーズ,19,19,79,44,4,55.7,50.6,1,0,0,8,39,0,3,7,5,3,0,52,0.0,2.3,0.4,2.6,60.0
デラクルス デ ペニャベタニア,01,東レアローズ,18,25,303,167,15,55.1,50.2,77,46,6,10,94,2,17,23,1,1,0,179,59.7,6.7,0.4,3.7,100.0
デラクルス デ ペニャベタニア,02,東レアローズ,18,30,341,172,23,50.4,43.7,82,42,8,15,112,4,18,32,0,0,0,191,51.2,5.7,0.5,6.7,
デラクルス デ ペニャベタニア,03,東レアローズ,18,18,185,99,11,53.5,47.6,24,12,3,10,76,9,10,19,2,1,0,118,50.0,5.5,0.6,14.8,50.0
ニコリッチイェレナ,01,武富士バンブー,25,7,115,42,9,36.5,28.7,22,8,3,5,24,1,4,11,44,33,0,48,36.4,6.0,0.7,11.5,75.0
ニコリッチイェレナ,02,武富士バンブー,25,33,427,169,37,39.6,30.9,89,32,9,14,112,5,9,40,150,91,0,188,36.0,5.1,0.4,11.4,60.7
ニコリッチイェレナ,03,武富士バンブー,25,24,314,130,20,41.4,35.0,69,29,7,8,81,2,11,21,168,97,0,140,42.0,5.4,0.3,5.6,57.7
ニコリッチイェレナ,12,武富士バンブー,25,22,250,105,26,42.0,31.6,44,13,8,7,68,3,10,24,139,80,0,115,29.5,4.8,0.3,9.6,57.6
パブロワイエレナ,01,久光製薬スプリングス,11,28,376,177,33,47.1,38.3,64,28,9,12,93,7,25,22,4,3,0,196,43.8,6.3,0.4,6.7,75.0
パブロワイエレナ,02,久光製薬スプリングス,11,32,422,203,39,48.1,38.9,74,22,17,12,106,5,26,25,21,12,0,220,29.7,6.3,0.4,4.5,57.1
パブロワイエレナ,03,久光製薬スプリングス,11,17,231,103,29,44.6,32.0,37,7,11,9,36,2,13,7,9,6,0,114,18.9,6.1,0.5,1.4,66.7
パブロワイエレナ,12,久光製薬スプリングス,11,27,357,152,27,42.6,35.0,49,19,5,7,87,3,17,26,27,15,0,162,38.8,5.6,0.3,6.0,55.6
モレーノケニー,01,JTマーヴェラス,3,29,300,140,28,46.7,37.3,91,51,9,11,108,6,16,34,5,3,0,157,56.0,4.8,0.4,9.7,60.0
モレーノケニー,02,JTマーヴェラス,3,31,413,191,36,46.2,37.5,164,77,19,18,114,2,17,27,7,4,0,211,47.0,6.2,0.6,3.9,57.1
モレーノケニー,03,JTマーヴェラス,3,22,271,114,20,42.1,34.7,95,41,10,13,63,1,4,20,7,0,0,128,43.2,5.2,0.6,7.9,0.0
モレーノケニー,12,JTマーヴェラス,3,24,249,102,24,41.0,31.3,87,33,13,13,80,6,8,31,3,2,0,121,37.9,4.2,0.5,14.7,66.7
ロンドンシンディ,01,デンソーエアリービーズ,28,26,306,143,24,46.7,38.9,61,24,8,19,91,2,16,16,3,2,0,164,39.3,5.5,0.7,2.2,66.7
