名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
一森祐希奈,01,トヨタ自動車ヴァルキューレ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
一森祐希奈,02,トヨタ自動車ヴァルキューレ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
一森祐希奈,11,トヨタ自動車ヴァルキューレ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三好紗弥香,01,群馬銀行グリーンウイングス,13,12,137,29,9,21.2,14.6,2,0,0,3,51,2,6,17,94,57,0,0.0,2.4,0.2,9.3,60.6
三好紗弥香,02,群馬銀行グリーンウイングス,13,11,63,13,7,20.6,9.5,0,0,0,2,23,1,2,10,45,22,0,,1.2,0.2,13.0,48.9
三好紗弥香,11,群馬銀行グリーンウイングス,13,5,22,6,2,27.3,18.2,0,0,0,0,8,0,0,4,3,1,0,,1.2,0.0,12.5,33.3
三好紗弥香,12,群馬銀行グリーンウイングス,13,1,0,0,0,,,0,0,0,0,1,0,0,0,2,1,0,,0.0,0.0,0.0,50.0
三浦あゆみ,01,GSS東京サンビームズ,8,8,0,0,0,,,0,0,0,0,1,0,1,0,10,3,0,,0.0,0.0,-25.0,30.0
三浦あゆみ,02,GSS東京サンビームズ,8,9,0,0,0,,,0,0,0,0,0,0,0,0,25,15,0,,0.0,0.0,,60.0
三浦あゆみ,11,GSS東京サンビームズ,8,14,4,0,1,0.0,-25.0,0,0,0,0,1,0,0,0,32,16,0,,0.0,0.0,0.0,50.0
三浦あゆみ,12,GSS東京サンビームズ,8,3,0,0,0,,,0,0,0,0,0,0,0,0,9,4,0,,0.0,0.0,,44.4
三澤未憂,01,プレステージ・インターナショナルアランマーレ,10,10,1,1,0,100.0,100.0,0,0,0,0,13,0,1,6,14,7,0,,0.1,0.0,9.6,50.0
三澤未憂,02,プレステージ・インターナショナルアランマーレ,10,10,0,0,0,,,0,0,0,0,17,0,3,6,8,5,0,,0.0,0.0,4.4,62.5
三澤未憂,11,プレステージ・インターナショナルアランマーレ,10,10,26,4,4,15.4,0.0,0,0,0,0,17,0,3,6,61,38,0,,0.4,0.0,4.4,62.3
三澤未憂,12,プレステージ・インターナショナルアランマーレ,10,1,0,0,0,,,0,0,0,0,1,0,0,1,1,0,0,,0.0,0.0,25.0,0.0
不破沙耶佳,01,大阪スーペリアーズ,15,3,16,9,1,56.2,50.0,0,0,0,1,6,0,0,2,3,2,0,,3.0,0.3,8.3,66.7
不破沙耶佳,02,大阪スーペリアーズ,15,16,115,37,13,32.2,20.9,6,0,2,8,46,1,6,5,76,48,0,0.0,2.3,0.5,1.6,63.2
不破沙耶佳,11,大阪スーペリアーズ,15,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
不破沙耶佳,12,大阪スーペリアーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中田香澄,01,プレステージ・インターナショナルアランマーレ,5,20,123,38,6,30.9,26.0,0,0,0,1,66,2,7,24,65,38,0,,1.9,0.0,9.5,58.5
中田香澄,02,プレステージ・インターナショナルアランマーレ,5,16,134,40,3,29.9,27.6,0,0,0,1,38,1,7,13,29,17,0,,2.5,0.1,6.6,58.6
中田香澄,11,プレステージ・インターナショナルアランマーレ,5,14,101,34,5,33.7,28.7,0,0,0,0,45,1,2,15,55,26,0,,2.4,0.0,9.4,47.3
中田香澄,12,プレステージ・インターナショナルアランマーレ,5,4,39,12,3,30.8,23.1,0,0,0,1,20,0,1,9,13,5,0,,3.0,0.2,10.0,38.5
丸山佳穂,01,群馬銀行グリーンウイングス,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸山佳穂,02,群馬銀行グリーンウイングス,9,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
丸山佳穂,11,群馬銀行グリーンウイングス,9,10,0,0,0,,,0,0,0,0,14,0,2,4,4,1,0,,0.0,0.0,3.6,25.0
丸山佳穂,12,群馬銀行グリーンウイングス,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸田佳穂,11,GSS東京サンビームズ,10,2,1,0,0,0.0,0.0,0,0,0,0,4,0,0,2,0,0,0,,0.0,0.0,12.5,
丹野瑞希,01,プレステージ・インターナショナルアランマーレ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
丹野瑞希,02,プレステージ・インターナショナルアランマーレ,14,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,
丹野瑞希,11,プレステージ・インターナショナルアランマーレ,14,8,37,1,4,2.7,-8.1,0,0,0,0,20,4,4,6,0,0,0,,0.1,0.0,22.5,
丹野瑞希,12,プレステージ・インターナショナルアランマーレ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤セレナ,01,プレステージ・インターナショナルアランマーレ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤セレナ,02,プレステージ・インターナショナルアランマーレ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤セレナ,11,プレステージ・インターナショナルアランマーレ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤セレナ,12,プレステージ・インターナショナルアランマーレ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤仁美,01,トヨタ自動車ヴァルキューレ,6,17,41,12,3,29.3,22.0,0,0,0,7,27,0,0,10,0,0,0,,0.7,0.4,9.3,
佐藤仁美,02,トヨタ自動車ヴァルキューレ,6,20,58,16,4,27.6,20.7,0,0,0,7,48,2,5,17,1,0,0,,0.8,0.4,10.4,0.0
佐藤仁美,11,トヨタ自動車ヴァルキューレ,6,9,41,17,1,41.5,39.0,0,0,0,6,30,2,2,13,1,0,0,,1.9,0.7,15.8,0.0
佐藤仁美,12,トヨタ自動車ヴァルキューレ,6,3,9,3,0,33.3,33.3,0,0,0,1,7,0,0,4,0,0,0,,1.0,0.3,14.3,
佐藤優花,01,トヨタ自動車ヴァルキューレ,4,18,258,109,10,42.2,38.4,7,4,0,6,62,5,5,17,63,37,0,57.1,6.1,0.3,12.9,58.7
佐藤優花,02,トヨタ自動車ヴァルキューレ,4,20,255,122,4,47.8,46.3,13,5,1,6,87,5,8,29,102,65,0,38.5,6.1,0.3,11.8,63.7
佐藤優花,11,トヨタ自動車ヴァルキューレ,4,13,164,68,1,41.5,40.9,7,1,1,8,47,2,9,17,48,22,0,14.3,5.2,0.6,8.5,45.8
佐藤優花,12,トヨタ自動車ヴァルキューレ,4,3,36,17,2,47.2,41.7,1,0,0,3,13,2,1,4,8,3,0,0.0,5.7,1.0,21.2,37.5
佐藤円,01,プレステージ・インターナショナルアランマーレ,3,21,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐藤円,02,プレステージ・インターナショナルアランマーレ,3,19,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐藤円,11,プレステージ・インターナショナルアランマーレ,3,13,0,0,0,,,0,0,0,0,0,0,0,0,11,1,0,,0.0,0.0,,9.1
佐藤円,12,プレステージ・インターナショナルアランマーレ,3,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐藤千咲,01,プレステージ・インターナショナルアランマーレ,18,6,13,2,1,15.4,7.7,0,0,0,0,0,0,0,0,0,0,0,,0.3,0.0,,
佐藤千咲,02,プレステージ・インターナショナルアランマーレ,18,3,4,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,,0.0,0.3,,100.0
佐藤千咲,11,プレステージ・インターナショナルアランマーレ,18,7,11,4,0,36.4,36.4,0,0,0,1,0,0,0,0,0,0,0,,0.6,0.1,,
佐藤千咲,12,プレステージ・インターナショナルアランマーレ,18,2,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐藤梨夏,01,プレステージ・インターナショナルアランマーレ,12,21,137,47,13,34.3,24.8,0,0,0,5,65,3,8,25,4,3,0,,2.2,0.2,11.2,75.0
