大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION3 MEN,トヨタモビリティ東京スパークル,13,24,66,22,4,33.3,5,2,1,40.0,0.92,6,0.25,67,0,1,7,15,4.5,3,0,1,16.7,22,6,1,29
レギュラーラウンド,トヨタモビリティ東京スパークル,13,24,66,22,4,33.3,5,2,1,40.0,0.92,6,0.25,67,0,1,7,15,4.5,3,0,1,16.7,22,6,1,29
V.LEAGUE DIVISION3 MEN 2018-19,東京トヨペットグリーンスパークル,14,1,1,0,0,0.0,0,0,0,-,-,4,4.0,5,0,0,0,4,20.0,0,0,0,-,0,4,0,4
レギュラーラウンド,東京トヨペットグリーンスパークル,14,1,1,0,0,0.0,0,0,0,-,-,4,4.0,5,0,0,0,4,20.0,0,0,0,-,0,4,0,4
Ｖ・チャレンジリーグⅡ男子 2017/18,東京トヨペットグリーンスパークル,18,25,109,28,11,25.7,17,4,5,23.5,1.12,7,0.28,48,0,0,3,11,4.2,13,3,5,42.3,28,7,0,35
レギュラーラウンド,東京トヨペットグリーンスパークル,18,25,109,28,11,25.7,17,4,5,23.5,1.12,7,0.28,48,0,0,3,11,4.2,13,3,5,42.3,28,7,0,35
Ｖ・チャレンジリーグⅡ男子 2016/17,東京トヨペットグリーンスパークル,21,52,61,20,7,32.8,2,0,0,0.0,0.38,6,0.12,87,1,4,7,29,13.2,25,8,0,32.0,20,6,5,31
レギュラーラウンド,東京トヨペットグリーンスパークル,21,52,61,20,7,32.8,2,0,0,0.0,0.38,6,0.12,87,1,4,7,29,13.2,25,8,0,32.0,20,6,5,31
Ｖ・チャレンジリーグⅡ男子 2015/16,東京トヨペットグリーンスパークル,18,58,157,48,13,30.6,2,0,0,0.0,0.83,21,0.36,161,2,4,11,62,12.9,260,108,0,41.5,48,21,6,75
レギュラーラウンド,東京トヨペットグリーンスパークル,18,58,157,48,13,30.6,2,0,0,0.0,0.83,21,0.36,161,2,4,11,62,12.9,260,108,0,41.5,48,21,6,75
Ｖ・チャレンジリーグ男子 2014/15,東京トヨペットグリーンスパークル,22,53,146,47,21,32.2,27,6,5,22.2,0.89,17,0.32,149,1,5,20,49,11.6,21,10,0,47.6,47,17,6,70
レギュラーラウンド,東京トヨペットグリーンスパークル,22,53,146,47,21,32.2,27,6,5,22.2,0.89,17,0.32,149,1,5,20,49,11.6,21,10,0,47.6,47,17,6,70
Ｖ・チャレンジリーグ男子 2013/14,東京トヨペットグリーンスパークル,20,60,174,72,7,41.4,5,3,0,60.0,1.20,22,0.37,192,3,3,25,54,9.8,8,4,0,50.0,72,22,6,100
レギュラーラウンド,東京トヨペットグリーンスパークル,20,60,174,72,7,41.4,5,3,0,60.0,1.20,22,0.37,192,3,3,25,54,9.8,8,4,0,50.0,72,22,6,100
Ｖ・チャレンジリーグ男子 2012/13,東京トヨペットグリーンスパークル,20,53,182,72,21,39.6,9,3,2,33.3,1.36,22,0.42,155,1,7,18,47,11.8,64,24,0,37.5,72,22,8,102
レギュラーラウンド,東京トヨペットグリーンスパークル,20,53,182,72,21,39.6,9,3,2,33.3,1.36,22,0.42,155,1,7,18,47,11.8,64,24,0,37.5,72,22,8,102
Ｖ・チャレンジリーグ男子 2011/12,東京トヨペットグリーンスパークル,14,47,291,91,36,31.3,20,6,9,30.0,1.94,20,0.43,143,1,3,11,41,9.5,137,73,0,53.3,91,20,4,115
レギュラーラウンド,東京トヨペットグリーンスパークル,10,33,203,61,22,30.0,14,5,6,35.7,1.85,15,0.45,95,0,1,8,29,8.5,103,54,0,52.4,61,15,1,77
下位リーグ,東京トヨペットグリーンスパークル,4,14,88,30,14,34.1,6,1,3,16.7,2.14,5,0.36,48,1,2,3,12,11.7,34,19,0,55.9,30,5,3,38
Ｖ・チャレンジリーグ男子 2010/11,東京トヨペットグリーンスパークル,16,51,306,101,46,33.0,66,25,15,37.9,1.98,19,0.37,145,3,2,27,47,11.3,61,29,0,47.5,101,19,5,125
レギュラーラウンド,東京トヨペットグリーンスパークル,16,51,306,101,46,33.0,66,25,15,37.9,1.98,19,0.37,145,3,2,27,47,11.3,61,29,0,47.5,101,19,5,125
Ｖ・チャレンジリーグ男子 2009/10,東京トヨペットグリーンスパークル,14,51,231,90,23,39.0,6,2,1,33.3,1.76,23,0.45,191,3,3,25,58,10.4,73,45,0,61.6,90,23,6,119
レギュラーラウンド,東京トヨペットグリーンスパークル,10,34,116,51,14,44.0,2,1,1,50.0,1.50,14,0.41,130,1,2,15,37,9.1,53,33,0,62.3,51,14,3,68
下位リーグ,東京トヨペットグリーンスパークル,4,17,115,39,9,33.9,4,1,0,25.0,2.29,9,0.53,61,2,1,10,21,13.2,20,12,0,60.0,39,9,3,51
Ｖ・チャレンジリーグ男子 2008/09,東京トヨペットグリーンスパークル,11,37,160,58,13,36.2,1,0,1,0.0,1.57,11,0.3,132,0,2,24,25,5.9,12,6,0,50.0,58,11,2,71
レギュラーラウンド,東京トヨペットグリーンスパークル,11,37,160,58,13,36.2,1,0,1,0.0,1.57,11,0.3,132,0,2,24,25,5.9,12,6,0,50.0,58,11,2,71
レギュラーシーズン通算,,193,481,1681,580,179,34.5,150,49,36,32.7,1.21,164,0.34,1366,12,31,165,409,7.6,623,279,6,45.3,580,164,43,787
通算,,201,512,1884,649,202,34.4,160,51,39,31.9,1.27,178,0.35,1475,15,34,178,442,7.8,677,310,6,46.2,649,178,49,876
