名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,NECレッドロケッツ,3,106,905,376,71,41.5,33.7,212,74,26,45,260,13,27,83,5,1,0,434,34.9,3.55,0.42,10.4,20.0
イヴァナネーショヴィッチ,デンソーエアリービーズ,21,92,620,230,49,37.1,29.2,169,68,16,21,164,10,33,66,2,1,0,261,40.2,2.5,0.23,11.1,50.0
エンライトステファニー,東レアローズ,7,36,357,134,27,37.5,30.0,38,5,5,13,135,5,24,42,233,143,0,152,13.2,3.72,0.36,7.0,61.4
カナニダニエルソン,トヨタ車体クインシーズ,23,108,1314,494,85,37.6,31.1,140,47,19,51,336,5,21,84,424,269,0,550,33.6,4.57,0.47,6.2,63.4
スタエレンスシャイーヌ,パイオニアレッドウィングス,4,84,719,309,47,43.0,36.4,23,10,2,23,222,10,14,74,541,318,0,342,43.5,3.68,0.27,11.3,58.8
パウリノエリサンジェラ,久光製薬スプリングス,14,32,296,98,21,33.1,26.0,19,5,1,23,80,3,9,21,152,83,0,124,26.3,3.06,0.72,7.5,54.6
ヤネヴァエヴァ,JTマーヴェラス,8,78,810,277,56,34.2,27.3,80,19,11,19,216,3,21,54,576,351,0,299,23.8,3.55,0.24,5.2,60.9
三橋聡恵,パイオニアレッドウィングス,9,101,909,290,59,31.9,25.4,56,22,7,27,287,8,26,67,657,342,0,325,39.3,2.87,0.27,6.4,52.1
上屋敷綾,JTマーヴェラス,11,79,131,40,7,30.5,25.2,0,0,0,2,168,6,20,41,10,4,0,48,,0.51,0.03,6.7,40.0
下平夏奈,東レアローズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村亜友美,JTマーヴェラス,20,11,52,16,0,30.8,30.8,8,1,0,0,21,1,4,8,0,0,0,17,12.5,1.45,0.0,9.5,
中道瞳,東レアローズ,3,98,17,9,0,52.9,52.9,0,0,0,5,313,6,11,99,0,0,0,20,,0.09,0.05,8.9,
丸山亜季,岡山シーガルズ,20,113,0,0,0,,,0,0,0,0,0,0,0,0,354,243,0,0,,0.0,0.0,,68.6
二見梓,東レアローズ,14,87,297,117,15,39.4,34.3,1,0,0,44,287,7,26,90,7,4,0,168,0.0,1.34,0.51,8.0,57.1
井上奈々朱,デンソーエアリービーズ,11,94,361,157,25,43.5,36.6,1,0,0,51,259,9,36,90,6,3,0,217,0.0,1.67,0.54,8.7,50.0
井上琴絵,JTマーヴェラス,10,99,0,0,0,,,0,0,0,0,0,0,0,0,377,272,0,0,,0.0,0.0,,72.1
井上香織,デンソーエアリービーズ,8,106,445,184,20,41.3,36.9,0,0,0,64,279,3,10,79,14,7,0,251,,1.74,0.6,7.3,50.0
今野加奈子,パイオニアレッドウィングス,8,18,110,32,7,29.1,22.7,25,9,2,1,24,1,4,7,16,6,0,34,36.0,1.78,0.06,7.3,37.5
位田愛,JTマーヴェラス,5,7,0,0,0,,,0,0,0,0,10,0,0,3,3,1,0,0,,0.0,0.0,7.5,33.3
佐々木侑,岡山シーガルズ,3,107,582,218,15,37.5,34.9,16,1,1,21,328,2,19,83,384,215,0,241,6.2,2.04,0.2,5.5,56.0
