名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,2012-11,NECレッドロケッツ,3,16,188,80,11,42.6,36.7,34,11,6,12,48,2,6,14,0,0,0,94,32.4,5.0,0.75,8.3,
イエリズバシャ,2012-12,NECレッドロケッツ,3,15,134,59,13,44.0,34.3,32,9,7,7,44,2,3,16,1,0,0,68,28.1,3.93,0.47,11.9,0.0
イエリズバシャ,2013-01,NECレッドロケッツ,3,22,177,64,14,36.2,28.2,33,9,2,7,49,1,9,14,0,0,0,72,27.3,2.91,0.32,4.6,
イエリズバシャ,2013-02,NECレッドロケッツ,3,26,226,101,21,44.7,35.4,57,26,5,14,65,4,7,26,2,0,0,119,45.6,3.88,0.54,13.5,0.0
イエリズバシャ,2013-03,NECレッドロケッツ,3,27,180,72,12,40.0,33.3,56,19,6,5,54,4,2,13,2,1,0,81,33.9,2.67,0.19,12.5,50.0
イヴァナネーショヴィッチ,2012-11,デンソーエアリービーズ,21,11,28,11,1,39.3,35.7,2,1,0,0,5,0,0,4,0,0,0,11,50.0,1.0,0.0,20.0,
イヴァナネーショヴィッチ,2012-12,デンソーエアリービーズ,21,12,40,13,2,32.5,27.5,4,1,1,4,9,0,3,2,0,0,0,17,25.0,1.08,0.33,-2.8,
イヴァナネーショヴィッチ,2013-01,デンソーエアリービーズ,21,18,59,16,7,27.1,15.3,7,2,2,1,15,1,4,9,0,0,0,18,28.6,0.89,0.06,15.0,
イヴァナネーショヴィッチ,2013-02,デンソーエアリービーズ,21,23,202,90,16,44.6,36.6,64,28,8,11,58,4,10,21,0,0,0,105,43.8,3.91,0.48,11.6,
イヴァナネーショヴィッチ,2013-03,デンソーエアリービーズ,21,28,291,100,23,34.4,26.5,92,36,5,5,77,5,16,30,2,1,0,110,39.1,3.57,0.18,11.0,50.0
エンライトステファニー,2012-11,東レアローズ,7,17,183,70,11,38.3,32.2,26,5,2,8,68,2,9,30,99,64,0,80,19.2,4.12,0.47,10.7,64.6
エンライトステファニー,2012-12,東レアローズ,7,19,174,64,16,36.8,27.6,12,0,3,5,67,3,15,12,134,79,0,72,0.0,3.37,0.26,3.4,59.0
カナニダニエルソン,2012-11,トヨタ車体クインシーズ,23,10,126,38,7,30.2,24.6,13,3,1,0,40,0,1,16,41,29,0,38,23.1,3.8,0.0,9.4,70.7
カナニダニエルソン,2012-12,トヨタ車体クインシーズ,23,18,190,78,10,41.1,35.8,20,12,3,11,62,2,3,14,40,24,0,91,60.0,4.33,0.61,7.7,60.0
カナニダニエルソン,2013-01,トヨタ車体クインシーズ,23,23,353,134,26,38.0,30.6,26,11,3,9,64,0,7,10,56,35,0,143,42.3,5.83,0.39,1.2,62.5
カナニダニエルソン,2013-02,トヨタ車体クインシーズ,23,26,319,118,24,37.0,29.5,42,12,7,18,83,3,3,27,96,53,0,139,28.6,4.54,0.69,10.8,55.2
カナニダニエルソン,2013-03,トヨタ車体クインシーズ,23,31,326,126,18,38.7,33.1,39,9,5,13,87,0,7,17,191,128,0,139,23.1,4.06,0.42,2.9,67.0
スタエレンスシャイーヌ,2012-11,パイオニアレッドウィングス,4,15,100,38,6,38.0,32.0,12,3,1,7,41,1,1,20,76,55,0,46,25.0,2.53,0.47,14.0,72.4
スタエレンスシャイーヌ,2012-12,パイオニアレッドウィングス,4,6,33,10,2,30.3,24.2,2,1,0,1,9,0,0,3,22,10,0,11,50.0,1.67,0.17,8.3,45.5
スタエレンスシャイーヌ,2013-01,パイオニアレッドウィングス,4,21,238,100,15,42.0,35.7,3,1,0,6,55,0,5,17,159,83,0,106,33.3,4.76,0.29,5.5,52.2
スタエレンスシャイーヌ,2013-02,パイオニアレッドウィングス,4,26,222,109,13,49.1,43.2,3,3,0,7,75,4,3,28,176,96,0,120,100.0,4.19,0.27,13.7,54.5
スタエレンスシャイーヌ,2013-03,パイオニアレッドウィングス,4,16,126,52,11,41.3,32.5,3,2,1,2,42,5,5,6,108,74,0,59,66.7,3.25,0.12,12.5,68.5
パウリノエリサンジェラ,2012-11,久光製薬スプリングス,14,12,116,37,12,31.9,21.6,8,3,0,6,35,2,5,7,50,24,0,45,37.5,3.08,0.5,7.1,48.0
パウリノエリサンジェラ,2012-12,久光製薬スプリングス,14,4,43,19,3,44.2,37.2,4,1,0,3,8,1,1,2,13,6,0,23,25.0,4.75,0.75,15.6,46.2
パウリノエリサンジェラ,2013-01,久光製薬スプリングス,14,12,95,29,5,30.5,25.3,5,0,1,10,26,0,3,9,67,40,0,39,0.0,2.42,0.83,5.8,59.7
パウリノエリサンジェラ,2013-02,久光製薬スプリングス,14,3,33,12,1,36.4,33.3,2,1,0,3,10,0,0,3,19,12,0,15,50.0,4.0,1.0,7.5,63.2
パウリノエリサンジェラ,2013-03,久光製薬スプリングス,14,1,9,1,0,11.1,11.1,0,0,0,1,1,0,0,0,3,1,0,2,,1.0,1.0,0.0,33.3
ヤネヴァエヴァ,2012-11,JTマーヴェラス,8,17,217,77,15,35.5,28.6,32,5,6,6,62,0,7,17,144,85,0,83,15.6,4.53,0.35,4.0,59.0
ヤネヴァエヴァ,2012-12,JTマーヴェラス,8,14,166,57,17,34.3,24.1,15,4,3,5,55,2,4,11,123,80,0,64,26.7,4.07,0.36,6.8,65.0
ヤネヴァエヴァ,2013-01,JTマーヴェラス,8,20,172,44,14,25.6,17.4,17,3,2,3,41,0,5,8,127,80,0,47,17.6,2.2,0.15,1.8,63.0
ヤネヴァエヴァ,2013-02,JTマーヴェラス,8,23,225,92,10,40.9,36.4,13,7,0,5,49,1,4,15,160,93,0,98,53.8,4.0,0.22,7.7,58.1
ヤネヴァエヴァ,2013-03,JTマーヴェラス,8,4,30,7,0,23.3,23.3,3,0,0,0,9,0,1,3,22,13,0,7,0.0,1.75,0.0,5.6,59.1
三橋聡恵,2012-11,パイオニアレッドウィングス,9,18,161,52,10,32.3,26.1,17,7,2,1,51,1,8,18,143,69,0,54,41.2,2.89,0.06,6.9,48.3
三橋聡恵,2012-12,パイオニアレッドウィングス,9,12,106,35,4,33.0,29.2,10,5,0,0,25,1,2,6,78,53,0,36,50.0,2.92,0.0,8.0,67.9
三橋聡恵,2013-01,パイオニアレッドウィングス,9,14,113,36,6,31.9,26.5,8,2,2,6,35,1,5,4,92,40,0,43,25.0,2.57,0.43,2.1,43.5
三橋聡恵,2013-02,パイオニアレッドウィングス,9,24,218,71,14,32.6,26.1,1,0,0,8,84,4,6,24,131,59,0,83,0.0,2.96,0.33,10.1,45.0
三橋聡恵,2013-03,パイオニアレッドウィングス,9,33,311,96,25,30.9,22.8,20,8,3,12,92,1,5,15,213,121,0,109,40.0,2.91,0.36,3.8,56.8
上屋敷綾,2012-11,JTマーヴェラス,11,17,62,20,2,32.3,29.0,0,0,0,2,53,4,10,15,3,2,0,26,,1.18,0.12,9.9,66.7
上屋敷綾,2012-12,JTマーヴェラス,11,14,67,19,5,28.4,20.9,0,0,0,0,38,1,5,7,2,0,0,20,,1.36,0.0,3.9,0.0
上屋敷綾,2013-01,JTマーヴェラス,11,10,0,0,0,,,0,0,0,0,16,0,2,4,0,0,0,0,,0.0,0.0,3.1,
上屋敷綾,2013-02,JTマーヴェラス,11,10,0,0,0,,,0,0,0,0,11,1,2,2,0,0,0,1,,0.0,0.0,9.1,
上屋敷綾,2013-03,JTマーヴェラス,11,28,2,1,0,50.0,50.0,0,0,0,0,50,0,1,13,5,2,0,1,,0.04,0.0,6.0,40.0
下平夏奈,2013-01,東レアローズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
下平夏奈,2013-02,東レアローズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
下平夏奈,2013-03,東レアローズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村亜友美,2013-01,JTマーヴェラス,20,4,8,3,0,37.5,37.5,0,0,0,0,2,0,0,1,0,0,0,3,,0.75,0.0,12.5,
中村亜友美,2013-02,JTマーヴェラス,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
