名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
上田かおり,ユニチカフェニックス,7,9,12,47,15,2,31.9,27.7,1,0,0,4,38,1,1,4,0,0,0,20,0.0,1.25,0.33,4.6,
中村亜裕美,東洋紡オーキス,6,9,5,0,0,0,,,0,0,0,0,9,0,0,0,1,1,0,0,,0.0,0.0,0.0,100.0
中田美和,ユニチカフェニックス,14,9,4,0,0,0,,,0,0,0,0,4,0,1,1,0,0,0,0,,0.0,0.0,0.0,
丹山美沙緒,東洋紡オーキス,4,9,12,15,5,3,33.3,13.3,0,0,0,0,25,2,3,8,32,21,0,7,,0.42,0.0,13.0,65.6
五十川葉子,ユニチカフェニックス,13,9,3,0,0,0,,,0,0,0,0,4,0,1,0,0,0,0,0,,0.0,0.0,-6.2,
佐々木みき,東洋紡オーキス,0,9,13,120,37,10,30.8,22.5,10,1,2,3,47,1,3,7,26,19,0,41,10.0,2.85,0.23,4.3,73.1
佐藤和美,東洋紡オーキス,8,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐野優子,ユニチカフェニックス,10,9,12,0,0,0,,,0,0,0,0,0,0,0,0,121,100,0,0,,0.0,0.0,,82.6
内野由希,ユニチカフェニックス,5,9,12,74,32,4,43.2,37.8,0,0,0,6,50,2,4,17,52,38,0,40,,2.67,0.5,10.5,73.1
吉原知子,東洋紡オーキス,2,9,13,94,48,3,51.1,47.9,0,0,0,10,50,5,1,13,54,45,0,63,,3.69,0.77,16.0,83.3
向井久子,ユニチカフェニックス,6,9,9,52,13,3,25.0,19.2,1,0,0,1,3,0,0,1,6,3,0,14,0.0,1.44,0.11,8.3,50.0
坪根淳子,NECレッドロケッツ,11,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
多治見麻子,日立ベルフィーユ,4,9,1,0,0,0,,,0,0,0,0,1,0,0,0,1,1,0,0,,0.0,0.0,0.0,100.0
大貫美奈子,NECレッドロケッツ,3,9,11,61,27,2,44.3,41.0,1,1,0,6,39,3,6,5,60,47,0,36,100.0,2.45,0.55,7.1,78.3
宇都宮末希子,東洋紡オーキス,20,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
