月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
11,JAぎふリオレーナ,1,,田代麻樹,22,6,6,6,3,1,27,7,0,25.9,25.9,0.3,0,0,0,,11,0.5,72,2,2,14,6.9,4,0,0,0.0
12,JAぎふリオレーナ,1,,田代麻樹,25,6,6,6,5,2,28,4,0,14.3,14.3,0.2,0,0,0,,13,0.5,67,2,1,11,6.7,3,1,0,33.3
01,JAぎふリオレーナ,1,,田代麻樹,24,6,6,6,4,2,29,6,1,20.7,17.2,0.2,0,0,0,,10,0.4,85,0,0,20,5.9,8,0,4,25.0
02,JAぎふリオレーナ,1,,田代麻樹,13,3,3,3,2,2,24,6,2,25.0,16.7,0.5,0,0,0,,7,0.5,42,0,1,4,1.8,1,0,1,50.0
