名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
和久山志恵里,2005-01,武富士バンブー,33,20,0,0,0,,,0,0,0,0,0,0,0,0,101,65,0,0,,0.0,0.0,,64.4
和久山志恵里,2005-02,武富士バンブー,33,31,0,0,0,,,0,0,0,0,0,0,0,0,187,140,0,0,,0.0,0.0,,74.9
多治見麻子,2004-11,パイオニアレッドウィングス,5,31,144,64,12,44.4,36.1,0,0,0,22,135,1,5,29,4,2,0,87,,2.06,0.71,5.2,50.0
多治見麻子,2004-12,パイオニアレッドウィングス,5,24,117,49,7,41.9,35.9,0,0,0,6,102,2,4,19,3,2,0,57,,2.04,0.25,5.6,66.7
多治見麻子,2005-01,パイオニアレッドウィングス,5,22,147,70,8,47.6,42.2,0,0,0,4,73,1,2,15,0,0,0,75,,3.18,0.18,5.8,
多治見麻子,2005-02,パイオニアレッドウィングス,5,15,98,41,10,41.8,31.6,0,0,0,4,48,0,4,8,1,1,0,45,,2.73,0.27,2.1,100.0
大山加奈,2004-11,東レアローズ,12,27,290,102,26,35.2,26.2,43,22,5,6,98,5,14,28,29,19,0,113,51.2,3.78,0.22,8.7,65.5
大山加奈,2004-12,東レアローズ,12,25,253,84,17,33.2,26.5,27,11,1,6,92,4,8,23,65,37,0,94,40.7,3.36,0.24,8.4,56.9
大山加奈,2005-01,東レアローズ,12,23,260,97,27,37.3,26.9,61,28,6,9,69,2,8,23,22,14,0,108,45.9,4.22,0.39,8.3,63.6
大山加奈,2005-02,東レアローズ,12,29,277,98,22,35.4,27.4,73,35,7,21,89,2,13,25,11,7,0,121,47.9,3.38,0.72,5.6,63.6
大山未希,2004-11,東レアローズ,16,6,20,6,3,30.0,15.0,0,0,0,1,15,0,4,0,29,25,0,7,,1.0,0.17,-6.7,86.2
大山未希,2004-12,東レアローズ,16,6,7,2,0,28.6,28.6,0,0,0,0,3,0,0,0,28,24,0,2,,0.33,0.0,0.0,85.7
大山未希,2005-01,東レアローズ,16,17,14,4,0,28.6,28.6,0,0,0,1,5,0,1,0,65,38,0,5,,0.24,0.06,-5.0,58.5
大山未希,2005-02,東レアローズ,16,22,47,19,4,40.4,31.9,1,0,0,1,15,0,1,2,58,43,0,20,0.0,0.86,0.05,1.7,74.1
大村加奈子,2004-11,久光製薬スプリングス,8,29,258,96,26,37.2,27.1,12,4,3,18,101,4,15,27,7,4,0,118,33.3,3.31,0.62,6.9,57.1
大村加奈子,2004-12,久光製薬スプリングス,8,22,222,102,12,45.9,40.5,11,5,1,8,82,3,12,9,2,1,0,113,45.5,4.64,0.36,2.7,50.0
大村加奈子,2005-01,久光製薬スプリングス,8,23,237,82,22,34.6,25.3,11,3,3,5,71,0,11,14,3,1,0,87,27.3,3.57,0.22,1.1,33.3
大村加奈子,2005-02,久光製薬スプリングス,8,30,284,108,17,38.0,32.0,7,3,2,13,79,2,23,10,4,2,0,123,42.9,3.6,0.43,-1.6,50.0
大槻めぐみ,2004-11,東レアローズ,9,2,0,0,0,,,0,0,0,0,0,0,0,0,3,3,0,0,,0.0,0.0,,100.0
大槻めぐみ,2005-01,東レアローズ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大槻めぐみ,2005-02,東レアローズ,9,5,0,0,0,,,0,0,0,0,0,0,0,0,29,23,0,0,,0.0,0.0,,79.3
大沼綾子,2004-11,日立リヴァーレ,4,28,193,85,10,44.0,38.9,0,0,0,10,96,2,6,28,2,1,0,97,,3.04,0.36,7.8,50.0
大沼綾子,2004-12,日立リヴァーレ,4,21,161,69,7,42.9,38.5,0,0,0,8,69,1,5,29,13,11,0,78,,3.29,0.38,10.1,84.6
大沼綾子,2005-01,日立リヴァーレ,4,28,201,82,14,40.8,33.8,12,2,2,9,93,2,6,28,4,1,0,93,16.7,2.93,0.32,8.1,25.0
大沼綾子,2005-02,日立リヴァーレ,4,18,135,52,10,38.5,31.1,5,2,0,5,56,3,1,17,8,7,0,60,40.0,2.89,0.28,12.5,87.5
大貫美奈子,2004-11,NECレッドロケッツ,3,35,19,8,2,42.1,31.6,1,1,0,2,143,9,23,42,1,1,0,19,100.0,0.23,0.06,9.6,100.0
大貫美奈子,2004-12,NECレッドロケッツ,3,13,1,0,0,0.0,0.0,0,0,0,1,37,3,1,9,0,0,0,4,,0.0,0.08,13.5,
大貫美奈子,2005-01,NECレッドロケッツ,3,19,19,5,3,26.3,10.5,0,0,0,3,74,5,11,24,0,0,0,13,,0.26,0.16,11.1,
大貫美奈子,2005-02,NECレッドロケッツ,3,30,15,8,1,53.3,46.7,0,0,0,3,106,7,17,30,1,1,0,18,,0.27,0.1,9.7,100.0
宝来麻紀子,2004-11,JTマーヴェラス,9,36,288,108,15,37.5,32.3,18,7,3,30,92,2,3,24,32,16,0,140,38.9,3.0,0.83,7.9,50.0
宝来麻紀子,2004-12,JTマーヴェラス,9,20,147,54,6,36.7,32.7,11,0,1,25,39,0,0,7,10,3,0,79,0.0,2.7,1.25,4.5,30.0
宝来麻紀子,2005-01,JTマーヴェラス,9,31,234,75,7,32.1,29.1,10,3,1,20,57,1,1,15,11,3,0,96,30.0,2.42,0.65,7.9,27.3
宝来麻紀子,2005-02,JTマーヴェラス,9,22,167,62,5,37.1,34.1,11,4,0,15,45,1,2,8,1,1,0,78,36.4,2.82,0.68,5.6,100.0
宣美幸,2005-01,武富士バンブー,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小出真弓,2004-11,武富士バンブー,4,12,45,17,2,37.8,33.3,0,0,0,0,23,0,2,6,46,21,0,17,,1.42,0.0,4.3,45.7
小出真弓,2004-12,武富士バンブー,4,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小山修加,2004-11,久光製薬スプリングス,5,6,5,1,1,20.0,0.0,0,0,0,0,10,1,1,7,0,0,0,2,,0.17,0.0,25.0,
小山修加,2004-12,久光製薬スプリングス,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小山修加,2005-01,久光製薬スプリングス,5,7,7,0,0,0.0,0.0,0,0,0,0,9,1,3,1,0,0,0,1,,0.0,0.0,5.6,
小山修加,2005-02,久光製薬スプリングス,5,1,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
小松留美,2004-11,武富士バンブー,16,21,14,6,0,42.9,42.9,0,0,0,3,39,1,1,13,3,1,0,10,,0.29,0.14,10.3,33.3
小松留美,2004-12,武富士バンブー,16,14,34,12,0,35.3,35.3,0,0,0,5,33,0,1,6,0,0,0,17,,0.86,0.36,3.8,
小松留美,2005-01,武富士バンブー,16,9,18,9,0,50.0,50.0,0,0,0,1,24,0,1,7,3,1,0,10,,1.0,0.11,6.2,33.3
小松留美,2005-02,武富士バンブー,16,24,43,14,5,32.6,20.9,0,0,0,6,60,1,2,15,6,1,0,21,,0.58,0.25,7.1,16.7
小林亜里沙,2004-12,シーガルズ,17,5,0,0,0,,,0,0,0,0,5,0,1,1,0,0,0,0,,0.0,0.0,0.0,
小林亜里沙,2005-01,シーガルズ,17,2,0,0,0,,,0,0,0,0,2,0,0,2,0,0,0,0,,0.0,0.0,25.0,
小玉佐知子,2004-11,東レアローズ,2,26,6,1,0,16.7,16.7,0,0,0,1,80,2,3,17,2,0,0,4,,0.04,0.04,6.9,0.0
小玉佐知子,2004-12,東レアローズ,2,25,6,3,0,50.0,50.0,0,0,0,2,89,0,4,16,0,0,0,5,,0.12,0.08,3.4,
小玉佐知子,2005-01,東レアローズ,2,23,4,2,0,50.0,50.0,0,0,0,2,88,0,2,35,0,0,0,4,,0.09,0.09,9.4,
小玉佐知子,2005-02,東レアローズ,2,29,7,3,0,42.9,42.9,0,0,0,1,99,2,2,19,0,0,0,6,,0.1,0.03,6.3,
小菅真弓,2004-11,シーガルズ,41,13,1,1,0,100.0,100.0,0,0,0,1,13,1,2,1,1,1,0,3,,0.08,0.08,5.8,100.0
小菅真弓,2004-12,シーガルズ,41,26,4,3,0,75.0,75.0,0,0,0,6,50,0,1,17,0,0,0,9,,0.12,0.23,8.0,
小菅真弓,2005-01,シーガルズ,41,17,1,1,0,100.0,100.0,0,0,0,0,19,0,1,5,1,0,0,1,,0.06,0.0,5.3,0.0
小菅真弓,2005-02,シーガルズ,41,12,0,0,0,,,0,0,0,2,17,0,0,6,0,0,0,2,,0.0,0.17,8.8,
小金澤弘江,2004-11,日立リヴァーレ,7,13,20,8,2,40.0,30.0,0,0,0,2,16,1,0,6,1,1,0,11,,0.62,0.15,15.6,100.0
小金澤弘江,2004-12,日立リヴァーレ,7,12,14,3,2,21.4,7.1,0,0,0,2,20,1,2,6,4,3,0,6,,0.25,0.17,10.0,75.0
小金澤弘江,2005-01,日立リヴァーレ,7,12,37,14,2,37.8,32.4,0,0,0,4,19,1,0,4,13,10,0,19,,1.17,0.33,10.5,76.9
小金澤弘江,2005-02,日立リヴァーレ,7,3,1,1,0,100.0,100.0,0,0,0,0,3,0,0,1,1,0,0,1,,0.33,0.0,8.3,0.0
