大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,トヨタ車体クインシーズ,24,53,238,75,31,31.5,31,11,3,35.5,1.42,4,0.08,173,3,3,16,66,10.7,386,156,102,53.6,75,4,6,85
スターカンファレンス,トヨタ車体クインシーズ,15,30,137,44,21,32.1,24,9,2,37.5,1.47,2,0.07,102,3,2,9,39,12.3,216,91,48,53.2,44,2,5,51
交流戦,トヨタ車体クインシーズ,6,19,93,29,9,31.2,7,2,1,28.6,1.53,2,0.11,65,0,1,6,26,9.2,162,60,54,53.7,29,2,1,32
ファイナル８・Ｂグループ,トヨタ車体クインシーズ,3,4,8,2,1,25.0,0,0,0,-,0.50,0,-,6,0,0,1,1,0.0,8,5,0,62.5,2,0,0,2
V.LEAGUE DIVISION1 WOMEN 2018-19,トヨタ車体クインシーズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル８,トヨタ車体クインシーズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,21,49,230,73,30,31.7,31,11,3,35.5,1.49,4,0.08,167,3,3,15,65,11.1,378,151,102,53.4,73,4,6,83
通算,,25,53,238,75,31,31.5,31,11,3,35.5,1.42,4,0.08,173,3,3,16,66,10.7,386,156,102,53.6,75,4,6,85
