名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エステスイェヴゲーニャ,01,武富士バンブー,3,37,541,198,32,36.6,30.7,125,37,10,24,112,8,2,26,231,167,0,29.6,5.4,0.6,12.5,72.3
エステスイェヴゲーニャ,02,武富士バンブー,3,40,578,249,27,43.1,38.4,100,26,14,17,160,2,4,28,205,134,0,26.0,6.2,0.4,5.0,65.4
エステスイェヴゲーニャ,03,武富士バンブー,3,35,528,200,29,37.9,32.4,120,35,10,18,134,3,9,41,178,99,0,29.2,5.7,0.5,8.2,55.6
ジュンクビストアンジェリカ,01,トヨタ車体クインシーズ,19,33,255,100,15,39.2,33.3,0,0,0,29,91,2,4,15,55,37,0,,3.0,0.9,5.2,67.3
ジュンクビストアンジェリカ,02,トヨタ車体クインシーズ,19,36,255,93,14,36.5,31.0,0,0,0,26,91,1,1,20,49,32,0,,2.6,0.7,6.3,65.3
ジュンクビストアンジェリカ,03,トヨタ車体クインシーズ,19,28,205,101,6,49.3,46.3,3,2,0,14,78,0,3,20,3,3,0,66.7,3.6,0.5,5.4,100.0
バックマンエリザベス,01,パイオニアレッドウィングス,3,8,9,4,1,44.4,33.3,0,0,0,4,1,0,0,1,0,0,0,,0.5,0.5,25.0,
バックマンエリザベス,02,パイオニアレッドウィングス,3,28,65,27,1,41.5,40.0,0,0,0,21,46,0,2,8,4,3,0,,1.0,0.8,3.3,75.0
バックマンエリザベス,03,パイオニアレッドウィングス,3,7,18,11,0,61.1,61.1,0,0,0,5,12,0,1,2,0,0,0,,1.6,0.7,2.1,
フォフィーニャアナパウラ,01,久光製薬スプリングス,11,32,415,168,22,40.5,35.2,102,33,7,11,119,4,12,41,33,19,0,32.4,5.2,0.3,9.5,57.6
フォフィーニャアナパウラ,02,久光製薬スプリングス,11,35,502,196,26,39.0,33.9,121,46,10,25,139,5,10,44,11,8,0,38.0,5.6,0.7,9.7,72.7
フォフィーニャアナパウラ,03,久光製薬スプリングス,11,32,461,192,26,41.6,36.0,94,37,10,15,126,4,8,48,6,3,0,39.4,6.0,0.5,11.1,50.0
モレタケニア,01,デンソーエアリービーズ,18,33,309,85,23,27.5,20.1,48,12,4,18,130,5,4,43,10,1,0,25.0,2.6,0.5,11.3,10.0
モレタケニア,02,デンソーエアリービーズ,18,35,268,81,20,30.2,22.8,33,7,4,17,109,2,9,25,0,0,0,21.2,2.3,0.5,5.5,
モレタケニア,03,デンソーエアリービーズ,18,32,333,111,18,33.3,27.9,64,14,4,15,88,0,6,19,2,1,0,21.9,3.5,0.5,3.7,50.0
モレーノケニー,01,JTマーヴェラス,3,35,427,190,39,44.5,35.4,155,70,22,23,129,3,29,32,2,1,0,45.2,5.4,0.7,2.9,50.0
モレーノケニー,02,JTマーヴェラス,3,42,572,272,57,47.6,37.6,205,101,32,22,145,7,17,42,5,3,0,49.3,6.5,0.5,9.1,60.0
モレーノケニー,03,JTマーヴェラス,3,35,436,209,46,47.9,37.4,159,72,22,23,123,5,18,29,6,4,0,45.3,6.0,0.7,6.3,66.7
レトネンリーカ,01,NECレッドロケッツ,10,30,279,102,25,36.6,27.6,26,3,5,24,91,2,13,22,137,90,0,11.5,3.4,0.8,4.7,65.7
レトネンリーカ,02,NECレッドロケッツ,10,33,387,150,29,38.8,31.3,30,11,4,25,124,0,8,32,162,122,0,36.7,4.5,0.8,4.8,75.3
レトネンリーカ,03,NECレッドロケッツ,10,39,431,164,39,38.1,29.0,26,10,5,15,148,1,16,46,201,132,0,38.5,4.2,0.4,5.7,65.7
三上彩,01,久光製薬スプリングス,13,10,3,1,0,33.3,33.3,0,0,0,1,0,0,0,0,0,0,0,,0.1,0.1,,
三上彩,02,久光製薬スプリングス,13,11,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,,0.1,0.0,,
三上彩,03,久光製薬スプリングス,13,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三澤由佳,01,武富士バンブー,14,4,9,4,1,44.4,33.3,0,0,0,1,4,0,0,0,3,2,0,,1.0,0.2,0.0,66.7
三澤由佳,02,武富士バンブー,14,12,12,4,1,33.3,25.0,0,0,0,3,13,1,1,1,1,0,0,,0.3,0.2,7.7,0.0
三澤由佳,03,武富士バンブー,14,8,27,10,3,37.0,25.9,0,0,0,3,18,0,0,5,3,2,0,,1.2,0.4,6.9,66.7
上田かおり,03,久光製薬スプリングス,6,1,2,0,0,0.0,0.0,0,0,0,0,2,0,1,1,1,1,0,,0.0,0.0,0.0,100.0
