名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エステスイェヴゲーニャ,武富士バンブー,3,66,46,19,112,1647,647,88,39.3,33.9,345,98,34,59,406,13,15,95,614,400,0,719,28.4,5.78,0.53,8.1,65.1
ジュンクビストアンジェリカ,トヨタ車体クインシーズ,19,32,65,5,97,715,294,35,41.1,36.2,3,2,0,69,260,3,8,55,107,72,0,366,66.7,3.03,0.71,5.7,67.3
バックマンエリザベス,パイオニアレッドウィングス,3,33,18,10,43,92,42,2,45.7,43.5,0,0,0,30,59,0,3,11,4,3,0,72,,0.98,0.7,3.4,75.0
フォフィーニャアナパウラ,久光製薬スプリングス,11,66,35,20,99,1378,556,74,40.3,35.0,317,116,27,51,384,13,30,133,50,30,0,620,36.6,5.62,0.52,10.1,60.0
モレタケニア,デンソーエアリービーズ,18,47,61,11,100,910,277,61,30.4,23.7,145,33,12,50,327,7,19,87,12,2,0,334,22.8,2.77,0.5,7.3,16.7
モレーノケニー,JTマーヴェラス,3,69,43,20,112,1435,671,142,46.8,36.9,519,243,76,68,397,15,64,103,13,8,0,754,46.8,5.99,0.61,6.2,61.5
レトネンリーカ,NECレッドロケッツ,10,59,48,15,102,1097,416,93,37.9,29.4,82,24,14,64,363,3,37,100,500,344,0,483,29.3,4.08,0.63,5.2,68.8
三上彩,久光製薬スプリングス,13,45,24,14,23,4,2,0,50.0,50.0,0,0,0,1,0,0,0,0,0,0,0,3,,0.09,0.04,,
三澤由佳,武富士バンブー,14,35,27,9,24,48,18,5,37.5,27.1,0,0,0,7,35,1,1,6,7,4,0,26,,0.75,0.29,6.4,57.1
上田かおり,久光製薬スプリングス,6,12,6,4,1,2,0,0,0.0,0.0,0,0,0,0,2,0,1,1,1,1,0,0,,0.0,0.0,0.0,100.0
