名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カムンタラーケオカラヤー,01,JTマーヴェラス,8,3,3,1,0,33.3,33.3,0,0,0,0,8,0,0,0,0,0,0,1,,0.3,0.0,0.0,
ドルーズアンドレア,01,JTマーヴェラス,10,5,67,33,3,49.3,44.8,17,8,1,2,20,1,1,10,0,0,0,36,47.1,6.6,0.4,16.2,
ヒックマンジャスティス,01,JTマーヴェラス,14,3,41,7,3,17.1,9.8,1,0,0,0,11,0,2,2,37,12,16,7,0.0,2.3,0.0,0.0,54.1
丸山亜季,01,岡山シーガルズ,20,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐々木萌,01,岡山シーガルズ,7,5,37,8,0,21.6,21.6,0,0,0,0,7,0,0,2,38,15,6,8,,1.6,0.0,7.1,47.4
及川真夢,01,岡山シーガルズ,8,2,4,1,0,25.0,25.0,0,0,0,0,3,0,2,0,0,0,0,1,,0.5,0.0,-16.7,
吉岡美晴,01,岡山シーガルズ,4,3,18,3,0,16.7,16.7,0,0,0,0,7,0,0,1,3,1,1,3,,1.0,0.0,3.6,50.0
吉田みなみ,01,岡山シーガルズ,1,1,4,0,1,0.0,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
宇賀神みずき,01,岡山シーガルズ,5,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
宮下遥,01,岡山シーガルズ,14,5,1,0,1,0.0,-100.0,0,0,0,1,17,0,1,5,2,0,0,1,,0.0,0.2,5.9,0.0
小川杏奈,01,JTマーヴェラス,3,3,4,1,0,25.0,25.0,0,0,0,0,9,1,1,2,0,0,0,2,,0.3,0.0,13.9,
小幡真子,01,JTマーヴェラス,15,5,0,0,0,,,0,0,0,0,0,0,0,0,13,3,6,0,,0.0,0.0,,46.2
居村杏奈,01,岡山シーガルズ,12,5,16,7,1,43.8,37.5,0,0,0,1,16,1,0,3,0,0,0,9,,1.4,0.2,10.9,
川島亜依美,01,岡山シーガルズ,28,4,13,4,0,30.8,30.8,0,0,0,2,9,0,0,4,1,1,0,6,,1.0,0.5,11.1,100.0
林琴奈,01,JTマーヴェラス,2,5,48,19,4,39.6,31.2,4,2,1,4,23,0,0,5,29,11,11,23,50.0,3.8,0.8,5.4,56.9
柴田真果,01,JTマーヴェラス,5,4,0,0,0,,,0,0,0,0,8,2,0,3,0,0,0,2,,0.0,0.0,34.4,
楢崎慈恵,01,岡山シーガルズ,27,5,0,0,0,,,0,0,0,0,0,0,0,0,11,6,3,0,,0.0,0.0,,68.2
橘井友香,01,JTマーヴェラス,4,5,29,11,1,37.9,34.5,1,0,0,1,9,0,1,3,5,1,3,12,0.0,2.2,0.2,5.6,50.0
渡邊真恵,01,岡山シーガルズ,6,5,59,21,3,35.6,30.5,4,1,0,0,12,0,0,2,3,1,1,21,25.0,4.2,0.0,4.2,50.0
田中瑞稀,01,JTマーヴェラス,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
田中美咲,01,JTマーヴェラス,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
目黒優佳,01,JTマーヴェラス,11,4,0,0,0,,,0,0,0,0,4,0,0,0,7,3,3,0,,0.0,0.0,0.0,64.3
籾井あき,01,JTマーヴェラス,19,5,7,5,0,71.4,71.4,0,0,0,0,12,1,1,4,0,0,0,6,,1.0,0.0,14.6,
芥川愛加,01,JTマーヴェラス,1,5,6,1,0,16.7,16.7,0,0,0,4,8,1,1,2,0,0,0,6,,0.2,0.8,15.6,
西川有喜,01,JTマーヴェラス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
西村弥菜美,01,岡山シーガルズ,10,4,6,1,1,16.7,0.0,0,0,0,0,1,0,0,0,12,4,4,1,,0.2,0.0,0.0,50.0
金田修佳,01,岡山シーガルズ,18,5,53,17,4,32.1,24.5,1,0,0,0,15,0,0,2,35,18,8,17,0.0,3.4,0.0,3.3,62.9
高野由里加,01,岡山シーガルズ,21,2,11,3,1,27.3,18.2,0,0,0,0,4,0,0,2,0,0,0,3,,1.5,0.0,12.5,
