試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,1,,中川剛,4,■,■,■,■,,28,17,2,0.6071428571428571,0.5357142857142857,4.25,16,11,2,68.8,2,0.50,15,0,1,5,8.3,0,0,0,-
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,2,,松坂洸汰,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,3,,田中紀幸,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,4,,柳田百織,1,,,□,,,2,1,0,0.5,0.5,1.00,1,0,0,0.0,0,-,2,0,0,1,12.5,0,0,0,-
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,5,,横田圭祐,4,■,■,■,■,,8,3,0,0.375,0.375,0.75,0,0,0,-,2,0.50,8,0,0,3,9.4,1,0,0,0.0
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,6,,三芳健斗,3,□,□,,□,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0,0,-
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,10,,岡村義郎,4,■,■,■,■,,19,14,1,0.7368421052631579,0.6842105263157895,3.50,0,0,0,-,2,0.50,17,0,0,5,7.4,0,0,0,-
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,11,,浅野卓雅,4,■,■,■,■,,27,8,5,0.2962962962962963,0.1111111111111111,2.00,1,0,0,0.0,2,0.50,23,1,3,10,14.3,32,18,0,56.2
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,12,L,芳賀広大,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,12,0,63.2
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,13,,杉本匠,1,,,□,,,2,0,1,0.0,-0.5,-,0,0,0,-,0,-,1,0,1,0,0.0,1,0,0,0.0
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,14,,岩井浩二,4,■,■,■,■,,36,19,4,0.5277777777777778,0.4166666666666667,4.75,1,0,0,0.0,3,0.75,13,1,3,4,13.8,30,14,0,46.7
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,16,,新貴裕,4,■,■,■,■,,3,2,0,0.6666666666666666,0.6666666666666666,0.50,0,0,0,-,1,0.25,16,0,6,3,4.7,0,0,0,-
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,18,L,小川直紀,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,富士通カワサキレッドスピリッツ,20,,志波京介,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,4,0,0,3,18.8,0,0,0,-
2016-11-05,2016-11,大分三好ヴァイセアドラー,3,,阿部領太,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,大分三好ヴァイセアドラー,6,,上前仁,2,,□,,□,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2016-11-05,2016-11,大分三好ヴァイセアドラー,7,,細川優樹,2,■,■,,,,18,7,1,0.3888888888888889,0.3333333333333333,3.50,2,1,0,50.0,0,-,6,0,4,0,0.0,15,7,0,46.7
2016-11-05,2016-11,大分三好ヴァイセアドラー,8,,石垣公也,4,□,■,■,■,,17,11,0,0.6470588235294118,0.6470588235294118,2.75,0,0,0,-,0,-,13,0,4,3,5.8,33,23,0,69.7
2016-11-05,2016-11,大分三好ヴァイセアドラー,10,,浜崎勇矢,2,□,,,□,,0,0,0,,,-,0,0,0,-,0,-,4,0,1,3,18.8,0,0,0,-
2016-11-05,2016-11,大分三好ヴァイセアドラー,11,L,辻口智也,1,,,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0
2016-11-05,2016-11,大分三好ヴァイセアドラー,14,,ヤカングマ,4,■,■,■,■,,50,29,0,0.58,0.58,7.25,17,10,0,58.8,1,0.25,12,0,2,4,8.3,0,0,0,-
2016-11-05,2016-11,大分三好ヴァイセアドラー,15,,田中挙章,3,■,,■,■,,7,2,1,0.2857142857142857,0.14285714285714285,0.67,0,0,0,-,2,0.67,13,1,0,4,13.8,3,2,0,66.7
2016-11-05,2016-11,大分三好ヴァイセアドラー,16,,濱本豊,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,大分三好ヴァイセアドラー,18,,高山伸悟,4,■,■,■,■,,4,2,0,0.5,0.5,0.50,0,0,0,-,3,0.75,17,0,1,8,11.8,0,0,0,-
2016-11-05,2016-11,大分三好ヴァイセアドラー,20,L,帖佐力弥,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,9,0,69.2
2016-11-05,2016-11,大分三好ヴァイセアドラー,22,,藤岡諒馬,4,■,■,■,■,,2,1,0,0.5,0.5,0.25,0,0,0,-,1,0.25,17,0,2,8,11.8,0,0,0,-
2016-11-05,2016-11,大分三好ヴァイセアドラー,23,,藤田裕城,1,,■,,,,1,1,0,1.0,1.0,1.00,0,0,0,-,0,-,5,0,1,2,10.0,0,0,0,-
2016-11-05,2016-11,大分三好ヴァイセアドラー,24,,米田亘希,3,■,,■,■,,18,6,1,0.3333333333333333,0.2777777777777778,2.00,1,0,0,0.0,0,-,13,0,4,6,11.5,22,11,0,50.0
2016-11-05,2016-11,トヨタ自動車サンホークス,1,,坂口慧,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,トヨタ自動車サンホークス,2,,渕江陵友,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,トヨタ自動車サンホークス,3,,浅川成也,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,トヨタ自動車サンホークス,4,,皆川昂太,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,トヨタ自動車サンホークス,5,,森本浩矢,4,■,■,■,■,,8,3,2,0.375,0.125,0.75,0,0,0,-,2,0.50,10,0,0,4,10.0,1,0,0,0.0
2016-11-05,2016-11,トヨタ自動車サンホークス,6,,徳尾直哉,4,■,■,■,■,,22,8,4,0.3636363636363637,0.18181818181818185,2.00,2,0,0,0.0,1,0.25,9,0,5,0,0.0,37,27,0,73.0
2016-11-05,2016-11,トヨタ自動車サンホークス,7,,東野晴輝,4,■,■,■,■,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,16,1,0,8,17.5,1,0,0,0.0
2016-11-05,2016-11,トヨタ自動車サンホークス,8,,清水隆平,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,トヨタ自動車サンホークス,9,,大保亮太朗,4,■,■,■,■,,5,2,1,0.4,0.2,0.50,0,0,0,-,0,-,20,1,1,6,12.5,0,0,0,-
2016-11-05,2016-11,トヨタ自動車サンホークス,11,L,福島孝輝,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,17,0,81.0
2016-11-05,2016-11,トヨタ自動車サンホークス,13,,松下大悟,4,■,■,■,■,,39,19,4,0.4871794871794872,0.38461538461538464,4.75,3,0,1,0.0,0,-,16,1,5,1,7.8,9,4,0,44.4
2016-11-05,2016-11,トヨタ自動車サンホークス,16,,吉岡衛,4,■,■,■,■,,25,12,5,0.48,0.28,3.00,6,3,2,50.0,1,0.25,14,1,6,3,11.1,2,0,0,0.0
2016-11-05,2016-11,トヨタ自動車サンホークス,19,,水口直希,3,□,,□,□,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0,0,-
2016-11-05,2016-11,トヨタ自動車サンホークス,20,L,山下輝樹,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,大同特殊鋼レッドスター,2,,松山徹,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,大同特殊鋼レッドスター,3,,久保田雅人,4,■,■,■,■,,20,7,3,0.35,0.2,1.75,1,0,0,0.0,0,-,15,1,4,2,8.7,40,22,0,55.0
2016-11-05,2016-11,大同特殊鋼レッドスター,4,,田中尚,4,■,■,■,■,,11,5,1,0.4545454545454545,0.3636363636363637,1.25,0,0,0,-,1,0.25,17,0,0,8,11.8,1,1,0,100.0
2016-11-05,2016-11,大同特殊鋼レッドスター,5,,平野晃多,4,■,■,■,■,,13,10,1,0.7692307692307693,0.6923076923076923,2.50,0,0,0,-,1,0.25,17,0,0,4,5.9,2,1,0,50.0
2016-11-05,2016-11,大同特殊鋼レッドスター,6,,辰巳佳靖,4,■,■,■,■,,30,13,5,0.43333333333333335,0.26666666666666666,3.25,12,6,0,50.0,1,0.25,12,0,8,4,8.3,0,0,0,-
2016-11-05,2016-11,大同特殊鋼レッドスター,7,L,赤澤直樹,4,〇,〇,〇,〇,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,大同特殊鋼レッドスター,8,,藤元公貴,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2016-11-05,2016-11,大同特殊鋼レッドスター,9,,長谷川優太,4,■,■,■,■,,1,1,0,1.0,1.0,0.25,0,0,0,-,1,0.25,11,0,2,2,4.5,0,0,0,-
2016-11-05,2016-11,大同特殊鋼レッドスター,13,L,草場貴成,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,17,0,85.0
2016-11-05,2016-11,大同特殊鋼レッドスター,15,,金澤秀幸,2,■,■,,,,6,0,4,0.0,-0.6666666666666666,-,2,0,1,0.0,0,-,5,0,1,1,5.0,1,1,0,100.0
2016-11-05,2016-11,大同特殊鋼レッドスター,16,,川口一貴,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
