名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アレキサンダーオソキン,2016-11,VC長野トライデンツ,22,55,22,86,45,10,52.3,40.7,1,0,1,32,77,2,7,39,5,3,0,0.0,2.05,1.45,13.0,60.0
アレキサンダーオソキン,2016-12,VC長野トライデンツ,22,48,16,59,26,4,44.1,37.3,0,0,0,26,68,3,3,25,3,1,0,,1.62,1.62,12.5,33.3
アレキサンダーオソキン,2017-01,VC長野トライデンツ,22,4,14,38,25,0,65.8,65.8,0,0,0,14,69,0,2,30,3,2,0,,1.79,1.0,10.1,66.7
アレキサンダーオソキン,2017-02,VC長野トライデンツ,22,16,26,99,52,7,52.5,45.5,0,0,0,19,98,3,3,47,5,4,0,,2.0,0.73,14.3,80.0
テイラーヒッグス,2016-11,埼玉アザレア,25,44,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
テイラーヒッグス,2016-12,埼玉アザレア,25,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
テイラーヒッグス,2017-01,埼玉アザレア,25,5,1,1,0,1,0.0,-100.0,1,0,1,0,1,0,1,0,0,0,0,0.0,0.0,0.0,-25.0,
テイラーヒッグス,2017-02,埼玉アザレア,25,12,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
ヤカングマ,2016-11,大分三好ヴァイセアドラー,14,44,16,199,113,11,56.8,51.3,77,53,3,4,54,1,8,24,0,0,0,68.8,7.06,0.25,9.3,
ヤカングマ,2016-12,大分三好ヴァイセアドラー,14,48,14,183,115,10,62.8,57.4,78,45,3,3,72,12,12,23,0,0,0,57.7,8.21,0.21,20.5,
