名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
アレキサンダーオソキン,VC長野トライデンツ,22,78,282,148,21,52.5,45.0,1,0,1,91,312,8,15,141,16,10,0,0.0,1.9,1.2,12.7
テイラーヒッグス,埼玉アザレア,25,2,1,0,1,0.0,-100.0,1,0,1,0,2,0,2,0,0,0,0,0.0,0.0,0.0,-25.0
ヤカングマ,大分三好ヴァイセアドラー,14,72,898,515,63,57.3,50.3,401,226,31,22,312,24,38,128,0,0,0,56.4,7.2,0.3,14.9
三芳健斗,富士通カワサキレッドスピリッツ,6,11,20,12,0,60.0,60.0,0,0,0,4,25,2,3,9,0,0,0,,1.1,0.4,14.0
上前仁,大分三好ヴァイセアドラー,6,25,0,0,0,,,0,0,0,0,11,0,1,5,0,0,0,,0.0,0.0,9.1
上坂将輝,トヨタ自動車サンホークス,18,27,0,0,0,,,0,0,0,0,37,1,4,16,0,0,0,,0.0,0.0,10.8
中島冬輝,つくばユナイテッドSunGAIA,12,31,8,3,0,37.5,37.5,0,0,0,0,68,1,0,17,0,0,0,,0.1,0.0,7.7
中川剛,富士通カワサキレッドスピリッツ,1,81,617,299,69,48.5,37.3,233,115,42,15,285,11,43,94,1,0,0,49.4,3.7,0.2,8.3
中村航太朗,警視庁フォートファイターズ,13,75,822,348,79,42.3,32.7,328,135,39,19,266,11,43,105,35,24,0,41.2,4.6,0.3,10.0
中津芳文,埼玉アザレア,8,78,252,118,11,46.8,42.5,1,0,0,34,312,14,12,117,6,2,0,0.0,1.5,0.4,12.9
中谷光,VC長野トライデンツ,25,51,0,0,0,,,0,0,0,0,73,3,11,35,0,0,0,,0.0,0.0,12.3
中道元貴,警視庁フォートファイターズ,14,84,29,17,0,58.6,58.6,0,0,0,21,368,25,81,142,10,0,0,,0.2,0.2,10.9
