名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
モラッドドリウィシ,東京ヴェルディ,10,19,99,39,7,39.4,32.3,14,7,1,7,61,5,10,16,1,1,0,50.0,2.1,0.4,10.7,100.0
三芳健斗,富士通カワサキレッドスピリッツ,6,28,81,42,3,51.9,48.1,0,0,0,14,54,3,6,8,0,0,0,,1.5,0.5,6.5,
上場雄也,つくばユナイテッドSunGAIA,2,30,273,147,27,53.8,44.0,90,44,14,11,129,9,23,44,0,0,0,48.9,4.9,0.4,11.0,
上道映人,トヨタ自動車サンホークス,13,35,261,100,43,38.3,21.8,48,15,13,10,133,6,41,37,58,32,0,31.2,2.9,0.3,3.8,55.2
下田健一,警視庁フォートファイターズ,11,2,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,,0.0,0.0,-8.3,
中島俊介,東京ヴェルディ,15,3,12,6,3,50.0,25.0,4,0,2,1,7,1,4,0,0,0,0,0.0,2.0,0.3,0.0,
中川剛,富士通カワサキレッドスピリッツ,3,18,115,66,10,57.4,48.7,36,20,5,4,59,2,10,17,0,0,0,55.6,3.7,0.2,6.4,
中村成輔,兵庫デルフィーノ,21,37,13,6,1,46.2,38.5,0,0,0,2,98,2,7,23,3,1,0,,0.2,0.1,6.1,33.3
中江康剛,兵庫デルフィーノ,7,39,271,96,24,35.4,26.6,21,6,4,8,135,1,9,22,229,165,0,28.6,2.5,0.2,3.1,72.1
中沢敏浩,東京トヨペットグリーンスパークル,4,35,0,0,0,,,0,0,0,0,0,0,0,0,233,169,0,,0.0,0.0,,72.5
中田学,警視庁フォートファイターズ,24,36,353,148,43,41.9,29.7,59,29,8,8,131,1,11,34,151,103,0,49.2,4.1,0.2,5.2,68.2
中西優介,きんでんトリニティーブリッツ,16,20,78,27,4,34.6,29.5,0,0,0,4,54,0,3,11,109,73,0,,1.4,0.2,3.7,67.0
中西教之,きんでんトリニティーブリッツ,5,38,148,62,7,41.9,37.2,0,0,0,38,136,4,16,34,23,16,0,,1.6,1.0,6.2,69.6
中道元貴,警視庁フォートファイターズ,14,18,81,32,5,39.5,33.3,18,5,2,3,67,2,8,16,46,32,0,27.8,1.8,0.2,6.0,69.6
中道淑人,大同特殊鋼レッドスター,17,20,0,0,0,,,0,0,0,0,22,0,4,3,20,16,0,,0.0,0.0,-1.1,80.0
