名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
モラッドドリウィシ,2010-01,東京ヴェルディ,10,2,8,47,18,3,38.3,31.9,8,4,1,6,24,1,7,7,1,1,0,50.0,2.25,0.75,4.2,100.0
モラッドドリウィシ,2010-02,東京ヴェルディ,10,10,11,52,21,4,40.4,32.7,6,3,0,1,37,4,3,9,0,0,0,50.0,1.91,0.09,14.9,
三芳健斗,2010-01,富士通カワサキレッドスピリッツ,6,6,17,52,27,1,51.9,50.0,0,0,0,9,34,2,2,6,0,0,0,,1.59,0.53,8.8,
三芳健斗,2010-02,富士通カワサキレッドスピリッツ,6,8,11,29,15,2,51.7,44.8,0,0,0,5,20,1,4,2,0,0,0,,1.36,0.45,2.5,
上場雄也,2010-01,つくばユナイテッドSunGAIA,2,6,18,156,79,14,50.6,41.7,42,19,4,5,74,8,14,25,0,0,0,45.2,4.39,0.28,14.5,
上場雄也,2010-02,つくばユナイテッドSunGAIA,2,8,12,117,68,13,58.1,47.0,48,25,10,6,55,1,9,19,0,0,0,52.1,5.67,0.5,6.4,
上道映人,2010-01,トヨタ自動車サンホークス,13,5,18,131,51,22,38.9,22.1,22,8,5,5,71,2,23,24,32,16,0,36.4,2.83,0.28,3.2,50.0
上道映人,2010-02,トヨタ自動車サンホークス,13,10,17,130,49,21,37.7,21.5,26,7,8,5,62,4,18,13,26,16,0,26.9,2.88,0.29,4.4,61.5
下田健一,2010-01,警視庁フォートファイターズ,11,6,2,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,,0.0,0.0,-8.3,
下田健一,2010-02,警視庁フォートファイターズ,11,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島俊介,2010-02,東京ヴェルディ,15,2,3,12,6,3,50.0,25.0,4,0,2,1,7,1,4,0,0,0,0,0.0,2.0,0.33,0.0,
中川剛,2010-01,富士通カワサキレッドスピリッツ,3,3,9,55,30,7,54.5,41.8,18,7,4,1,22,0,2,6,0,0,0,38.9,3.33,0.11,4.5,
中川剛,2010-02,富士通カワサキレッドスピリッツ,3,6,9,60,36,3,60.0,55.0,18,13,1,3,37,2,8,11,0,0,0,72.2,4.0,0.33,7.4,
中村成輔,2010-01,兵庫デルフィーノ,21,5,20,4,2,0,50.0,50.0,0,0,0,1,59,2,5,15,1,0,0,,0.1,0.05,7.6,0.0
中村成輔,2010-02,兵庫デルフィーノ,21,10,17,9,4,1,44.4,33.3,0,0,0,1,39,0,2,8,2,1,0,,0.24,0.06,3.8,50.0
中江康剛,2010-01,兵庫デルフィーノ,7,5,20,155,61,13,39.4,31.0,8,1,2,2,70,0,3,9,123,85,0,12.5,3.05,0.1,2.1,69.1
中江康剛,2010-02,兵庫デルフィーノ,7,10,19,116,35,11,30.2,20.7,13,5,2,6,65,1,6,13,106,80,0,38.5,1.84,0.32,4.2,75.5
中沢敏浩,2010-01,東京トヨペットグリーンスパークル,4,6,23,0,0,0,,,0,0,0,0,0,0,0,0,153,107,0,,0.0,0.0,,69.9
中沢敏浩,2010-02,東京トヨペットグリーンスパークル,4,8,12,0,0,0,,,0,0,0,0,0,0,0,0,80,62,0,,0.0,0.0,,77.5
中田学,2010-01,警視庁フォートファイターズ,24,6,21,198,81,20,40.9,30.8,20,12,3,8,78,1,7,23,89,61,0,60.0,3.86,0.38,6.4,68.5
中田学,2010-02,警視庁フォートファイターズ,24,8,15,155,67,23,43.2,28.4,39,17,5,0,53,0,4,11,62,42,0,43.6,4.47,0.0,3.3,67.7
中西優介,2010-01,きんでんトリニティーブリッツ,16,6,16,62,22,3,35.5,30.6,0,0,0,4,41,0,2,10,73,51,0,,1.38,0.25,4.9,69.9
中西優介,2010-02,きんでんトリニティーブリッツ,16,8,4,16,5,1,31.2,25.0,0,0,0,0,13,0,1,1,36,22,0,,1.25,0.0,0.0,61.1
中西教之,2010-01,きんでんトリニティーブリッツ,5,6,25,103,37,4,35.9,32.0,0,0,0,26,88,3,10,23,14,10,0,,1.48,1.04,7.1,71.4
中西教之,2010-02,きんでんトリニティーブリッツ,5,8,13,45,25,3,55.6,48.9,0,0,0,12,48,1,6,11,9,6,0,,1.92,0.92,4.7,66.7
中道元貴,2010-01,警視庁フォートファイターズ,14,6,3,0,0,0,,,0,0,0,1,3,0,2,0,3,3,0,,0.0,0.33,-16.7,100.0
中道元貴,2010-02,警視庁フォートファイターズ,14,8,15,81,32,5,39.5,33.3,18,5,2,2,64,2,6,16,43,29,0,27.8,2.13,0.13,7.0,67.4
中道淑人,2010-01,大同特殊鋼レッドスター,17,5,11,0,0,0,,,0,0,0,0,15,0,3,1,13,12,0,,0.0,0.0,-3.3,92.3
中道淑人,2010-02,大同特殊鋼レッドスター,17,10,9,0,0,0,,,0,0,0,0,7,0,1,2,7,4,0,,0.0,0.0,3.6,57.1
井上人哉,2010-01,警視庁フォートファイターズ,7,6,6,0,0,0,,,0,0,0,0,13,0,0,5,0,0,0,,0.0,0.0,9.6,
井上人哉,2010-02,警視庁フォートファイターズ,7,8,11,0,0,0,,,0,0,0,0,13,0,2,4,0,0,0,,0.0,0.0,3.8,
井上佑馬,2010-01,東京トヨペットグリーンスパークル,13,6,14,10,5,0,50.0,50.0,0,0,0,1,21,0,2,5,0,0,0,,0.36,0.07,3.6,
井上佑馬,2010-02,東京トヨペットグリーンスパークル,13,8,10,0,0,0,,,0,0,0,1,21,3,1,3,0,0,0,,0.0,0.1,16.7,
井上優人,2010-01,兵庫デルフィーノ,1,3,14,58,27,1,46.6,44.8,2,1,1,12,52,2,6,17,3,3,0,50.0,1.93,0.86,9.1,100.0
井上優人,2010-02,兵庫デルフィーノ,1,6,12,46,16,1,34.8,32.6,3,1,0,13,29,1,5,7,2,0,0,33.3,1.33,1.08,5.2,0.0
井上周二,2010-01,兵庫デルフィーノ,6,5,20,183,76,15,41.5,33.3,21,6,5,8,63,3,9,14,135,102,0,28.6,3.8,0.4,6.7,75.6
井上周二,2010-02,兵庫デルフィーノ,6,10,20,163,54,14,33.1,24.5,21,5,1,3,59,0,10,10,117,79,0,23.8,2.7,0.15,0.0,67.5
今一騎,2010-01,富士通カワサキレッドスピリッツ,5,4,9,53,23,6,43.4,32.1,8,2,4,5,26,0,2,8,2,2,0,25.0,2.56,0.56,5.8,100.0
今一騎,2010-02,富士通カワサキレッドスピリッツ,5,8,5,24,10,2,41.7,33.3,4,1,1,0,17,1,3,5,1,0,0,25.0,2.0,0.0,8.8,0.0
今田善仁,2010-01,きんでんトリニティーブリッツ,4,6,19,12,6,1,50.0,41.7,1,1,0,7,61,0,4,10,2,0,0,100.0,0.32,0.37,2.5,0.0
今田善仁,2010-02,きんでんトリニティーブリッツ,4,8,13,6,1,0,16.7,16.7,2,0,0,5,52,2,4,16,0,0,0,0.0,0.08,0.38,9.6,
伊藤優介,2010-01,東京トヨペットグリーンスパークル,1,6,23,83,32,11,38.6,25.3,1,0,1,8,94,1,10,26,51,32,0,0.0,1.39,0.35,5.3,62.7
伊藤優介,2010-02,東京トヨペットグリーンスパークル,1,8,11,33,19,3,57.6,48.5,1,1,0,6,36,2,5,11,2,1,0,100.0,1.73,0.55,9.7,50.0
伊藤勲男,2010-01,近畿クラブスフィーダ,19,4,6,37,13,7,35.1,16.2,4,1,1,0,12,0,3,3,1,1,0,25.0,2.17,0.0,0.0,100.0
伊藤勲男,2010-02,近畿クラブスフィーダ,19,10,11,38,16,8,42.1,21.1,5,1,1,1,20,0,4,5,0,0,0,20.0,1.45,0.09,1.2,
佐藤由法,2010-01,つくばユナイテッドSunGAIA,15,6,2,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,,0.0,0.0,0.0,
佐藤由法,2010-02,つくばユナイテッドSunGAIA,15,8,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
倉田真,2010-01,大同特殊鋼レッドスター,4,5,16,120,51,9,42.5,35.0,17,7,3,10,60,2,7,17,96,67,0,41.2,3.19,0.62,7.5,69.8
倉田真,2010-02,大同特殊鋼レッドスター,4,10,15,121,65,6,53.7,48.8,16,6,3,8,71,4,8,15,116,82,0,37.5,4.33,0.53,8.1,70.7
其原健太,2010-01,ジェイテクトSTINGS,11,5,2,6,3,0,50.0,50.0,2,2,0,1,4,0,0,2,4,3,0,100.0,1.5,0.5,12.5,75.0
其原健太,2010-02,ジェイテクトSTINGS,11,10,6,25,10,3,40.0,28.0,1,0,1,1,10,0,3,0,6,1,0,0.0,1.67,0.17,-7.5,16.7
加藤陽一,2010-01,つくばユナイテッドSunGAIA,18,6,19,66,31,5,47.0,39.4,6,2,0,8,64,0,8,17,162,111,0,33.3,1.63,0.42,3.5,68.5
加藤陽一,2010-02,つくばユナイテッドSunGAIA,18,8,11,61,29,4,47.5,41.0,8,4,2,6,36,2,5,11,82,52,0,50.0,2.64,0.55,9.7,63.4
勝田祥平,2010-01,富士通カワサキレッドスピリッツ,7,6,5,5,3,0,60.0,60.0,0,0,0,0,11,2,2,1,21,15,0,,0.6,0.0,15.9,71.4
勝田祥平,2010-02,富士通カワサキレッドスピリッツ,7,8,8,22,10,1,45.5,40.9,6,4,0,1,19,1,4,4,26,15,0,66.7,1.25,0.12,5.3,57.7
