名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カーリーウォーパット,東レアローズ,1,36,38,10,74,396,217,11,54.8,52.0,0,0,0,51,217,8,39,72,5,3,0,276,,2.93,0.69,7.5,60.0
シッティラックオヌマー,JTマーヴェラス,6,45,33,13,74,865,335,37,38.7,34.5,125,50,10,17,263,14,29,81,15,9,0,366,40.0,4.53,0.23,10.3,60.0
ジャクソンカースティ,日立リヴァーレ,14,51,32,14,83,539,253,31,46.9,41.2,0,0,0,31,258,6,29,98,24,14,0,290,,3.05,0.37,9.0,58.3
トカルスカマヤ,久光製薬スプリングス,9,52,30,14,82,305,160,17,52.5,46.9,0,0,0,60,231,6,27,76,17,8,0,226,,1.95,0.73,7.9,47.1
ドリスジェニファー,PFUブルーキャッツ,2,19,56,3,75,548,282,12,51.5,49.3,0,0,0,25,191,4,12,56,10,6,0,311,,3.76,0.33,7.9,60.0
ニコロバエミリヤ,NECレッドロケッツ,3,48,24,15,54,310,131,17,42.3,36.8,65,26,8,13,116,8,8,41,4,2,0,152,40.0,2.43,0.24,14.0,50.0
ポリーナラヒモワ,トヨタ車体クインシーズ,17,36,43,10,79,1338,530,110,39.6,31.4,451,168,55,38,331,35,57,153,1,1,0,603,37.3,6.71,0.48,17.8,100.0
三橋聡恵,PFUブルーキャッツ,8,19,56,3,74,802,243,50,30.3,24.1,125,40,7,19,287,11,41,94,676,406,0,273,32.0,3.28,0.26,8.4,60.1
上野香織,NECレッドロケッツ,11,45,25,14,27,39,16,3,41.0,33.3,0,0,0,8,59,3,5,18,4,3,0,27,,0.59,0.3,10.6,75.0
下平夏奈,日立リヴァーレ,4,51,32,14,43,1,0,0,0.0,0.0,0,0,0,0,58,0,5,19,0,0,0,0,,0.0,0.0,6.0,
中大路絢野,久光製薬スプリングス,24,52,30,14,60,27,11,3,40.7,29.6,0,0,0,5,203,3,18,66,2,1,0,19,,0.18,0.08,7.4,50.0
中屋夏澄,トヨタ車体クインシーズ,16,10,12,2,6,0,0,0,,,0,0,0,0,8,0,2,2,0,0,0,0,,0.0,0.0,0.0,
中島未来,東レアローズ,18,23,31,6,25,0,0,0,,,0,0,0,0,10,0,0,5,5,3,0,0,,0.0,0.0,12.5,60.0
中川有美,東レアローズ,15,34,38,10,37,0,0,0,,,0,0,0,0,2,0,1,1,4,2,0,0,,0.0,0.0,0.0,50.0
中村亜友美,JTマーヴェラス,4,45,33,13,75,571,201,34,35.2,29.2,32,7,4,18,287,11,33,104,625,386,0,230,21.9,2.68,0.24,10.0,61.8
中田紫乃,東レアローズ,16,26,22,8,22,0,0,0,,,0,0,0,0,30,0,5,10,0,0,0,0,,0.0,0.0,4.2,
中道瞳,東レアローズ,12,7,6,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸山亜季,岡山シーガルズ,20,26,51,5,65,0,0,0,,,0,0,0,0,0,0,0,0,217,139,0,0,,0.0,0.0,,64.1
井上奈々朱,日立リヴァーレ,3,45,31,12,63,217,105,24,48.4,37.3,2,0,0,22,168,8,29,55,20,12,0,135,0.0,1.67,0.35,8.6,60.0
井上琴絵,JTマーヴェラス,10,45,33,13,53,0,0,0,,,0,0,0,0,8,0,0,2,235,154,0,0,,0.0,0.0,6.2,65.5
今村優香,久光製薬スプリングス,12,33,21,9,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
伊藤望,東レアローズ,10,36,41,10,43,139,56,5,40.3,36.7,0,0,0,15,146,4,12,45,3,1,0,75,,1.3,0.35,8.4,33.3
位田愛,JTマーヴェラス,5,45,33,13,40,83,27,4,32.5,27.7,4,1,0,1,87,2,1,33,92,58,0,30,25.0,0.68,0.02,11.5,63.0
佐々木萌,岡山シーガルズ,7,26,51,5,73,892,254,37,28.5,24.3,22,5,2,11,195,7,9,45,343,213,0,272,22.7,3.48,0.15,8.2,62.1
佐藤あり紗,日立リヴァーレ,5,51,32,14,83,0,0,0,,,0,0,0,0,0,0,0,0,390,285,0,0,,0.0,0.0,,73.1
佐藤美弥,日立リヴァーレ,8,51,32,14,83,31,20,0,64.5,64.5,0,0,0,6,278,11,31,101,6,0,0,37,,0.24,0.07,10.3,0.0
内瀬戸真実,日立リヴァーレ,10,51,32,14,83,627,225,27,35.9,31.6,17,2,2,20,331,9,28,119,546,371,0,254,11.8,2.71,0.24,9.6,67.9
加藤光,久光製薬スプリングス,25,11,8,3,14,0,0,0,,,0,0,0,0,22,1,2,6,0,0,0,1,,0.0,0.0,9.1,
古藤千鶴,久光製薬スプリングス,2,52,30,14,53,15,7,0,46.7,46.7,0,0,0,4,125,1,4,41,0,0,0,12,,0.13,0.08,8.2,
古賀紗理那,NECレッドロケッツ,2,48,27,15,75,768,283,32,36.8,32.7,119,37,11,35,266,13,33,68,690,442,0,331,31.1,3.77,0.47,8.2,64.1
吉安遥,PFUブルーキャッツ,3,15,53,2,45,171,62,14,36.3,28.1,6,1,0,2,94,1,5,19,276,193,0,65,16.7,1.38,0.04,4.8,69.9
吉田みなみ,岡山シーガルズ,1,6,15,1,12,43,17,3,39.5,32.6,0,0,0,0,11,1,3,2,14,6,0,18,,1.42,0.0,6.8,42.9
堀口あやか,PFUブルーキャッツ,11,0,6,0,6,50,19,2,38.0,34.0,8,2,0,0,11,1,2,0,0,0,0,20,25.0,3.17,0.0,4.5,
