名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三芳健斗,2009-01,富士通カワサキレッドスピリッツ,6,6,11,29,17,3,58.6,48.3,0,0,0,3,27,1,1,8,0,0,0,,1.55,0.27,10.2,
三芳健斗,2009-02,富士通カワサキレッドスピリッツ,6,10,10,20,10,1,50.0,45.0,0,0,0,5,28,0,2,3,0,0,0,,1.0,0.5,0.9,
上場雄也,2009-01,つくばユナイテッドSunGAIA,2,4,10,36,20,5,55.6,41.7,15,8,3,3,16,1,5,2,6,4,0,53.3,2.0,0.3,1.6,66.7
上場雄也,2009-02,つくばユナイテッドSunGAIA,2,8,12,48,28,2,58.3,54.2,19,12,1,9,19,0,2,0,2,1,0,63.2,2.33,0.75,-2.6,50.0
上場雄也,2009-02,東京ヴェルディ,20,2,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
上道映人,2009-01,トヨタ自動車サンホークス,13,6,19,171,70,30,40.9,23.4,49,16,16,3,61,6,17,16,9,4,0,32.7,3.68,0.16,9.4,44.4
上道映人,2009-02,トヨタ自動車サンホークス,13,10,21,261,118,33,45.2,32.6,70,24,16,3,74,2,22,24,0,0,0,34.3,5.62,0.14,3.4,
下田健一,2009-01,警視庁フォートファイターズ,11,6,22,193,69,18,35.8,26.4,51,16,9,5,88,2,15,30,0,0,0,31.4,3.14,0.23,6.5,
下田健一,2009-02,警視庁フォートファイターズ,11,10,20,176,75,12,42.6,35.8,53,21,6,5,70,3,13,23,1,1,0,39.6,3.75,0.25,7.9,100.0
下野直宏,2009-01,きんでんトリニティーブリッツ,12,5,10,0,0,0,,,0,0,0,0,11,0,6,0,0,0,0,,0.0,0.0,-13.6,
下野直宏,2009-02,きんでんトリニティーブリッツ,12,10,6,0,0,0,,,0,0,0,0,7,0,5,1,0,0,0,,0.0,0.0,-14.3,
中島悠太,2009-01,東京ヴェルディ,10,1,3,4,2,0,50.0,50.0,0,0,0,0,2,0,0,1,0,0,0,,0.67,0.0,12.5,
中島悠太,2009-02,東京ヴェルディ,10,4,5,23,16,0,69.6,69.6,0,0,0,2,18,0,2,2,0,0,0,,3.2,0.4,0.0,
中村成輔,2009-01,兵庫デルフィーノ,21,6,19,9,1,1,11.1,0.0,3,0,1,6,52,0,2,12,0,0,0,0.0,0.05,0.32,4.8,
中村成輔,2009-02,兵庫デルフィーノ,21,10,19,9,2,1,22.2,11.1,0,0,0,1,78,1,3,26,0,0,0,,0.11,0.05,8.7,
中江康剛,2009-01,兵庫デルフィーノ,7,6,21,152,59,14,38.8,29.6,16,4,3,4,72,3,7,13,138,101,0,25.0,2.81,0.19,6.2,73.2
中江康剛,2009-02,兵庫デルフィーノ,7,10,19,133,61,11,45.9,37.6,8,4,0,7,69,0,4,14,87,57,0,50.0,3.21,0.37,3.6,65.5
中沢敏浩,2009-01,東京トヨペットグリーンスパークル,4,6,22,0,0,0,,,0,0,0,0,0,0,0,0,168,109,0,,0.0,0.0,,64.9
中沢敏浩,2009-02,東京トヨペットグリーンスパークル,4,10,16,0,0,0,,,0,0,0,0,0,0,0,0,128,77,0,,0.0,0.0,,60.2
中田亮二,2009-01,近畿クラブスフィーダ,10,4,6,12,5,1,41.7,33.3,0,0,0,2,7,0,0,0,22,15,0,,0.83,0.33,0.0,68.2
中田学,2009-01,警視庁フォートファイターズ,24,3,7,50,24,6,48.0,36.0,3,0,2,4,28,2,2,8,25,10,0,0.0,3.43,0.57,12.5,40.0
中田学,2009-02,警視庁フォートファイターズ,24,2,4,11,2,3,18.2,-9.1,1,0,1,0,4,0,1,1,0,0,0,0.0,0.5,0.0,0.0,
中西優介,2009-01,きんでんトリニティーブリッツ,16,4,4,10,2,1,20.0,10.0,0,0,0,0,4,0,0,0,11,10,0,,0.5,0.0,0.0,90.9
中西優介,2009-02,きんでんトリニティーブリッツ,16,10,6,31,8,3,25.8,16.1,0,0,0,2,17,0,2,6,27,17,0,,1.33,0.33,5.9,63.0
中西教之,2009-01,きんでんトリニティーブリッツ,5,6,7,7,2,1,28.6,14.3,0,0,0,1,4,0,2,0,0,0,0,,0.29,0.14,-12.5,
中西教之,2009-02,きんでんトリニティーブリッツ,5,10,9,15,5,0,33.3,33.3,0,0,0,3,6,0,3,3,1,0,0,,0.56,0.33,0.0,0.0
中谷宏大,2009-01,FC東京,15,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中谷宏大,2009-02,FC東京,15,4,3,0,0,0,,,0,0,0,0,0,0,0,0,17,8,0,,0.0,0.0,,47.1
中道淑人,2009-01,大同特殊鋼レッドスター,17,6,20,0,0,0,,,0,0,0,0,32,3,7,12,3,2,0,,0.0,0.0,13.3,66.7
中道淑人,2009-02,大同特殊鋼レッドスター,17,10,12,0,0,0,,,0,0,0,0,6,0,2,1,40,25,0,,0.0,0.0,-4.2,62.5
