名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三芳健斗,富士通カワサキレッドスピリッツ,6,16,21,49,27,4,55.1,46.9,0,0,0,8,55,1,3,11,0,0,0,,1.29,0.38,5.5,
上場雄也,つくばユナイテッドSunGAIA,2,12,22,84,48,7,57.1,48.8,34,20,4,12,35,1,7,2,8,5,0,58.8,2.18,0.55,-0.7,62.5
上場雄也,東京ヴェルディ,20,2,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
上道映人,トヨタ自動車サンホークス,13,16,40,432,188,63,43.5,28.9,119,40,32,6,135,8,39,40,9,4,0,33.6,4.7,0.15,6.1,44.4
下田健一,警視庁フォートファイターズ,11,16,42,369,144,30,39.0,30.9,104,37,15,10,158,5,28,53,1,1,0,35.6,3.43,0.24,7.1,100.0
下野直宏,きんでんトリニティーブリッツ,12,15,16,0,0,0,,,0,0,0,0,18,0,11,1,0,0,0,,0.0,0.0,-13.9,
中島悠太,東京ヴェルディ,10,5,8,27,18,0,66.7,66.7,0,0,0,2,20,0,2,3,0,0,0,,2.25,0.25,1.2,
中村成輔,兵庫デルフィーノ,21,16,38,18,3,2,16.7,5.6,3,0,1,7,130,1,5,38,0,0,0,0.0,0.08,0.18,7.1,
中江康剛,兵庫デルフィーノ,7,16,40,285,120,25,42.1,33.3,24,8,3,11,141,3,11,27,225,158,0,33.3,3.0,0.28,5.0,70.2
中沢敏浩,東京トヨペットグリーンスパークル,4,16,38,0,0,0,,,0,0,0,0,0,0,0,0,296,186,0,,0.0,0.0,,62.8
中田亮二,近畿クラブスフィーダ,10,4,6,12,5,1,41.7,33.3,0,0,0,2,7,0,0,0,22,15,0,,0.83,0.33,0.0,68.2
中田学,警視庁フォートファイターズ,24,5,11,61,26,9,42.6,27.9,4,0,3,4,32,2,3,9,25,10,0,0.0,2.36,0.36,10.9,40.0
中西優介,きんでんトリニティーブリッツ,16,14,10,41,10,4,24.4,14.6,0,0,0,2,21,0,2,6,38,27,0,,1.0,0.2,4.8,71.1
中西教之,きんでんトリニティーブリッツ,5,16,16,22,7,1,31.8,27.3,0,0,0,4,10,0,5,3,1,0,0,,0.44,0.25,-5.0,0.0
中谷宏大,FC東京,15,6,3,0,0,0,,,0,0,0,0,0,0,0,0,17,8,0,,0.0,0.0,,47.1
中道淑人,大同特殊鋼レッドスター,17,16,32,0,0,0,,,0,0,0,0,38,3,9,13,43,27,0,,0.0,0.0,10.5,62.8
久田利彦,つくばユナイテッドSunGAIA,17,16,21,0,0,0,,,0,0,0,0,0,0,0,0,164,129,0,,0.0,0.0,,78.7
井上人哉,警視庁フォートファイターズ,7,16,25,0,0,0,,,0,0,0,0,29,0,1,14,0,0,0,,0.0,0.0,11.2,
井上佑馬,東京トヨペットグリーンスパークル,13,16,7,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,,0.0,0.0,0.0,
今一騎,富士通カワサキレッドスピリッツ,5,16,38,258,116,22,45.0,36.4,53,18,5,16,132,6,22,22,9,4,0,34.0,3.05,0.42,4.5,44.4
今田善仁,きんでんトリニティーブリッツ,4,16,41,46,11,3,23.9,17.4,1,0,0,9,152,0,5,33,5,2,0,0.0,0.27,0.22,4.6,40.0
伊東克明,FC東京,9,16,41,171,88,22,51.5,38.6,18,7,7,13,133,4,31,38,157,120,0,38.9,2.15,0.32,4.3,76.4
伊藤優介,東京トヨペットグリーンスパークル,1,16,37,160,58,13,36.2,28.1,1,0,1,11,132,2,24,25,12,6,0,0.0,1.57,0.3,1.7,50.0
