大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 WOMEN,群馬銀行グリーンウイングス,6,13,43,18,5,41.9,0,0,0,-,1.38,4,0.31,5,0,1,1,1,20.0,0,0,0,-,18,4,1,23
レギュラーラウンド,群馬銀行グリーンウイングス,6,13,43,18,5,41.9,0,0,0,-,1.38,4,0.31,5,0,1,1,1,20.0,0,0,0,-,18,4,1,23
V・チャレンジマッチ女子2019-20,群馬銀行グリーンウイングス,2,6,39,14,1,35.9,0,0,0,-,2.33,1,0.17,5,0,0,0,1,5.0,2,1,0,50.0,14,1,0,15
チャレンジマッチ,群馬銀行グリーンウイングス,2,6,39,14,1,35.9,0,0,0,-,2.33,1,0.17,5,0,0,0,1,5.0,2,1,0,50.0,14,1,0,15
V.LEAGUE DIVISION2 WOMEN 2018-19,群馬銀行グリーンウイングス,23,78,330,97,32,29.4,2,0,0,0.0,1.24,8,0.10,83,1,0,17,25,3.6,0,0,0,-,97,8,1,106
レギュラーラウンド,群馬銀行グリーンウイングス,18,62,287,85,26,29.6,2,0,0,0.0,1.37,8,0.13,82,1,0,16,25,4.0,0,0,0,-,85,8,1,94
ファイナル６,群馬銀行グリーンウイングス,5,16,43,12,6,27.9,0,0,0,-,0.75,0,-,1,0,0,1,0,-25.0,0,0,0,-,12,0,0,12
Ｖ・チャレンジリーグⅡ女子 2017/18,群馬銀行グリーンウイングス,15,59,498,179,29,35.9,11,1,1,9.1,3.03,14,0.24,149,5,2,21,24,5.2,2,0,0,0.0,179,14,7,200
レギュラーラウンド,群馬銀行グリーンウイングス,15,59,498,179,29,35.9,11,1,1,9.1,3.03,14,0.24,149,5,2,21,24,5.2,2,0,0,0.0,179,14,7,200
Ｖ・チャレンジリーグⅡ女子 2016/17,群馬銀行グリーンウイングス,15,52,538,206,47,38.3,56,14,9,25.0,3.96,9,0.17,196,9,7,17,53,14.2,0,0,0,-,206,9,16,231
レギュラーラウンド,群馬銀行グリーンウイングス,15,52,538,206,47,38.3,56,14,9,25.0,3.96,9,0.17,196,9,7,17,53,14.2,0,0,0,-,206,9,16,231
Ｖ・チャレンジリーグⅡ女子 2015/16,群馬銀行グリーンウイングス,7,29,298,99,31,33.2,49,14,14,28.6,3.41,6,0.21,102,3,4,24,43,16.6,5,2,0,40.0,99,6,7,112
レギュラーラウンド,群馬銀行グリーンウイングス,7,29,298,99,31,33.2,49,14,14,28.6,3.41,6,0.21,102,3,4,24,43,16.6,5,2,0,40.0,99,6,7,112
レギュラーシーズン通算,,61,215,1664,587,138,35.3,118,29,24,24.6,2.73,41,0.19,534,18,14,79,146,9.1,7,2,0,28.6,587,41,32,660
通算,,68,237,1746,613,145,35.1,118,29,24,24.6,2.59,42,0.18,540,18,14,80,147,9.0,9,3,0,33.3,613,42,32,687
