名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
カーリーウォーパット,東レアローズ,1,74,396,217,11,54.8,52.0,0,0,0,51,217,8,39,72,5,3,0,,2.9,0.7,7.5
シッティラックオヌマー,JTマーヴェラス,6,74,865,335,37,38.7,34.5,125,50,10,17,263,14,29,81,15,9,0,40.0,4.5,0.2,10.3
ジャクソンカースティ,日立リヴァーレ,14,83,539,253,31,46.9,41.2,0,0,0,31,258,6,29,98,24,14,0,,3.0,0.4,9.0
トカルスカマヤ,久光製薬スプリングス,9,82,305,160,17,52.5,46.9,0,0,0,60,231,6,27,76,17,8,0,,2.0,0.7,7.9
ドリスジェニファー,PFUブルーキャッツ,2,75,548,282,12,51.5,49.3,0,0,0,25,191,4,12,56,10,6,0,,3.8,0.3,7.9
ニコロバエミリヤ,NECレッドロケッツ,3,54,310,131,17,42.3,36.8,65,26,8,13,116,8,8,41,4,2,0,40.0,2.4,0.2,14.0
ポリーナラヒモワ,トヨタ車体クインシーズ,17,79,1338,530,110,39.6,31.4,451,168,55,38,331,35,57,153,1,1,0,37.3,6.7,0.5,17.8
三橋聡恵,PFUブルーキャッツ,8,74,802,243,50,30.3,24.1,125,40,7,19,287,11,41,94,676,406,0,32.0,3.3,0.3,8.4
上野香織,NECレッドロケッツ,11,27,39,16,3,41.0,33.3,0,0,0,8,59,3,5,18,4,3,0,,0.6,0.3,10.6
下平夏奈,日立リヴァーレ,4,43,1,0,0,0.0,0.0,0,0,0,0,58,0,5,19,0,0,0,,0.0,0.0,6.0
中大路絢野,久光製薬スプリングス,24,60,27,11,3,40.7,29.6,0,0,0,5,203,3,18,66,2,1,0,,0.2,0.1,7.4
中屋夏澄,トヨタ車体クインシーズ,16,6,0,0,0,,,0,0,0,0,8,0,2,2,0,0,0,,0.0,0.0,0.0
中島未来,東レアローズ,18,25,0,0,0,,,0,0,0,0,10,0,0,5,5,3,0,,0.0,0.0,12.5
