名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ウスティメンコオレーナ,埼玉上尾メディックス,39,93,58,654,313,34,47.9,42.7,113,45,16,27,202,27,37,69,0,0,0,39.8,5.4,0.47,17.3,
ドリスジェニファー,日立リヴァーレ,10,64,58,302,167,7,55.3,53.0,0,0,0,52,182,3,6,68,4,2,0,,2.88,0.9,10.2,50.0
ロマーニャユランニ,PFUブルーキャッツ,9,104,63,443,198,19,44.7,40.4,64,26,10,40,172,6,22,68,2,1,0,40.6,3.14,0.63,10.2,50.0
三浦あゆみ,GSS東京サンビームズ,8,9,9,98,23,9,23.5,14.3,0,0,0,0,17,1,5,6,50,30,0,,2.56,0.0,7.4,60.0
三浦茉実,埼玉上尾メディックス,21,93,12,14,2,1,14.3,7.1,0,0,0,3,0,0,0,0,2,0,0,,0.17,0.25,,0.0
上村麻衣,仙台ベルフィーユ,10,83,64,268,108,16,40.3,34.3,2,0,0,56,193,4,13,67,16,8,0,0.0,1.69,0.88,9.1,50.0
中原美羽,柏エンゼルクロス,9,104,39,243,77,18,31.7,24.3,13,3,3,4,81,1,5,21,139,73,0,23.1,1.97,0.1,6.2,52.5
中村早紀子,JAぎふリオレーナ,10,94,67,600,203,22,33.8,30.2,37,7,2,14,197,6,15,73,596,379,0,18.9,3.03,0.21,10.4,63.6
中野清香,仙台ベルフィーユ,8,83,57,456,139,17,30.5,26.8,55,13,6,16,171,9,13,54,233,127,0,23.6,2.44,0.28,11.3,54.5
丸山祐希,柏エンゼルクロス,11,106,63,29,8,0,27.6,27.6,0,0,0,1,172,3,6,44,1,0,0,,0.13,0.02,7.3,0.0
丸山裕子,埼玉上尾メディックス,20,93,29,30,8,1,26.7,23.3,0,0,0,11,12,1,1,4,0,0,0,,0.28,0.38,14.6,
久保みゆき,フォレストリーヴズ熊本,15,86,63,0,0,0,,,0,0,0,0,0,0,0,0,324,191,0,,0.0,0.0,,59.0
伊藤彩夏,フォレストリーヴズ熊本,16,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤智美,KUROBEアクアフェアリーズ,1,83,63,651,204,49,31.3,23.8,9,1,1,17,243,14,16,84,283,138,0,11.1,3.24,0.27,12.8,48.8
伊藤綾子,柏エンゼルクロス,6,106,63,323,133,12,41.2,37.5,1,0,0,18,205,5,7,61,6,3,0,0.0,2.11,0.29,9.0,50.0
伊関悠,日立リヴァーレ,18,64,26,0,0,0,,,0,0,0,0,0,0,0,0,22,14,0,,0.0,0.0,,63.6
位田愛,KUROBEアクアフェアリーズ,9,83,0,32,16,1,50.0,46.9,0,0,0,5,193,5,12,63,3,1,0,,inf,inf,9.2,33.3
佐々木夏希,PFUブルーキャッツ,6,102,27,1,0,0,0.0,0.0,0,0,0,0,38,1,5,10,0,0,0,,0.0,0.0,5.9,
佐々木美麗,日立リヴァーレ,14,64,50,95,32,7,33.7,26.3,16,5,3,2,121,11,12,44,11,9,0,31.2,0.64,0.04,15.7,81.8
佐々木香織,仙台ベルフィーユ,15,83,57,15,6,1,40.0,33.3,0,0,0,5,168,3,10,64,0,0,0,,0.11,0.09,9.8,
佐藤あり紗,日立リヴァーレ,5,64,59,0,0,0,,,0,0,0,0,0,0,0,0,218,167,0,,0.0,0.0,,76.6
佐藤みなみ,フォレストリーヴズ熊本,8,86,58,0,0,0,,,0,0,0,0,0,0,0,0,86,63,0,,0.0,0.0,,73.3
佐藤奈美,PFUブルーキャッツ,11,98,38,105,49,0,46.7,46.7,1,0,0,21,72,0,7,26,3,0,0,0.0,1.29,0.55,6.6,0.0
佐藤美弥,日立リヴァーレ,8,64,42,23,13,1,56.5,52.2,0,0,0,21,132,5,9,50,0,0,0,,0.31,0.5,11.6,
佐藤舞,柏エンゼルクロス,12,95,24,73,24,5,32.9,26.0,0,0,0,2,37,2,4,10,0,0,0,,1.0,0.08,9.5,
北上夏希,柏エンゼルクロス,15,106,50,507,152,30,30.0,24.1,48,9,8,4,147,1,7,42,163,84,0,18.8,3.04,0.08,6.6,51.5
南桃加,日立リヴァーレ,3,33,11,6,2,0,33.3,33.3,0,0,0,1,15,1,4,2,0,0,0,,0.18,0.09,3.3,
南部美穂,KUROBEアクアフェアリーズ,7,25,5,11,3,0,27.3,27.3,0,0,0,1,18,0,3,10,0,0,0,,0.6,0.2,9.7,
古屋美紀,KUROBEアクアフェアリーズ,4,83,10,19,9,0,47.4,47.4,0,0,0,9,15,0,5,3,0,0,0,,0.9,0.9,-3.3,
吉安遥,大野石油広島オイラーズ,8,117,59,534,210,38,39.3,32.2,4,1,0,13,274,7,10,83,423,321,0,25.0,3.56,0.22,9.2,75.9
吉川ひかる,KUROBEアクアフェアリーズ,13,83,38,160,38,11,23.8,16.9,0,0,0,6,76,3,10,26,72,41,0,,1.0,0.16,9.2,56.9
吉村志穂,埼玉上尾メディックス,18,84,50,398,163,37,41.0,31.7,44,14,10,6,212,11,20,80,272,166,0,31.8,3.26,0.12,12.3,61.0
和多桃子,フォレストリーヴズ熊本,13,86,61,14,9,0,64.3,64.3,0,0,0,0,225,6,11,61,4,0,0,,0.15,0.0,8.2,0.0
土田望未,埼玉上尾メディックス,10,93,59,14,6,0,42.9,42.9,1,0,0,2,258,7,21,99,3,0,0,0.0,0.1,0.03,10.3,0.0
坂本育美,JAぎふリオレーナ,6,94,67,36,16,3,44.4,36.1,0,0,0,5,298,19,42,117,1,0,0,,0.24,0.07,12.7,0.0
城奈津希,フォレストリーヴズ熊本,12,86,22,0,0,0,,,0,0,0,0,1,0,0,0,20,12,0,,0.0,0.0,0.0,60.0
塚本尚子,JAぎふリオレーナ,13,94,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
大内世莉香,仙台ベルフィーユ,13,83,64,0,0,0,,,0,0,0,0,0,0,0,0,407,257,0,,0.0,0.0,,63.1
大内志織,埼玉上尾メディックス,13,93,30,0,0,0,,,0,0,0,0,34,1,4,15,0,0,0,,0.0,0.0,11.0,
大場知英,GSS東京サンビームズ,3,94,54,0,0,0,,,0,0,0,0,0,0,0,0,321,178,0,,0.0,0.0,,55.5
大宮里美,仙台ベルフィーユ,9,83,13,56,16,5,28.6,19.6,3,1,1,6,12,0,2,5,9,4,0,33.3,1.23,0.46,6.2,44.4
大楠鼓雪,大野石油広島オイラーズ,5,117,63,423,169,26,40.0,33.8,2,0,0,38,184,12,20,62,10,6,0,0.0,2.68,0.6,12.2,60.0
大熊亜希,フォレストリーヴズ熊本,1,86,63,416,147,23,35.3,29.8,0,0,0,46,200,2,22,53,3,1,0,,2.33,0.73,4.9,33.3
大西悠加,JAぎふリオレーナ,11,94,59,659,220,39,33.4,27.5,114,37,13,6,169,8,14,62,185,81,0,32.5,3.73,0.1,11.8,43.8
安井彩乃,日立リヴァーレ,7,23,5,3,0,0,0.0,0.0,0,0,0,1,10,0,1,7,3,2,0,,0.0,0.2,15.0,66.7
安藤典莉子,埼玉上尾メディックス,12,93,59,271,133,9,49.1,45.8,2,0,2,35,144,6,7,51,6,4,0,0.0,2.25,0.59,11.8,66.7
定別當彩,柏エンゼルクロス,10,106,15,0,0,0,,,0,0,0,0,3,0,1,1,30,21,0,,0.0,0.0,0.0,70.0
小岩美麻,GSS東京サンビームズ,18,94,48,184,48,15,26.1,17.9,0,0,0,7,95,2,10,23,3,2,0,,1.0,0.15,5.5,66.7
小川晴菜,GSS東京サンビームズ,2,26,36,272,73,30,26.8,15.8,4,1,2,2,96,4,25,28,411,256,0,25.0,2.03,0.06,4.9,62.3
山口いよな,フォレストリーヴズ熊本,6,86,54,208,59,10,28.4,23.6,2,1,0,6,166,6,13,45,395,168,0,50.0,1.09,0.11,8.4,42.5
山口弥緒,GSS東京サンビームズ,10,94,50,234,48,17,20.5,13.2,0,0,0,2,116,4,7,55,169,87,0,,0.96,0.04,13.8,51.5
山岸あかね,埼玉上尾メディックス,22,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
山田江美香,JAぎふリオレーナ,1,94,67,610,158,40,25.9,19.3,32,4,6,9,274,20,28,111,323,173,0,12.5,2.36,0.13,14.9,53.6
岡崎櫻,GSS東京サンビームズ,19,94,44,0,0,0,,,0,0,0,0,60,3,9,19,42,21,0,,0.0,0.0,9.2,50.0
岡村貴衣,柏エンゼルクロス,3,106,10,44,11,6,25.0,11.4,2,1,0,1,6,0,1,2,1,0,0,50.0,1.1,0.1,4.2,0.0
岩永麻里江,PFUブルーキャッツ,4,104,64,0,0,0,,,0,0,0,0,0,0,0,0,350,224,0,,0.0,0.0,,64.0
川上真央,PFUブルーキャッツ,15,93,57,792,314,45,39.6,34.0,267,93,19,20,200,8,6,71,7,4,0,34.8,5.51,0.35,12.1,57.1
川口美久,フォレストリーヴズ熊本,5,86,61,507,169,36,33.3,26.2,1,0,0,12,228,9,16,73,406,195,0,0.0,2.77,0.2,10.2,48.0
川村奈々,JAぎふリオレーナ,4,94,21,127,38,8,29.9,23.6,14,1,4,7,26,2,2,4,1,1,0,7.1,1.81,0.33,9.6,100.0
川村小捺,日立リヴァーレ,15,3,1,3,2,0,66.7,66.7,0,0,0,0,0,0,0,0,0,0,0,,2.0,0.0,,
平川実愛,大野石油広島オイラーズ,2,117,63,525,183,35,34.9,28.2,18,5,2,10,223,7,11,91,326,169,0,27.8,2.9,0.16,12.1,51.8
庄司夕起,埼玉上尾メディックス,4,93,55,288,118,3,41.0,39.9,1,0,0,40,211,5,17,84,4,1,0,0.0,2.15,0.73,10.3,25.0
廣瀬彩乃,JAぎふリオレーナ,12,94,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
引地舞,日立リヴァーレ,6,46,3,6,4,0,66.7,66.7,0,0,0,2,5,0,1,2,0,0,0,,1.33,0.67,5.0,
徐潔,KUROBEアクアフェアリーズ,2,83,67,287,123,16,42.9,37.3,1,0,0,36,186,3,13,58,23,10,0,0.0,1.84,0.54,7.7,43.5
押川真保,大野石油広島オイラーズ,7,117,20,17,5,0,29.4,29.4,0,0,0,1,16,1,2,4,0,0,0,,0.25,0.05,9.4,
斎田杏,日立リヴァーレ,17,56,13,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
斎藤和美,JAぎふリオレーナ,5,26,12,1,1,0,100.0,100.0,0,0,0,0,22,0,0,4,0,0,0,,0.08,0.0,4.5,
有田沙織,埼玉上尾メディックス,6,29,6,22,8,1,36.4,31.8,0,0,0,0,10,1,0,0,14,7,0,,1.33,0.0,10.0,50.0
木村沙織,仙台ベルフィーユ,7,83,50,0,0,0,,,0,0,0,0,74,2,8,29,19,6,0,,0.0,0.0,9.8,31.6
札場多恵,PFUブルーキャッツ,5,104,22,22,8,0,36.4,36.4,2,0,0,0,26,1,1,8,0,0,0,0.0,0.36,0.0,10.6,
村上菜央,KUROBEアクアフェアリーズ,11,83,70,396,142,17,35.9,31.6,1,0,0,47,200,6,12,61,8,1,0,0.0,2.03,0.67,9.1,12.5
村尾葉津樹,大野石油広島オイラーズ,6,117,63,28,14,1,50.0,46.4,0,0,0,4,246,5,6,87,4,1,0,,0.22,0.06,10.3,25.0
村松比呂子,PFUブルーキャッツ,16,88,6,8,6,0,75.0,75.0,0,0,0,1,5,0,1,0,1,0,0,,1.0,0.17,-5.0,0.0
東谷幸子,埼玉上尾メディックス,17,93,35,52,16,0,30.8,30.8,0,0,0,2,100,6,6,42,70,34,0,,0.46,0.06,15.0,48.6
松下琴美,日立リヴァーレ,16,64,58,150,68,6,45.3,41.3,1,0,0,40,165,6,18,51,19,11,0,0.0,1.17,0.69,8.6,57.9
松本晴香,大野石油広島オイラーズ,9,22,13,22,5,2,22.7,13.6,0,0,0,2,10,1,1,4,2,0,0,,0.38,0.15,17.5,0.0
松浦未波,KUROBEアクアフェアリーズ,8,83,52,2,1,0,50.0,50.0,1,0,0,1,118,6,12,47,28,14,0,0.0,0.02,0.02,12.5,50.0
松田直子,KUROBEアクアフェアリーズ,6,83,70,0,0,0,,,0,0,0,0,0,0,0,0,301,177,0,,0.0,0.0,,58.8
板谷美優,大野石油広島オイラーズ,11,117,53,0,0,0,,,0,0,0,0,0,0,0,0,76,46,0,,0.0,0.0,,60.5
栗田琴恵,PFUブルーキャッツ,3,104,9,2,1,0,50.0,50.0,0,0,0,0,10,1,0,4,0,0,0,,0.11,0.0,20.0,
森岡裕子,JAぎふリオレーナ,9,94,67,0,0,0,,,0,0,0,0,0,0,0,0,239,143,0,,0.0,0.0,,59.8
槇本京子,大野石油広島オイラーズ,12,117,15,0,0,0,,,0,0,0,0,19,1,5,4,0,0,0,,0.0,0.0,3.9,
樋口美紀,JAぎふリオレーナ,8,94,67,317,136,4,42.9,41.6,0,0,0,24,173,5,5,69,7,2,0,,2.03,0.36,12.1,28.6
橋田紗綾,フォレストリーヴズ熊本,7,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
櫻井樹里,仙台ベルフィーユ,4,83,36,232,59,11,25.4,20.7,4,0,0,6,98,4,6,29,196,116,0,0.0,1.64,0.17,9.9,59.2
正村さやか,JAぎふリオレーナ,15,94,19,0,0,0,,,0,0,0,0,29,0,2,16,0,0,0,,0.0,0.0,12.1,
