大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,堺ブレイザーズ,28,89,81,31,8,38.3,4,0,0,0.0,0.35,2,0.02,151,3,5,34,31,4.8,126,51,33,53.6,31,2,8,41
レギュラーラウンド,堺ブレイザーズ,27,86,81,31,8,38.3,4,0,0,0.0,0.36,2,0.02,147,2,5,33,31,4.4,122,48,33,52.9,31,2,7,40
GAME1（5位決定戦）,堺ブレイザーズ,1,3,0,0,0,-,0,0,0,-,-,0,-,4,1,0,1,0,18.8,4,3,0,75.0,0,0,1,1
V.LEAGUE DIVISION1 MEN 2018-19,堺ブレイザーズ,24,45,99,42,7,42.4,5,1,2,20.0,0.93,3,0.07,44,1,1,17,9,0.0,160,61,46,52.5,42,3,2,47
レギュラーラウンド,堺ブレイザーズ,24,45,99,42,7,42.4,5,1,2,20.0,0.93,3,0.07,44,1,1,17,9,0.0,160,61,46,52.5,42,3,2,47
Ｖ・プレミアリーグ男子 2017/18,堺ブレイザーズ,4,2,0,0,0,-,0,0,0,-,-,0,-,2,0,0,2,0,-25.0,0,0,0,-,0,0,0,0
レギュラーラウンド,堺ブレイザーズ,4,2,0,0,0,-,0,0,0,-,-,0,-,2,0,0,2,0,-25.0,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,55,133,180,73,15,40.6,9,1,2,11.1,0.55,5,0.04,193,3,6,52,40,3.1,282,109,79,52.7,73,5,9,87
通算,,56,136,180,73,15,40.6,9,1,2,11.1,0.54,5,0.04,197,4,6,53,40,3.4,286,112,79,53.0,73,5,10,88
