大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,堺ブレイザーズ,25,73,417,212,19,50.8,126,81,9,64.3,2.90,16,0.22,230,3,5,43,43,3.5,307,99,87,46.4,212,16,8,236
レギュラーラウンド,堺ブレイザーズ,24,70,400,206,18,51.5,122,80,9,65.6,2.94,15,0.21,219,3,5,39,41,3.9,294,98,81,47.1,206,15,8,229
GAME1（5位決定戦）,堺ブレイザーズ,1,3,17,6,1,35.3,4,1,0,25.0,2.00,1,0.33,11,0,0,4,2,-4.5,13,1,6,30.8,6,1,0,7
V.LEAGUE DIVISION1 MEN 2018-19,堺ブレイザーズ,18,34,193,86,10,44.6,37,22,3,59.5,2.53,8,0.24,102,2,1,22,21,2.7,152,35,47,38.5,86,8,3,97
レギュラーラウンド,堺ブレイザーズ,14,33,193,86,10,44.6,37,22,3,59.5,2.61,8,0.24,102,2,1,22,21,2.7,152,35,47,38.5,86,8,3,97
ファイナル６,堺ブレイザーズ,4,1,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,堺ブレイザーズ,20,70,390,174,13,44.6,67,37,2,55.2,2.49,19,0.27,238,6,11,28,65,11.0,278,85,92,47.1,174,19,17,210
レギュラーラウンド,堺ブレイザーズ,20,70,390,174,13,44.6,67,37,2,55.2,2.49,19,0.27,238,6,11,28,65,11.0,278,85,92,47.1,174,19,17,210
Ｖ・プレミアリーグ男子 2016/17,堺ブレイザーズ,21,69,405,167,31,41.2,57,24,8,42.1,2.42,12,0.17,221,2,8,33,74,12.2,354,167,0,47.2,167,12,10,189
レギュラーラウンド,堺ブレイザーズ,16,49,288,114,24,39.6,40,17,6,42.5,2.33,6,0.12,154,2,5,22,47,11.5,244,117,0,48.0,114,6,7,127
ファイナル６,堺ブレイザーズ,5,20,117,53,7,45.3,17,7,2,41.2,2.65,6,0.30,67,0,3,11,27,13.7,110,50,0,45.5,53,6,3,62
Ｖ・プレミアリーグ男子 2015/16,堺ブレイザーズ,26,91,576,238,42,41.3,124,57,9,46.0,2.62,16,0.18,298,13,10,42,101,15.5,591,317,0,53.6,238,16,23,277
レギュラーラウンド,堺ブレイザーズ,21,73,451,182,33,40.4,92,37,7,40.2,2.49,14,0.19,237,12,9,36,76,16.1,495,259,0,52.3,182,14,21,217
ファイナル６,堺ブレイザーズ,5,18,125,56,9,44.8,32,20,2,62.5,3.11,2,0.11,61,1,1,6,25,13.2,96,58,0,60.4,56,2,2,60
Ｖ・プレミアリーグ男子 2014/15,堺ブレイザーズ,26,90,502,208,33,41.4,110,56,7,50.9,2.31,21,0.23,316,4,7,52,94,10.5,484,277,0,57.2,208,21,11,240
レギュラーラウンド,堺ブレイザーズ,21,71,364,147,23,40.4,71,34,4,47.9,2.07,18,0.25,240,2,6,43,64,9.5,377,216,0,57.3,147,18,8,173
ファイナル６,堺ブレイザーズ,5,19,138,61,10,44.2,39,22,3,56.4,3.21,3,0.16,76,2,1,9,30,13.6,107,61,0,57.0,61,3,3,67
Ｖ・プレミアリーグ男子 2013/14,堺ブレイザーズ,32,91,567,248,37,43.7,142,67,13,47.2,2.73,25,0.27,316,1,2,32,69,6.3,374,168,0,44.9,248,25,3,276
レギュラーラウンド,堺ブレイザーズ,28,74,455,202,29,44.4,112,55,9,49.1,2.73,19,0.26,237,1,2,22,43,5.6,300,130,0,43.3,202,19,3,224
セミファイナルラウンド,堺ブレイザーズ,3,12,78,35,6,44.9,22,10,2,45.5,2.92,2,0.17,54,0,0,9,14,6.5,50,22,0,44.0,35,2,0,37
ファイナルラウンド,堺ブレイザーズ,1,5,34,11,2,32.4,8,2,2,25.0,2.20,4,0.80,25,0,0,1,12,12.0,24,16,0,66.7,11,4,0,15
日韓V.LEAGUE TOP MATCH 男子2013,,1,5,28,15,1,53.6,3,1,0,33.3,3.00,0,-,20,0,1,0,4,9.0,45,29,0,64.4,15,0,1,16
日韓V.LEAGUE TOP MATCH,,1,5,28,15,1,53.6,3,1,0,33.3,3.00,0,-,20,0,1,0,4,9.0,45,29,0,64.4,15,0,1,16
Ｖ・プレミアリーグ男子 2012/13,堺ブレイザーズ,31,100,577,232,38,40.2,103,53,9,51.5,2.32,23,0.23,358,6,8,46,93,10.0,642,337,0,52.5,232,23,14,269
レギュラーラウンド,堺ブレイザーズ,27,84,496,205,29,41.3,90,48,6,53.3,2.44,16,0.19,307,5,6,43,81,9.8,507,277,0,54.6,205,16,11,232
セミファイナルラウンド,堺ブレイザーズ,3,13,68,23,8,33.8,12,5,3,41.7,1.77,7,0.54,44,1,2,2,12,12.7,112,51,0,45.5,23,7,3,33
ファイナルラウンド,堺ブレイザーズ,1,3,13,4,1,30.8,1,0,0,0.0,1.33,0,-,7,0,0,1,0,0.0,23,9,0,39.1,4,0,0,4
Ｖ・プレミアリーグ男子 2011/12,堺ブレイザーズ,22,53,59,15,4,25.4,8,2,1,25.0,0.28,4,0.08,24,2,0,6,8,16.7,33,16,0,48.5,15,4,2,21
レギュラーラウンド,堺ブレイザーズ,19,45,58,15,4,25.9,8,2,1,25.0,0.33,4,0.09,24,2,0,6,8,16.7,33,16,0,48.5,15,4,2,21
セミファイナルラウンド,堺ブレイザーズ,3,8,1,0,0,0.0,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,190,569,3095,1331,183,43.0,639,332,47,52.0,2.34,119,0.21,1758,35,45,261,446,7.2,2680,1233,220,50.1,1331,119,80,1530
通算,,222,676,3714,1595,228,42.9,777,400,61,51.5,2.36,144,0.21,2123,39,53,304,572,7.5,3260,1530,226,50.4,1595,144,92,1831
