名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カーリーウォーパット,2017-02,東レアローズ,1,6,15,86,37,8,43.0,33.7,0,0,0,15,32,1,4,11,0,0,0,53,,2.47,1.0,8.6,
カーリーウォーパット,2017-03,東レアローズ,1,6,8,43,21,1,48.8,46.5,0,0,0,3,15,0,0,9,0,0,0,24,,2.62,0.38,15.0,
シッティラックオヌマー,2017-02,JTマーヴェラス,6,8,7,27,12,2,44.4,37.0,1,0,1,0,5,0,0,2,1,0,0,12,0.0,1.71,0.0,10.0,0.0
シッティラックオヌマー,2017-03,JTマーヴェラス,6,3,2,14,6,0,42.9,42.9,0,0,0,1,0,0,0,0,0,0,0,7,,3.0,0.5,,
ジャクソンカースティ,2017-02,日立リヴァーレ,14,8,17,109,50,4,45.9,42.2,0,0,0,5,55,3,7,17,7,3,0,58,,2.94,0.29,10.0,42.9
ジャクソンカースティ,2017-03,日立リヴァーレ,14,3,5,34,15,1,44.1,41.2,0,0,0,3,12,0,1,7,0,0,0,18,,3.0,0.6,12.5,
トカルスカマヤ,2017-02,久光製薬スプリングス,9,8,19,62,38,3,61.3,56.5,0,0,0,14,70,1,9,17,7,5,0,53,,2.0,0.74,4.3,71.4
トカルスカマヤ,2017-03,久光製薬スプリングス,9,3,3,12,6,0,50.0,50.0,0,0,0,3,10,0,0,5,0,0,0,9,,2.0,1.0,12.5,
ニコロバエミリヤ,2017-02,NECレッドロケッツ,3,6,9,84,34,4,40.5,35.7,20,10,0,3,29,1,1,11,1,0,0,38,50.0,3.78,0.33,12.1,0.0
ニコロバエミリヤ,2017-03,NECレッドロケッツ,3,6,7,97,44,0,45.4,45.4,32,14,0,2,24,1,4,13,5,2,0,47,43.8,6.29,0.29,13.5,40.0
ポリーナラヒモワ,2017-02,トヨタ車体クインシーズ,17,8,15,272,124,30,45.6,34.6,105,45,13,8,65,6,11,37,1,0,0,138,42.9,8.27,0.53,19.2,0.0
ポリーナラヒモワ,2017-03,トヨタ車体クインシーズ,17,3,4,65,18,11,27.7,10.8,21,7,4,1,14,5,1,7,3,1,0,24,33.3,4.5,0.25,46.4,33.3
上野香織,2017-02,NECレッドロケッツ,11,6,9,24,12,2,50.0,41.7,0,0,0,2,24,5,2,10,1,1,0,19,,1.33,0.22,29.2,100.0
上野香織,2017-03,NECレッドロケッツ,11,6,4,14,3,1,21.4,14.3,1,0,0,3,7,0,3,0,3,0,0,6,0.0,0.75,0.75,-10.7,0.0
下平夏奈,2017-02,日立リヴァーレ,4,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
下平夏奈,2017-03,日立リヴァーレ,4,3,1,0,0,0,,,0,0,0,0,2,0,0,2,0,0,0,0,,0.0,0.0,25.0,
中大路絢野,2017-02,久光製薬スプリングス,24,8,19,10,4,1,40.0,30.0,0,0,0,1,64,1,4,14,2,1,0,6,,0.21,0.05,5.5,50.0
中大路絢野,2017-03,久光製薬スプリングス,24,3,3,1,1,0,100.0,100.0,0,0,0,1,5,0,1,3,0,0,0,2,,0.33,0.33,10.0,
中屋夏澄,2017-02,トヨタ車体クインシーズ,16,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島未来,2017-02,東レアローズ,18,6,4,0,0,0,,,0,0,0,0,4,0,1,1,0,0,0,0,,0.0,0.0,0.0,
中島未来,2017-03,東レアローズ,18,6,8,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中川有美,2017-02,東レアローズ,15,6,15,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
中村亜友美,2017-02,JTマーヴェラス,4,8,16,135,36,2,26.7,25.2,12,4,1,7,61,0,5,18,75,46,0,43,33.3,2.25,0.44,5.3,61.3
中村亜友美,2017-03,JTマーヴェラス,4,3,5,52,16,2,30.8,26.9,2,0,0,2,14,2,1,12,25,11,0,20,0.0,3.2,0.4,33.9,44.0
中田紫乃,2017-02,東レアローズ,16,6,7,0,0,0,,,0,0,0,0,11,2,0,3,0,0,0,2,,0.0,0.0,25.0,
中田紫乃,2017-03,東レアローズ,16,6,4,0,0,0,,,0,0,0,0,7,0,1,1,0,0,0,0,,0.0,0.0,0.0,
井上奈々朱,2017-02,日立リヴァーレ,3,8,16,43,17,4,39.5,30.2,0,0,0,2,49,4,6,22,0,0,0,23,,1.06,0.12,16.3,
井上奈々朱,2017-03,日立リヴァーレ,3,3,4,26,11,0,42.3,42.3,0,0,0,0,17,1,4,6,0,0,0,12,,2.75,0.0,8.8,
井上琴絵,2017-02,JTマーヴェラス,10,8,14,0,0,0,,,0,0,0,0,20,2,1,5,0,0,0,2,,0.0,0.0,15.0,
井上琴絵,2017-03,JTマーヴェラス,10,3,3,0,0,0,,,0,0,0,0,5,0,0,2,0,0,0,0,,0.0,0.0,10.0,
今村優香,2017-02,久光製薬スプリングス,12,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今村優香,2017-03,久光製薬スプリングス,12,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤望,2017-02,東レアローズ,10,6,2,2,1,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,1,,0.5,0.0,,
伊藤望,2017-03,東レアローズ,10,6,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
位田愛,2017-02,JTマーヴェラス,5,8,1,13,3,1,23.1,15.4,0,0,0,0,3,0,0,1,9,4,0,3,,3.0,0.0,8.3,44.4
位田愛,2017-03,JTマーヴェラス,5,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤あり紗,2017-02,日立リヴァーレ,5,8,17,0,0,0,,,0,0,0,0,0,0,0,0,90,70,0,0,,0.0,0.0,,77.8
佐藤あり紗,2017-03,日立リヴァーレ,5,3,5,0,0,0,,,0,0,0,0,0,0,0,0,22,10,0,0,,0.0,0.0,,45.5
佐藤美弥,2017-02,日立リヴァーレ,8,8,17,8,4,0,50.0,50.0,1,0,0,3,53,1,7,12,1,0,0,8,0.0,0.24,0.18,4.2,0.0
佐藤美弥,2017-03,日立リヴァーレ,8,3,5,1,0,0,0.0,0.0,0,0,0,0,19,1,2,7,0,0,0,1,,0.0,0.0,11.8,
内瀬戸真実,2017-02,日立リヴァーレ,10,8,17,134,36,9,26.9,20.1,3,0,0,3,60,0,3,26,107,77,0,39,0.0,2.12,0.18,9.6,72.0
内瀬戸真実,2017-03,日立リヴァーレ,10,3,5,47,14,1,29.8,27.7,0,0,0,2,13,0,1,7,35,20,0,16,,2.8,0.4,11.5,57.1
加藤光,2017-02,久光製薬スプリングス,25,4,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
古藤千鶴,2017-02,久光製薬スプリングス,2,8,3,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
古藤千鶴,2017-03,久光製薬スプリングス,2,3,2,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,0,,0.0,0.0,6.2,
古賀紗理那,2017-02,NECレッドロケッツ,2,6,10,123,40,9,32.5,25.2,23,7,3,8,27,2,4,8,91,67,0,50,30.4,4.0,0.8,11.1,73.6
古賀紗理那,2017-03,NECレッドロケッツ,2,6,7,59,24,2,40.7,37.3,6,0,0,0,22,1,1,1,72,46,0,25,0.0,3.43,0.0,4.5,63.9
堀川真理,2017-02,東レアローズ,7,6,15,170,57,11,33.5,27.1,24,10,1,2,55,3,5,7,1,1,0,62,41.7,3.8,0.13,6.4,100.0
堀川真理,2017-03,東レアローズ,7,6,8,74,25,6,33.8,25.7,23,8,2,1,33,3,4,6,1,0,0,29,34.8,3.12,0.12,10.6,0.0
大野果奈,2017-02,NECレッドロケッツ,5,6,10,60,28,3,46.7,41.7,0,0,0,0,37,2,3,13,2,2,0,30,,2.8,0.0,12.2,100.0
大野果奈,2017-03,NECレッドロケッツ,5,6,7,35,18,2,51.4,45.7,0,0,0,3,26,1,5,4,8,8,0,22,,2.57,0.43,2.9,100.0
大野果歩,2017-02,東レアローズ,8,6,15,31,15,1,48.4,45.2,0,0,0,3,56,1,5,15,3,3,0,19,,1.0,0.2,6.2,100.0
大野果歩,2017-03,東レアローズ,8,6,8,22,11,1,50.0,45.5,0,0,0,3,47,2,5,16,2,2,0,16,,1.38,0.38,10.1,100.0
奥村麻依,2017-02,JTマーヴェラス,3,8,16,110,41,3,37.3,34.5,0,0,0,15,48,1,1,9,13,10,0,57,,2.56,0.94,6.2,76.9
奥村麻依,2017-03,JTマーヴェラス,3,3,5,20,8,0,40.0,40.0,0,0,0,3,17,0,0,4,0,0,0,11,,1.6,0.6,5.9,
安井由香子,2017-02,トヨタ車体クインシーズ,19,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
安井由香子,2017-03,トヨタ車体クインシーズ,19,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
安藤典莉子,2017-02,JTマーヴェラス,12,4,1,3,1,0,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
家高七央子,2017-02,NECレッドロケッツ,13,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
家高七央子,2017-03,NECレッドロケッツ,13,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
寺井有美,2017-02,JTマーヴェラス,8,8,16,48,25,2,52.1,47.9,0,0,0,4,48,0,1,11,1,0,0,29,,1.56,0.25,5.2,0.0
寺井有美,2017-03,JTマーヴェラス,8,3,5,15,5,3,33.3,13.3,0,0,0,3,13,0,0,4,0,0,0,8,,1.0,0.6,7.7,
小山綾菜,2017-02,NECレッドロケッツ,12,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小山綾菜,2017-03,NECレッドロケッツ,12,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小幡真子,2017-02,JTマーヴェラス,15,8,16,0,0,0,,,0,0,0,0,0,0,0,0,98,70,0,0,,0.0,0.0,,71.4
小幡真子,2017-03,JTマーヴェラス,15,3,5,0,0,0,,,0,0,0,0,0,0,0,0,19,11,0,0,,0.0,0.0,,57.9
小池杏菜,2017-02,日立リヴァーレ,18,8,7,0,0,0,,,0,0,0,0,0,0,0,0,8,6,0,0,,0.0,0.0,,75.0
小池杏菜,2017-03,日立リヴァーレ,18,3,2,0,0,0,,,0,0,0,0,0,0,0,0,4,3,0,0,,0.0,0.0,,75.0
小田桃香,2017-02,トヨタ車体クインシーズ,10,8,15,84,28,2,33.3,31.0,0,0,0,1,52,1,2,11,129,76,0,30,,1.87,0.07,6.2,58.9
小田桃香,2017-03,トヨタ車体クインシーズ,10,3,4,27,9,1,33.3,29.6,0,0,0,1,13,1,0,7,17,7,0,11,,2.25,0.25,21.2,41.2
山内美咲,2017-02,NECレッドロケッツ,19,6,8,1,0,0,0.0,0.0,1,0,0,0,13,0,3,6,0,0,0,0,0.0,0.0,0.0,5.8,
山内美咲,2017-03,NECレッドロケッツ,19,6,7,0,0,0,,,0,0,0,0,10,1,2,5,0,0,0,1,,0.0,0.0,17.5,
山口かなめ,2017-02,NECレッドロケッツ,4,6,10,4,1,0,25.0,25.0,0,0,0,1,42,3,4,20,0,0,0,5,,0.1,0.1,16.7,
山口かなめ,2017-03,NECレッドロケッツ,4,6,7,2,1,0,50.0,50.0,0,0,0,0,37,4,0,14,0,0,0,5,,0.14,0.0,20.3,
山田真里,2017-02,トヨタ車体クインシーズ,12,8,3,1,0,0,0.0,0.0,1,0,0,0,5,0,1,1,11,6,0,0,0.0,0.0,0.0,0.0,54.5
山田真里,2017-03,トヨタ車体クインシーズ,12,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
岩坂名奈,2017-02,久光製薬スプリングス,4,8,19,55,16,2,29.1,25.5,0,0,0,11,68,2,2,20,7,7,0,29,,0.84,0.58,9.6,100.0
岩坂名奈,2017-03,久光製薬スプリングス,4,3,3,15,6,0,40.0,40.0,0,0,0,0,8,0,0,2,2,1,0,6,,2.0,0.0,6.2,50.0
岩崎紗也加,2017-02,NECレッドロケッツ,10,6,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
岩崎紗也加,2017-03,NECレッドロケッツ,10,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
峯村沙紀,2017-03,東レアローズ,4,6,3,0,0,0,,,0,0,0,0,0,0,0,0,4,1,0,0,,0.0,0.0,,25.0
島村春世,2017-02,NECレッドロケッツ,7,6,7,32,9,0,28.1,28.1,0,0,0,5,19,0,1,7,1,0,0,14,,1.29,0.71,7.9,0.0
島村春世,2017-03,NECレッドロケッツ,7,6,5,22,10,0,45.5,45.5,0,0,0,1,18,1,1,6,1,1,0,12,,2.0,0.2,12.5,100.0
平松美有紀,2017-02,トヨタ車体クインシーズ,5,8,15,44,19,2,43.2,38.6,0,0,0,5,33,1,2,3,1,0,0,25,,1.27,0.33,3.8,0.0
平松美有紀,2017-03,トヨタ車体クインシーズ,5,3,4,6,4,0,66.7,66.7,0,0,0,1,4,0,1,0,3,3,0,5,,1.0,0.25,-6.2,100.0
廣瀬七海,2017-02,NECレッドロケッツ,18,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
戸江真奈,2017-02,久光製薬スプリングス,18,8,19,0,0,0,,,0,0,0,0,0,0,0,0,3,0,0,0,,0.0,0.0,,0.0
戸江真奈,2017-03,久光製薬スプリングス,18,3,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
斎田杏,2017-02,日立リヴァーレ,17,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
新鍋理沙,2017-02,久光製薬スプリングス,3,8,19,178,67,6,37.6,34.3,3,1,0,1,63,1,3,18,83,66,0,69,33.3,3.53,0.05,7.5,79.5
新鍋理沙,2017-03,久光製薬スプリングス,3,3,3,26,8,1,30.8,26.9,0,0,0,0,10,0,1,4,9,4,0,8,,2.67,0.0,7.5,44.4
