名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カーリーウォーパット,東レアローズ,1,12,23,129,58,9,45.0,38.0,0,0,0,18,47,1,4,20,0,0,0,77,,2.52,0.78,10.6,
シッティラックオヌマー,JTマーヴェラス,6,11,9,41,18,2,43.9,39.0,1,0,1,1,5,0,0,2,1,0,0,19,0.0,2.0,0.11,10.0,0.0
ジャクソンカースティ,日立リヴァーレ,14,11,22,143,65,5,45.5,42.0,0,0,0,8,67,3,8,24,7,3,0,76,,2.95,0.36,10.4,42.9
トカルスカマヤ,久光製薬スプリングス,9,11,22,74,44,3,59.5,55.4,0,0,0,17,80,1,9,22,7,5,0,62,,2.0,0.77,5.3,71.4
ニコロバエミリヤ,NECレッドロケッツ,3,12,16,181,78,4,43.1,40.9,52,24,0,5,53,2,5,24,6,2,0,85,46.2,4.88,0.31,12.7,33.3
ポリーナラヒモワ,トヨタ車体クインシーズ,17,11,19,337,142,41,42.1,30.0,126,52,17,9,79,11,12,44,4,1,0,162,41.3,7.47,0.47,24.1,25.0
上野香織,NECレッドロケッツ,11,12,13,38,15,3,39.5,31.6,1,0,0,5,31,5,5,10,4,1,0,25,0.0,1.15,0.38,20.2,25.0
下平夏奈,日立リヴァーレ,4,11,1,0,0,0,,,0,0,0,0,2,0,0,2,0,0,0,0,,0.0,0.0,25.0,
中大路絢野,久光製薬スプリングス,24,11,22,11,5,1,45.5,36.4,0,0,0,2,69,1,5,17,2,1,0,8,,0.23,0.09,5.8,50.0
中屋夏澄,トヨタ車体クインシーズ,16,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島未来,東レアローズ,18,12,12,0,0,0,,,0,0,0,0,4,0,1,1,0,0,0,0,,0.0,0.0,0.0,
中川有美,東レアローズ,15,6,15,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
中村亜友美,JTマーヴェラス,4,11,21,187,52,4,27.8,25.7,14,4,1,9,75,2,6,30,100,57,0,63,28.6,2.48,0.43,10.7,57.0
中田紫乃,東レアローズ,16,12,11,0,0,0,,,0,0,0,0,18,2,1,4,0,0,0,2,,0.0,0.0,15.3,
井上奈々朱,日立リヴァーレ,3,11,20,69,28,4,40.6,34.8,0,0,0,2,66,5,10,28,0,0,0,35,,1.4,0.1,14.4,
井上琴絵,JTマーヴェラス,10,11,17,0,0,0,,,0,0,0,0,25,2,1,7,0,0,0,2,,0.0,0.0,14.0,
今村優香,久光製薬スプリングス,12,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
