試合日,年月,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2017-11-04,2017-11,11,大同特殊鋼レッドスター,20,,木村拓哉,2,■,■,,,,19,7,2,0.3684210526315789,0.2631578947368421,3.50,4,2,2,50.0,0,-,11,2,2,4,22.7,16,9,3,65.6
2017-11-04,2017-11,11,警視庁フォートファイターズ,1,,小川貴大,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,警視庁フォートファイターズ,4,,加藤啓,3,■,■,■,,,16,7,1,0.4375,0.375,2.33,0,0,0,-,4,1.33,8,0,1,2,3.1,1,1,0,100.0
2017-11-04,2017-11,11,警視庁フォートファイターズ,5,,大野隆一,3,■,■,■,,,10,6,1,0.6,0.5,2.00,0,0,0,-,4,1.33,5,0,2,0,-10.0,0,0,0,-
2017-11-04,2017-11,11,警視庁フォートファイターズ,6,,松本幸博,2,,□,■,,,13,6,0,0.4615384615384616,0.4615384615384616,3.00,0,0,0,-,3,1.50,4,0,0,3,18.8,11,4,2,45.5
2017-11-04,2017-11,11,警視庁フォートファイターズ,8,L,石川俊輔,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,5,3,54.2
2017-11-04,2017-11,11,警視庁フォートファイターズ,9,,進藤佑一,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,警視庁フォートファイターズ,11,,冨吉駿平,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,警視庁フォートファイターズ,12,,小川功太,3,■,■,■,,,25,9,1,0.36,0.32,3.00,6,2,1,33.3,1,0.33,13,0,2,3,1.9,21,12,5,69.0
2017-11-04,2017-11,11,警視庁フォートファイターズ,13,,中村航太朗,2,■,■,,,,10,5,0,0.5,0.5,2.50,2,0,0,0.0,1,0.50,6,0,1,0,-4.2,14,8,4,71.4
2017-11-04,2017-11,11,警視庁フォートファイターズ,14,,中道元貴,3,■,■,■,,,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,23,4,2,8,23.9,0,0,0,-
2017-11-04,2017-11,11,警視庁フォートファイターズ,15,,河西敦司,3,■,■,■,,,21,9,2,0.42857142857142855,0.3333333333333333,3.00,5,2,1,40.0,1,0.33,13,0,3,3,0.0,0,0,0,-
2017-11-04,2017-11,11,警視庁フォートファイターズ,17,,佐藤秀俊,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2017-11-04,2017-11,11,警視庁フォートファイターズ,19,L,神谷昴紀,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,警視庁フォートファイターズ,22,,阿部翼,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,VC長野トライデンツ,1,,市川智之,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,VC長野トライデンツ,4,,小林哲也,4,■,■,■,■,,36,19,1,0.5277777777777778,0.5,4.75,14,8,1,57.1,3,0.75,17,2,2,5,16.2,0,0,0,-
2017-11-04,2017-11,11,VC長野トライデンツ,5,L,峰尾拓,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,VC長野トライデンツ,6,,峯村幸太,4,■,■,■,■,,20,6,0,0.3,0.3,1.50,1,0,0,0.0,1,0.25,20,2,1,5,15.0,31,11,5,43.5
2017-11-04,2017-11,11,VC長野トライデンツ,7,,栗木勇,4,■,■,■,■,,23,12,1,0.5217391304347826,0.4782608695652174,3.00,1,0,1,0.0,2,0.50,20,2,2,9,18.8,14,5,5,53.6
2017-11-04,2017-11,11,VC長野トライデンツ,8,,田中挙章,4,■,■,■,■,,13,5,1,0.38461538461538464,0.3076923076923077,1.25,0,0,0,-,5,1.25,12,1,0,0,8.3,1,1,0,100.0
2017-11-04,2017-11,11,VC長野トライデンツ,11,,片桐成基,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,VC長野トライデンツ,12,L,山本憲吾,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,9,8,59.1
2017-11-04,2017-11,11,VC長野トライデンツ,13,,椿芽久,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-04,2017-11,11,VC長野トライデンツ,15,,小河原拓磨,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0,0,-
2017-11-04,2017-11,11,VC長野トライデンツ,16,,森崎健史,4,■,■,■,■,,18,9,0,0.5,0.5,2.25,0,0,0,-,2,0.50,11,0,3,2,-2.3,2,2,0,100.0
2017-11-04,2017-11,11,VC長野トライデンツ,17,,松村文斗,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2017-11-04,2017-11,11,VC長野トライデンツ,24,,長田翼,4,■,■,■,■,,0,0,0,,,-,0,0,0,-,1,0.25,11,2,1,1,18.2,0,0,0,-
2017-11-04,2017-11,11,VC長野トライデンツ,26,,池田浩基,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
