名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ヤカングマ,2017-11,大分三好ヴァイセアドラー,14,19,224,104,7,46.4,43.3,102,43,4,6,81,3,7,23,0,0,0,42.2,5.47,0.32,8.6,
ヤカングマ,2017-12,大分三好ヴァイセアドラー,14,13,147,88,7,59.9,55.1,64,36,4,3,69,7,7,26,0,0,0,56.2,6.77,0.23,17.0,
ヤカングマ,2018-01,大分三好ヴァイセアドラー,14,28,341,162,25,47.5,40.2,156,72,8,7,122,7,10,29,2,1,1,46.2,5.79,0.25,9.6,75.0
ヤカングマ,2018-02,大分三好ヴァイセアドラー,14,18,147,88,10,59.9,53.1,57,31,7,4,79,3,8,21,0,0,0,54.4,4.89,0.22,7.9,
上前仁,2017-11,大分三好ヴァイセアドラー,6,3,0,0,0,,,0,0,0,0,0,0,0,0,16,8,3,,0.0,0.0,,59.4
上前仁,2017-12,大分三好ヴァイセアドラー,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上前仁,2018-01,大分三好ヴァイセアドラー,6,9,0,0,0,,,0,0,0,0,6,0,0,3,0,0,0,,0.0,0.0,12.5,
上坂将輝,2017-12,トヨタ自動車サンホークス,18,4,0,0,0,,,0,0,0,0,3,0,0,2,0,0,0,,0.0,0.0,16.7,
上坂将輝,2018-02,トヨタ自動車サンホークス,18,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,,0.0,0.0,0.0,
中川剛,2017-11,富士通カワサキレッドスピリッツ,1,9,69,41,8,59.4,47.8,26,15,4,2,48,3,10,13,0,0,0,57.7,4.56,0.22,7.8,
中川剛,2017-12,富士通カワサキレッドスピリッツ,1,11,80,39,7,48.8,40.0,32,15,4,4,55,2,11,16,0,0,0,46.9,3.55,0.36,5.9,
中川剛,2018-01,富士通カワサキレッドスピリッツ,1,23,171,80,14,46.8,38.6,67,28,6,6,104,8,18,11,0,0,0,41.8,3.48,0.26,6.0,
