大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 MEN,ヴィアティン三重,20,70,48,18,6,37.5,1,0,1,0.0,0.26,0,-,110,5,4,31,19,5.5,26,11,9,59.6,18,0,9,27
レギュラーラウンド,ヴィアティン三重,20,70,48,18,6,37.5,1,0,1,0.0,0.26,0,-,110,5,4,31,19,5.5,26,11,9,59.6,18,0,9,27
V.LEAGUE DIVISION3 MEN 2018-19,ヴィアティン三重,13,27,125,59,11,47.2,7,3,1,42.9,2.19,7,0.26,76,1,2,11,10,3.6,85,46,18,64.7,59,7,3,69
レギュラーラウンド,ヴィアティン三重,13,27,125,59,11,47.2,7,3,1,42.9,2.19,7,0.26,76,1,2,11,10,3.6,85,46,18,64.7,59,7,3,69
Ｖ・チャレンジリーグⅡ男子 2017/18,ヴィアティン三重,18,68,366,160,35,43.7,21,5,4,23.8,2.35,22,0.32,222,4,8,25,59,9.2,289,127,79,57.6,160,22,12,194
レギュラーラウンド,ヴィアティン三重,18,68,366,160,35,43.7,21,5,4,23.8,2.35,22,0.32,222,4,8,25,59,9.2,289,127,79,57.6,160,22,12,194
レギュラーシーズン通算,,51,165,539,237,52,44.0,29,8,6,27.6,1.44,29,0.18,408,10,14,67,88,7.2,400,184,106,59.2,237,29,24,290
通算,,51,165,539,237,52,44.0,29,8,6,27.6,1.44,29,0.18,408,10,14,67,88,7.2,400,184,106,59.2,237,29,24,290
