名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,サーブレシーブ成功率,チーム
藤中,21,9,1,42.9,38.1,2,57,24,20,26,0,0,59.6,ジェイテクトSTINGS
郡,2,1,0,50.0,50.0,0,2,0,0,1,0,0,0.0,ジェイテクトSTINGS
西田,99,58,12,58.6,46.5,1,0,0,0,17,2,4,,ジェイテクトSTINGS
本間,0,0,0,,,0,44,20,15,0,0,0,62.5,ジェイテクトSTINGS
福山,26,15,1,57.7,53.8,4,1,0,1,23,0,3,50.0,ジェイテクトSTINGS
伏見,11,4,0,36.4,36.4,2,1,0,1,9,0,1,50.0,ジェイテクトSTINGS
久保山,0,0,0,,,2,0,0,0,27,1,1,,ジェイテクトSTINGS
浅野,0,0,0,,,0,8,3,2,0,0,0,50.0,ジェイテクトSTINGS
柳澤,5,2,1,40.0,20.0,1,5,3,1,3,0,0,70.0,ジェイテクトSTINGS
袴谷,16,8,1,50.0,43.8,0,0,0,0,13,0,8,,ジェイテクトSTINGS
金丸,0,0,0,,,0,0,0,0,0,0,0,,ジェイテクトSTINGS
小林,0,0,0,,,0,1,1,0,4,0,1,100.0,ジェイテクトSTINGS
フェリペ,28,13,0,46.4,46.4,0,40,19,10,23,0,6,60.0,ジェイテクトSTINGS
興梠,0,0,0,,,0,0,0,0,0,0,0,,ジェイテクトSTINGS
饒,12,10,0,83.3,83.3,2,2,2,0,14,0,0,100.0,ジェイテクトSTINGS
宮浦,1,1,0,100.0,100.0,0,0,0,0,1,1,0,,ジェイテクトSTINGS
村山,0,0,0,,,0,0,0,0,0,0,0,,ジェイテクトSTINGS
深津,1,0,0,0.0,0.0,1,0,0,0,34,3,2,,パナソニックパンサーズ
白澤,4,4,0,100.0,100.0,2,0,0,0,5,0,0,,パナソニックパンサーズ
清水,56,28,2,50.0,46.4,2,3,1,1,21,3,7,50.0,パナソニックパンサーズ
クビアク,50,27,3,54.0,48.0,6,42,20,11,26,1,8,60.7,パナソニックパンサーズ
伊賀,0,0,0,,,0,15,8,3,0,0,0,63.3,パナソニックパンサーズ
久原,22,14,0,63.6,63.6,3,31,8,10,19,1,0,41.9,パナソニックパンサーズ
山内,13,10,0,76.9,76.9,1,1,0,0,33,0,2,0.0,パナソニックパンサーズ
大竹,27,11,0,40.7,40.7,1,0,0,0,8,2,2,,パナソニックパンサーズ
新,0,0,0,,,0,0,0,0,13,0,6,,パナソニックパンサーズ
今村,6,3,0,50.0,50.0,0,0,0,0,4,0,1,,パナソニックパンサーズ
小宮,7,2,0,28.6,28.6,4,4,0,1,6,0,1,12.5,パナソニックパンサーズ
兒玉,1,1,0,100.0,100.0,0,1,0,1,4,1,0,50.0,パナソニックパンサーズ
永野,0,0,0,,,0,27,11,10,0,0,0,59.3,パナソニックパンサーズ
渡辺,16,10,0,62.5,62.5,1,21,6,7,18,0,3,45.2,パナソニックパンサーズ
仲本,0,0,0,,,0,1,0,0,0,0,0,0.0,パナソニックパンサーズ
専田,0,0,0,,,0,0,0,0,2,0,0,,パナソニックパンサーズ
柳田,42,25,1,59.5,57.1,1,33,9,8,30,1,5,39.4,サントリーサンバーズ
栗山,12,5,2,41.7,25.0,0,3,1,1,8,0,0,50.0,サントリーサンバーズ
塩田,13,10,0,76.9,76.9,3,6,2,3,14,1,2,58.3,サントリーサンバーズ
藤中,27,16,0,59.3,59.3,3,59,28,18,22,1,2,62.7,サントリーサンバーズ
大宅,1,1,0,100.0,100.0,0,2,0,1,26,0,6,25.0,サントリーサンバーズ
鶴田,0,0,0,,,0,49,19,18,0,0,0,57.1,サントリーサンバーズ
小野,12,8,0,66.7,66.7,4,1,0,0,9,1,1,0.0,サントリーサンバーズ
西田,0,0,0,,,0,1,0,0,20,2,1,0.0,サントリーサンバーズ
喜入,0,0,0,,,0,0,0,0,6,0,1,,サントリーサンバーズ
加藤,4,1,1,25.0,0.0,2,0,0,0,10,0,0,,サントリーサンバーズ
秦,2,2,0,100.0,100.0,0,3,0,1,2,0,1,16.7,サントリーサンバーズ
松林,1,1,0,100.0,100.0,0,0,0,0,0,0,0,,サントリーサンバーズ
佐藤,0,0,0,,,0,0,0,0,15,0,4,,サントリーサンバーズ
ムセルスキー,114,61,14,53.5,41.2,4,0,0,0,27,3,5,,サントリーサンバーズ
季,2,0,0,0.0,0.0,0,2,0,0,4,0,3,0.0,サントリーサンバーズ
小川,1,1,0,100.0,100.0,0,0,0,0,0,0,0,,サントリーサンバーズ
深津,3,0,0,0.0,0.0,0,1,0,0,21,0,1,0.0,JTサンダーズ広島
陳,44,20,1,45.5,43.2,2,39,22,11,22,2,2,70.5,JTサンダーズ広島
エドガー,68,37,4,54.4,48.5,2,0,0,0,18,0,5,,JTサンダーズ広島
小野寺,25,17,1,68.0,64.0,4,2,0,0,16,1,2,0.0,JTサンダーズ広島
武智,9,4,2,44.4,22.2,0,19,6,9,13,0,2,55.3,JTサンダーズ広島
西,11,5,2,45.5,27.3,0,1,0,1,5,0,0,50.0,JTサンダーズ広島
唐川,0,0,0,,,0,27,13,3,0,0,0,53.7,JTサンダーズ広島
井上(慎),7,3,0,42.9,42.9,0,0,0,0,6,0,4,,JTサンダーズ広島
にし,0,0,0,,,0,0,0,0,0,0,0,,JTサンダーズ広島
久原,0,0,0,,,0,0,0,0,9,0,0,,JTサンダーズ広島
金子,2,0,0,0.0,0.0,0,1,0,0,6,0,0,0.0,JTサンダーズ広島
熊倉,0,0,0,,,0,0,0,0,0,0,0,,JTサンダーズ広島
中島,5,2,0,40.0,40.0,0,0,0,0,9,0,4,,JTサンダーズ広島
合田,0,0,0,,,0,0,0,0,6,1,1,,JTサンダーズ広島
井上(航),0,0,0,,,0,5,1,1,0,0,0,30.0,JTサンダーズ広島
山本,20,4,0,20.0,20.0,0,28,16,5,17,0,5,66.1,JTサンダーズ広島
八子,6,1,2,16.7,-16.7,0,0,0,0,3,0,2,,JTサンダーズ広島
安永,7,5,0,71.4,71.4,0,0,0,0,1,0,1,,JTサンダーズ広島
ロジャーズ,0,0,0,,,0,0,0,0,2,0,0,,JTサンダーズ広島
新井,7,1,1,14.3,0.0,0,11,3,2,8,1,2,36.4,JTサンダーズ広島
坂下,1,0,1,0.0,-100.0,0,7,3,2,5,0,1,57.1,JTサンダーズ広島
関田,2,0,0,0.0,0.0,0,2,0,0,40,1,4,0.0,堺ブレイザーズ
鵜野,24,12,0,50.0,50.0,0,17,6,6,14,0,2,52.9,堺ブレイザーズ
松本,17,12,0,70.6,70.6,0,2,1,1,19,1,0,75.0,堺ブレイザーズ
高野,53,23,3,43.4,37.7,1,48,18,21,22,1,4,59.4,堺ブレイザーズ
山本,0,0,0,,,0,39,20,9,0,0,0,62.8,堺ブレイザーズ
ジョン,75,42,6,56.0,48.0,3,0,0,0,25,2,6,,堺ブレイザーズ
出耒田,17,13,0,76.5,76.5,2,0,0,0,10,0,4,,堺ブレイザーズ
山﨑,0,0,0,,,0,0,0,0,0,0,0,,堺ブレイザーズ
山崎,5,3,0,60.0,60.0,0,0,0,0,12,1,5,,堺ブレイザーズ
宮原,3,2,0,66.7,66.7,0,0,0,0,2,0,0,,堺ブレイザーズ
竹元,0,0,0,,,1,0,0,0,0,0,0,,堺ブレイザーズ
小池,0,0,0,,,0,4,1,0,11,0,4,25.0,堺ブレイザーズ
千々木,13,7,2,53.8,38.5,2,3,1,0,3,0,2,33.3,堺ブレイザーズ
佐川,0,0,0,,,0,0,0,0,3,0,0,,堺ブレイザーズ
山口,0,0,0,,,0,0,0,0,24,0,0,,堺ブレイザーズ
樋口,43,18,3,41.9,34.9,1,44,20,9,26,1,3,55.7,堺ブレイザーズ
堀江,0,0,0,,,0,5,2,0,1,0,1,40.0,堺ブレイザーズ
梅本,0,0,0,,,0,0,0,0,0,0,0,,堺ブレイザーズ
富田,33,15,4,45.5,33.3,5,53,34,9,29,3,7,72.6,東レアローズ
山口,0,0,0,,,0,50,22,15,0,0,0,59.0,東レアローズ
星野,5,3,0,60.0,60.0,0,15,7,5,5,0,0,63.3,東レアローズ
小澤,23,16,0,69.6,69.6,1,10,3,1,15,2,5,35.0,東レアローズ
富松,12,7,1,58.3,50.0,3,2,2,0,8,0,1,100.0,東レアローズ
李,15,12,0,80.0,80.0,2,4,3,1,12,0,0,87.5,東レアローズ
藤井,0,0,0,,,0,0,0,0,20,0,0,,東レアローズ
酒井,1,1,0,100.0,100.0,1,0,0,0,8,0,0,,東レアローズ
峯村,0,0,0,,,0,2,0,2,14,2,3,50.0,東レアローズ
鈴木,1,1,0,100.0,100.0,1,0,0,0,28,2,5,,東レアローズ
米山,4,0,0,0.0,0.0,0,7,4,2,8,0,1,71.4,東レアローズ
高橋,13,6,2,46.2,30.8,3,1,0,1,4,0,2,50.0,東レアローズ
パダル,91,55,7,60.4,52.7,2,0,0,0,36,2,13,,東レアローズ
落合,0,0,0,,,0,0,0,0,1,0,1,,東レアローズ
梅野,0,0,0,,,0,0,0,0,0,0,0,,東レアローズ
山崎,0,0,0,,,0,1,1,0,0,0,0,100.0,ウルフドッグス名古屋
近,11,4,1,36.4,27.3,2,1,0,1,20,1,1,50.0,ウルフドッグス名古屋
山近,11,8,0,72.7,72.7,1,1,0,1,21,1,4,50.0,ウルフドッグス名古屋
山田,15,7,2,46.7,33.3,1,41,16,9,33,1,6,50.0,ウルフドッグス名古屋
小川,0,0,0,,,0,51,31,11,0,0,0,71.6,ウルフドッグス名古屋
高梨,57,24,3,42.1,36.8,5,57,20,15,15,0,4,48.2,ウルフドッグス名古屋
前田,1,0,0,0.0,0.0,3,1,0,0,20,0,0,0.0,ウルフドッグス名古屋
永露,0,0,0,,,0,0,0,0,13,0,3,,ウルフドッグス名古屋
クレク,123,70,10,56.9,48.8,6,0,0,0,37,6,13,,ウルフドッグス名古屋
川口,0,0,0,,,0,2,1,1,0,0,0,75.0,ウルフドッグス名古屋
白岩,1,1,0,100.0,100.0,0,5,4,1,2,0,0,90.0,ウルフドッグス名古屋
椿山,3,3,0,100.0,100.0,0,0,0,0,3,0,2,,ウルフドッグス名古屋
傳田,2,1,0,50.0,50.0,1,0,0,0,5,0,1,,ウルフドッグス名古屋
ボンウ,0,0,0,,,0,0,0,0,1,0,0,,ウルフドッグス名古屋
神谷,0,0,0,,,0,0,0,0,4,0,1,,ウルフドッグス名古屋
勝岡,0,0,0,,,0,0,0,0,0,0,0,,ウルフドッグス名古屋
栗山,35,23,2,65.7,60.0,9,0,0,0,21,0,0,,FC東京
迫田,47,12,4,25.5,17.0,2,81,31,27,21,1,3,54.9,FC東京
佐藤,45,15,4,33.3,24.4,2,36,18,11,36,2,10,65.3,FC東京
長友,49,25,5,51.0,40.8,0,2,0,0,30,1,4,0.0,FC東京
手原,1,0,0,0.0,0.0,1,1,0,0,38,0,2,0.0,FC東京
武藤,7,3,0,42.9,42.9,1,0,0,0,6,0,1,,FC東京
古賀,0,0,0,,,0,47,24,12,0,0,0,63.8,FC東京
山田,3,1,0,33.3,33.3,0,1,0,0,4,0,1,0.0,FC東京
柳町,0,0,0,,,0,0,0,0,0,0,0,,FC東京
橘,0,0,0,,,0,15,9,3,0,0,0,70.0,FC東京
井上,11,9,0,81.8,81.8,0,1,1,0,8,2,1,100.0,FC東京
平田,8,4,0,50.0,50.0,2,3,1,0,27,0,3,33.3,FC東京
玉宅,1,0,0,0.0,0.0,0,0,0,0,9,0,1,,FC東京
手塚,2,1,0,50.0,50.0,0,1,1,0,4,0,2,100.0,FC東京
