,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
山崎,0,0,0,,,0,1,1,0,0,0,0
近,11,4,1,36.4,27.3,2,1,0,1,20,1,1
山近,11,8,0,72.7,72.7,1,1,0,1,21,1,4
山田,15,7,2,46.7,33.3,1,41,16,9,33,1,6
小川,0,0,0,,,0,51,31,11,0,0,0
高梨,57,24,3,42.1,36.8,5,57,20,15,15,0,4
前田,1,0,0,0.0,0.0,3,1,0,0,20,0,0
永露,0,0,0,,,0,0,0,0,13,0,3
クレク,123,70,10,56.9,48.8,6,0,0,0,37,6,13
川口,0,0,0,,,0,2,1,1,0,0,0
白岩,1,1,0,100.0,100.0,0,5,4,1,2,0,0
椿山,3,3,0,100.0,100.0,0,0,0,0,3,0,2
傳田,2,1,0,50.0,50.0,1,0,0,0,5,0,1
ボンウ,0,0,0,,,0,0,0,0,1,0,0
神谷,0,0,0,,,0,0,0,0,4,0,1
勝岡,0,0,0,,,0,0,0,0,0,0,0
