,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
深津,3,0,0,0.0,0.0,0,1,0,0,21,0,1
陳,44,20,1,45.5,43.2,2,39,22,11,22,2,2
エドガー,68,37,4,54.4,48.5,2,0,0,0,18,0,5
小野寺,25,17,1,68.0,64.0,4,2,0,0,16,1,2
武智,9,4,2,44.4,22.2,0,19,6,9,13,0,2
西,11,5,2,45.5,27.3,0,1,0,1,5,0,0
唐川,0,0,0,,,0,27,13,3,0,0,0
井上(慎),7,3,0,42.9,42.9,0,0,0,0,6,0,4
にし,0,0,0,,,0,0,0,0,0,0,0
久原,0,0,0,,,0,0,0,0,9,0,0
金子,2,0,0,0.0,0.0,0,1,0,0,6,0,0
熊倉,0,0,0,,,0,0,0,0,0,0,0
中島,5,2,0,40.0,40.0,0,0,0,0,9,0,4
合田,0,0,0,,,0,0,0,0,6,1,1
井上(航),0,0,0,,,0,5,1,1,0,0,0
山本,20,4,0,20.0,20.0,0,28,16,5,17,0,5
八子,6,1,2,16.7,-16.7,0,0,0,0,3,0,2
安永,7,5,0,71.4,71.4,0,0,0,0,1,0,1
ロジャーズ,0,0,0,,,0,0,0,0,2,0,0
新井,7,1,1,14.3,0.0,0,11,3,2,8,1,2
坂下,1,0,1,0.0,-100.0,0,7,3,2,5,0,1
