,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
池田(幸),34,11,2,32.4,26.5,4,32,13,9,26,0,5
笠利,28,16,1,57.1,53.6,1,32,16,4,25,0,1
森崎,6,3,1,50.0,33.3,0,2,0,1,11,1,2
戸嵜,56,16,1,28.6,26.8,5,76,36,13,35,1,6
山本,0,0,0,,,0,31,18,6,0,0,0
中村,12,6,0,50.0,50.0,6,0,0,0,18,0,0
河東,0,0,0,,,0,0,0,0,31,1,0
椿,0,0,0,,,0,0,0,0,6,0,0
高澤,0,0,0,,,0,3,3,0,4,0,0
角,0,0,0,,,0,1,0,0,0,0,0
伊藤,2,1,0,50.0,50.0,0,1,0,0,2,0,1
矢貫,13,7,0,53.8,53.8,2,0,0,0,23,0,0
森﨑,0,0,0,,,0,0,0,0,0,0,0
リヴァン,122,58,9,47.5,40.2,5,1,0,1,33,1,6
池田,0,0,0,,,0,0,0,0,0,0,0
波佐間,0,0,0,,,0,0,0,0,11,1,0
池田(颯),1,0,0,0.0,0.0,0,0,0,0,2,0,1
