名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
バグナスブライアン,2021-01,大分三好ヴァイセアドラー,1,20,171,93,10,54.4,48.5,40,27,3,10,79,4,19,15,3.8,142,50,31,107,67.5,4.65,0.5,46.1
バグナスブライアン,2021-02,大分三好ヴァイセアドラー,1,22,169,87,17,51.5,41.4,48,26,6,8,68,4,19,14,4.0,175,59,50,99,54.2,3.95,0.36,48.0
バグナスブライアン,2021-03,大分三好ヴァイセアドラー,1,14,113,65,5,57.5,53.1,24,14,1,3,45,4,10,8,7.8,100,36,24,72,58.3,4.64,0.21,48.0
パダルクリスティアン,2020-10,東レアローズ,4,10,130,63,16,48.5,36.2,40,21,7,2,38,1,15,12,0.7,0,0,0,66,52.5,6.3,0.2,
パダルクリスティアン,2020-11,東レアローズ,4,28,299,164,19,54.8,48.5,104,55,13,9,116,14,35,39,12.9,0,0,0,187,52.9,5.86,0.32,
パダルクリスティアン,2021-01,東レアローズ,4,21,255,135,23,52.9,43.9,96,50,6,4,83,9,22,25,11.7,1,0,0,148,52.1,6.43,0.19,0.0
パダルクリスティアン,2021-02,東レアローズ,4,33,407,208,35,51.1,42.5,148,72,20,7,134,8,29,57,11.2,1,0,0,223,48.6,6.3,0.21,0.0
パダルクリスティアン,2021-03,東レアローズ,4,13,151,76,17,50.3,39.1,53,29,8,4,50,3,16,20,8.0,0,0,0,83,54.7,5.85,0.31,
フォンテレスフェリペ,2020-10,ジェイテクトSTINGS,6,7,53,25,3,47.2,41.5,12,4,2,2,27,0,4,5,0.9,53,21,16,27,33.3,3.57,0.29,54.7
フォンテレスフェリペ,2020-11,ジェイテクトSTINGS,6,25,140,59,14,42.1,32.1,10,4,2,10,78,3,20,20,3.8,140,48,38,72,40.0,2.36,0.4,47.9
フォンテレスフェリペ,2020-12,ジェイテクトSTINGS,6,8,48,20,4,41.7,33.3,12,4,0,3,29,1,7,9,5.2,81,35,19,24,33.3,2.5,0.38,54.9
フォンテレスフェリペ,2021-01,ジェイテクトSTINGS,6,22,132,74,7,56.1,50.8,19,12,0,9,71,4,15,14,5.3,164,68,45,87,63.2,3.36,0.41,55.2
フォンテレスフェリペ,2021-02,ジェイテクトSTINGS,6,22,148,77,10,52.0,45.3,25,18,1,6,84,5,20,24,7.1,147,65,42,88,72.0,3.5,0.27,58.5
フォンテレスフェリペ,2021-03,ジェイテクトSTINGS,6,10,70,43,6,61.4,52.9,10,5,3,3,40,2,11,13,6.2,65,24,22,48,50.0,4.3,0.3,53.8
プレモビッチピーター,2020-10,FC東京,20,9,83,42,5,50.6,44.6,36,23,4,3,27,2,4,13,15.7,0,0,0,47,63.9,4.67,0.33,
プレモビッチピーター,2020-11,FC東京,20,29,268,117,19,43.7,36.6,129,60,16,10,99,5,25,15,2.5,0,0,0,132,46.5,4.03,0.34,
プレモビッチピーター,2020-12,FC東京,20,7,68,37,2,54.4,51.5,30,15,0,3,25,2,4,6,10.0,0,0,0,42,50.0,5.29,0.43,
プレモビッチピーター,2021-01,FC東京,20,17,124,55,5,44.4,40.3,45,20,4,3,36,1,8,10,4.2,0,0,0,59,44.4,3.24,0.18,
プレモビッチピーター,2021-02,FC東京,20,26,163,71,16,43.6,33.7,79,34,12,7,57,5,16,11,6.6,0,0,0,83,43.0,2.73,0.27,
プレモビッチピーター,2021-03,FC東京,20,11,144,67,7,46.5,41.7,66,35,5,5,36,0,9,6,-2.1,2,0,0,72,53.0,6.09,0.45,0.0
ムセルスキードミトリー,2020-10,サントリーサンバーズ,13,3,32,22,3,68.8,59.4,9,7,1,1,6,0,4,2,-8.3,1,0,0,23,77.8,7.33,0.33,0.0
ムセルスキードミトリー,2020-11,サントリーサンバーズ,13,29,338,172,28,50.9,42.6,173,77,20,14,101,6,25,25,5.9,1,0,0,192,44.5,5.93,0.48,0.0
ムセルスキードミトリー,2021-01,サントリーサンバーズ,13,22,248,148,15,59.7,53.6,93,46,6,13,82,10,30,27,11.3,1,0,0,171,49.5,6.73,0.59,0.0
ムセルスキードミトリー,2021-02,サントリーサンバーズ,13,28,300,160,29,53.3,43.7,121,64,17,16,124,19,24,54,21.4,0,0,0,195,52.9,5.71,0.57,
ムセルスキードミトリー,2021-03,サントリーサンバーズ,13,9,93,58,9,62.4,52.7,39,27,5,9,40,8,7,18,26.9,0,0,0,75,69.2,6.44,1.0,
ユンボンウ,2020-10,ウルフドッグス名古屋,9,3,2,1,0,50.0,50.0,0,0,0,1,7,0,2,1,-3.6,0,0,0,2,,0.33,0.33,
ユンボンウ,2020-11,ウルフドッグス名古屋,9,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
ユンボンウ,2020-12,ウルフドッグス名古屋,9,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
ユンボンウ,2021-01,ウルフドッグス名古屋,9,2,1,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0.0,0.0,
ユンボンウ,2021-02,ウルフドッグス名古屋,9,2,4,1,2,25.0,-25.0,0,0,0,0,5,0,2,0,-10.0,1,0,0,1,,0.5,0.0,0.0
ユンボンウ,2021-03,ウルフドッグス名古屋,9,4,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
ロジャーズ海,2020-11,JTサンダーズ広島,21,5,1,0,0,0.0,0.0,0,0,0,1,8,0,2,0,-6.2,0,0,0,1,,0.0,0.2,
ロジャーズ海,2020-12,JTサンダーズ広島,21,4,0,0,0,,,0,0,0,0,4,0,1,1,0.0,0,0,0,0,,0.0,0.0,
ロジャーズ海,2021-03,JTサンダーズ広島,21,7,0,0,0,,,0,0,0,0,10,0,1,1,0.0,0,0,0,0,,0.0,0.0,
中島健太,2020-10,JTサンダーズ広島,4,6,9,7,0,77.8,77.8,0,0,0,0,11,1,2,6,18.2,4,2,0,8,,1.17,0.0,50.0
中島健太,2020-11,JTサンダーズ広島,4,5,16,9,0,56.2,56.2,0,0,0,0,18,2,4,3,9.7,1,0,0,11,,1.8,0.0,0.0
中島健太,2021-01,JTサンダーズ広島,4,13,16,12,1,75.0,68.8,0,0,0,1,28,0,2,3,0.9,7,3,1,13,,0.92,0.08,50.0
中島健太,2021-02,JTサンダーズ広島,4,10,17,8,1,47.1,41.2,0,0,0,2,21,1,3,3,4.8,4,2,0,11,,0.8,0.2,50.0
中村竜輔,2020-10,VC長野トライデンツ,4,18,38,16,0,42.1,42.1,0,0,0,8,52,3,4,2,4.8,9,3,0,27,,0.89,0.44,33.3
中村竜輔,2020-11,VC長野トライデンツ,4,24,43,18,4,41.9,32.6,0,0,0,12,58,0,6,4,-0.9,1,1,0,30,,0.75,0.5,100.0
中村竜輔,2020-12,VC長野トライデンツ,4,6,13,6,0,46.2,46.2,0,0,0,3,18,2,2,5,15.3,0,0,0,11,,1.0,0.5,
