名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
佐川翔,2020-11,堺ブレイザーズ,8,4,1,0,0,0.0,0.0,0,0,0,0,2,0,1,1,0.0,0,0,0,0,,0.0,0.0,
佐川翔,2020-12,堺ブレイザーズ,8,4,0,0,0,,,0,0,0,0,3,0,0,0,0.0,0,0,0,0,,0.0,0.0,
佐川翔,2021-01,堺ブレイザーズ,8,8,0,0,0,,,0,0,0,0,8,0,1,1,0.0,0,0,0,0,,0.0,0.0,
佐川翔,2021-02,堺ブレイザーズ,8,9,0,0,0,,,0,0,0,0,3,0,0,0,0.0,0,0,0,0,,0.0,0.0,
佐川翔,2021-03,堺ブレイザーズ,8,6,0,0,0,,,0,0,0,1,9,0,0,1,2.8,0,0,0,1,,0.0,0.17,
佐藤望実,2020-10,FC東京,19,17,87,34,5,39.1,33.3,9,4,0,5,56,3,14,13,4.9,88,34,24,42,44.4,2.0,0.29,52.3
佐藤望実,2020-11,FC東京,19,29,155,70,4,45.2,42.6,8,4,0,6,109,10,27,28,9.4,142,57,32,86,50.0,2.41,0.21,51.4
佐藤望実,2020-12,FC東京,19,10,40,20,3,50.0,42.5,3,1,0,2,31,3,6,8,11.3,23,13,6,25,33.3,2.0,0.2,69.6
佐藤望実,2021-01,FC東京,19,18,115,42,9,36.5,28.7,11,5,2,5,53,3,16,14,4.7,51,28,7,50,45.5,2.33,0.28,61.8
佐藤望実,2021-02,FC東京,19,25,130,54,14,41.5,30.8,15,9,2,8,75,3,23,18,2.3,72,29,20,65,60.0,2.16,0.32,54.2
佐藤望実,2021-03,FC東京,19,11,35,15,2,42.9,37.1,3,2,1,2,38,1,5,7,3.9,40,14,11,18,66.7,1.36,0.18,48.8
佐藤謙次,2020-10,サントリーサンバーズ,21,2,0,0,0,,,0,0,0,0,2,0,0,1,12.5,0,0,0,0,,0.0,0.0,
佐藤謙次,2020-11,サントリーサンバーズ,21,20,0,0,0,,,0,0,0,0,29,0,5,4,-0.9,0,0,0,0,,0.0,0.0,
佐藤謙次,2021-01,サントリーサンバーズ,21,9,0,0,0,,,0,0,0,0,9,0,2,1,-2.8,0,0,0,0,,0.0,0.0,
佐藤謙次,2021-02,サントリーサンバーズ,21,19,0,0,0,,,0,0,0,0,25,0,2,7,5.0,0,0,0,0,,0.0,0.0,
佐藤謙次,2021-03,サントリーサンバーズ,21,6,0,0,0,,,0,0,0,0,7,0,1,4,10.7,0,0,0,0,,0.0,0.0,
傳田亮太,2020-10,ウルフドッグス名古屋,11,15,38,25,2,65.8,60.5,0,0,0,7,40,1,9,5,0.0,2,2,0,33,,1.67,0.47,100.0
傳田亮太,2020-11,ウルフドッグス名古屋,11,11,25,13,1,52.0,48.0,0,0,0,7,29,1,1,4,6.0,1,1,0,21,,1.18,0.64,100.0
