名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率,総得点
ムセルスキードミトリー,サントリーサンバーズ,13,32,370,194,31,52.4,44.1,182,84,21,15,107,6,29,27,2,0,0,46.2,6.06,0.47,5.1,0.0,215
ユンボンウ,ウルフドッグス名古屋,9,4,2,1,0,50.0,50.0,0,0,0,1,7,0,2,1,0,0,0,,0.25,0.25,-3.6,,2
ロジャーズ海,JTサンダーズ広島,21,5,1,0,0,0.0,0.0,0,0,0,1,8,0,2,0,0,0,0,,0.0,0.2,-6.2,,1
中島健太,JTサンダーズ広島,4,11,25,16,0,64.0,64.0,0,0,0,0,29,3,6,9,5,2,0,,1.45,0.0,12.9,40.0,19
中村竜輔,VC長野トライデンツ,4,41,81,34,4,42.0,37.0,0,0,0,20,110,3,10,6,10,4,0,,0.83,0.49,1.8,40.0,57
久保山尚,ジェイテクトSTINGS,16,40,2,2,0,100.0,100.0,0,0,0,11,131,0,4,24,2,0,0,,0.05,0.28,3.8,0.0,13
久保田雅人,大分三好ヴァイセアドラー,13,17,0,0,0,,,0,0,0,0,0,0,0,0,116,44,23,,0.0,0.0,,47.8,0
久原大輝,JTサンダーズ広島,11,13,0,0,0,,,0,0,0,0,18,0,0,4,1,1,0,,0.0,0.0,5.6,100.0,0
久原翼,パナソニックパンサーズ,7,30,160,82,8,51.2,46.2,13,9,0,10,106,5,6,29,140,52,39,69.2,2.73,0.33,10.1,51.1,97
井上仁,FC東京,5,8,15,6,1,40.0,33.3,0,0,0,2,12,1,3,3,0,0,0,,0.75,0.25,8.3,,9
井上慎一朗,JTサンダーズ広島,5,20,36,16,3,44.4,36.1,6,2,1,2,22,1,8,5,13,5,4,33.3,0.8,0.1,1.1,53.8,19
井上航,JTサンダーズ広島,10,4,0,0,0,,,0,0,0,0,0,0,0,0,6,2,3,,0.0,0.0,,58.3,0
井口直紀,大分三好ヴァイセアドラー,21,23,2,0,0,0.0,0.0,0,0,0,2,62,0,3,13,1,0,0,,0.0,0.09,4.0,0.0,2
今村貴彦,パナソニックパンサーズ,9,19,32,16,2,50.0,43.8,8,2,1,1,19,0,3,6,0,0,0,25.0,0.84,0.05,3.9,,17
仲本賢優,パナソニックパンサーズ,8,2,4,2,0,50.0,50.0,0,0,0,1,4,0,1,0,4,3,0,,1.0,0.5,-6.2,75.0,3
伊藤樹,VC長野トライデンツ,6,9,18,9,0,50.0,50.0,0,0,0,0,9,0,3,3,14,1,2,,1.0,0.0,0.0,14.3,9
伊賀亮平,パナソニックパンサーズ,16,34,0,0,0,,,0,0,0,0,0,0,0,0,105,51,30,,0.0,0.0,,62.9,0
伏見大和,ジェイテクトSTINGS,3,42,77,31,2,40.3,37.7,0,0,0,13,117,2,20,28,8,2,4,,0.74,0.31,3.4,50.0,46
佐川翔,堺ブレイザーズ,8,7,1,0,0,0.0,0.0,0,0,0,0,4,0,1,1,0,0,0,,0.0,0.0,0.0,,0
佐藤望実,FC東京,19,41,225,97,8,43.1,39.6,17,8,0,11,145,10,37,38,212,78,52,47.1,2.37,0.27,7.1,49.1,118
佐藤謙次,サントリーサンバーズ,21,22,0,0,0,,,0,0,0,0,31,0,5,5,0,0,0,,0.0,0.0,0.0,,0
傳田亮太,ウルフドッグス名古屋,11,26,63,38,3,60.3,55.6,0,0,0,14,69,2,10,9,3,3,0,,1.46,0.54,2.5,100.0,54
兒玉康成,パナソニックパンサーズ,21,7,7,3,1,42.9,28.6,0,0,0,6,15,1,2,0,0,0,0,,0.43,0.86,3.3,,10
