,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
関田,2,0,0,0.0,0.0,0,2,0,0,40,1,4
鵜野,24,12,0,50.0,50.0,0,17,6,6,14,0,2
松本,17,12,0,70.6,70.6,0,2,1,1,19,1,0
高野,53,23,3,43.4,37.7,1,48,18,21,22,1,4
山本,0,0,0,,,0,39,20,9,0,0,0
ジョン,75,42,6,56.0,48.0,3,0,0,0,25,2,6
出耒田,17,13,0,76.5,76.5,2,0,0,0,10,0,4
山﨑,0,0,0,,,0,0,0,0,0,0,0
山崎,5,3,0,60.0,60.0,0,0,0,0,12,1,5
宮原,3,2,0,66.7,66.7,0,0,0,0,2,0,0
竹元,0,0,0,,,1,0,0,0,0,0,0
小池,0,0,0,,,0,4,1,0,11,0,4
千々木,13,7,2,53.8,38.5,2,3,1,0,3,0,2
佐川,0,0,0,,,0,0,0,0,3,0,0
山口,0,0,0,,,0,0,0,0,24,0,0
樋口,43,18,3,41.9,34.9,1,44,20,9,26,1,3
堀江,0,0,0,,,0,5,2,0,1,0,1
梅本,0,0,0,,,0,0,0,0,0,0,0
