,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
柳田,42,25,1,59.5,57.1,1,33,9,8,30,1,5
栗山,12,5,2,41.7,25.0,0,3,1,1,8,0,0
塩田,13,10,0,76.9,76.9,3,6,2,3,14,1,2
藤中,27,16,0,59.3,59.3,3,59,28,18,22,1,2
大宅,1,1,0,100.0,100.0,0,2,0,1,26,0,6
鶴田,0,0,0,,,0,49,19,18,0,0,0
小野,12,8,0,66.7,66.7,4,1,0,0,9,1,1
西田,0,0,0,,,0,1,0,0,20,2,1
喜入,0,0,0,,,0,0,0,0,6,0,1
加藤,4,1,1,25.0,0.0,2,0,0,0,10,0,0
秦,2,2,0,100.0,100.0,0,3,0,1,2,0,1
松林,1,1,0,100.0,100.0,0,0,0,0,0,0,0
佐藤,0,0,0,,,0,0,0,0,15,0,4
ムセルスキー,114,61,14,53.5,41.2,4,0,0,0,27,3,5
季,2,0,0,0.0,0.0,0,2,0,0,4,0,3
小川,1,1,0,100.0,100.0,0,0,0,0,0,0,0
