,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
栗山,35,23,2,65.7,60.0,9,0,0,0,21,0,0
迫田,47,12,4,25.5,17.0,2,81,31,27,21,1,3
佐藤,45,15,4,33.3,24.4,2,36,18,11,36,2,10
長友,49,25,5,51.0,40.8,0,2,0,0,30,1,4
手原,1,0,0,0.0,0.0,1,1,0,0,38,0,2
武藤,7,3,0,42.9,42.9,1,0,0,0,6,0,1
古賀,0,0,0,,,0,47,24,12,0,0,0
山田,3,1,0,33.3,33.3,0,1,0,0,4,0,1
柳町,0,0,0,,,0,0,0,0,0,0,0
橘,0,0,0,,,0,15,9,3,0,0,0
井上,11,9,0,81.8,81.8,0,1,1,0,8,2,1
平田,8,4,0,50.0,50.0,2,3,1,0,27,0,3
玉宅,1,0,0,0.0,0.0,0,0,0,0,9,0,1
手塚,2,1,0,50.0,50.0,0,1,1,0,4,0,2
プレモビッチ,69,29,6,42.0,33.3,7,0,0,0,19,2,7
宮原,0,0,0,,,0,0,0,0,0,0,0
谷口,0,0,0,,,0,0,0,0,2,0,0
小田嶋,2,2,0,100.0,100.0,3,0,0,0,7,0,1
黒田,16,5,3,31.2,12.5,0,8,4,2,2,0,0
