,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
藤中,21,9,1,42.9,38.1,2,57,24,20,26,0,0
郡,2,1,0,50.0,50.0,0,2,0,0,1,0,0
西田,99,58,12,58.6,46.5,1,0,0,0,17,2,4
本間,0,0,0,,,0,44,20,15,0,0,0
福山,26,15,1,57.7,53.8,4,1,0,1,23,0,3
伏見,11,4,0,36.4,36.4,2,1,0,1,9,0,1
久保山,0,0,0,,,2,0,0,0,27,1,1
浅野,0,0,0,,,0,8,3,2,0,0,0
柳澤,5,2,1,40.0,20.0,1,5,3,1,3,0,0
袴谷,16,8,1,50.0,43.8,0,0,0,0,13,0,8
金丸,0,0,0,,,0,0,0,0,0,0,0
小林,0,0,0,,,0,1,1,0,4,0,1
フェリペ,28,13,0,46.4,46.4,0,40,19,10,23,0,6
興梠,0,0,0,,,0,0,0,0,0,0,0
饒,12,10,0,83.3,83.3,2,2,2,0,14,0,0
宮浦,1,1,0,100.0,100.0,0,0,0,0,1,1,0
村山,0,0,0,,,0,0,0,0,0,0,0
