,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
米田,0,0,0,,,0,0,0,0,8,0,2
高松,5,1,0,20.0,20.0,0,4,2,1,7,1,0
古賀,10,6,1,60.0,50.0,1,0,0,0,4,0,1
松尾,0,0,0,,,0,10,4,3,0,0,0
大西,2,1,0,50.0,50.0,0,2,1,1,5,0,0
井口,0,0,0,,,0,0,0,0,4,0,0
林,10,3,0,30.0,30.0,1,2,0,0,10,0,2
濱本,0,0,0,,,0,0,0,0,4,0,2
山田,10,7,2,70.0,50.0,0,26,12,8,13,2,5
川口,2,0,0,0.0,0.0,1,0,0,0,11,0,1
ストックトン,52,23,6,44.2,32.7,2,0,0,0,30,1,5
藤岡,1,0,0,0.0,0.0,2,0,0,0,8,0,0
田尻,0,0,0,,,0,0,0,0,0,0,0
久保田,0,0,0,,,0,13,3,5,0,0,0
勝,5,2,0,40.0,40.0,1,14,2,5,10,0,2
バグナス,50,26,4,52.0,44.0,3,30,9,9,21,1,4
石橋,0,0,0,,,0,0,0,0,0,0,0
辻口,0,0,0,,,0,0,0,0,0,0,0
